Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
953, Center Fresh Mints 3 Layer Peppermint Sugarfree Lozenges 4.5 g (15 pcs) ,10.0,10.0,,,CENTER FRESH,210.0,g,1,0.0,0.0,47.62
954," LuvIt Chocorich Assorted Eclairs| Hazelnut, Dark Choco & Classic| Pack of 4 - 480g Each ",960.0,459.0,,,LUVIT,480.0,g,4,501.0,52.19,239.06
955, BABUS Laxminarayan Poha Chiwda 0.75kg ( 250g * pack of 3 ) ,300.0,300.0,,,BABUS LAXMINARAYAN,0.75,kg,3,0.0,0.0,133.33
956, Kissan Pineapple Jam 500 g ,160.0,148.0,,,KISSAN,500.0,g,1,12.0,7.5,296.0
957, Dukes Creme 4 Fun Chocolate Sandwich Biscuits 150 g ,35.0,26.0,,,DUKES,1.0,na,1,9.0,25.71,
958, Lijjat Pepper Udad Papad 250 g ,96.0,86.0,,,LIJJAT,250.0,g,1,10.0,10.42,344.0
959, MyFitness Peanut Butter High Protein Dark Chocolate Peanut Butter Smooth 1000G Olympia Edition ,649.0,454.0,,,MYFITNESS PEANUT BUTTER,1000.0,g,1,195.0,30.05,454.0
960, LuvIt ChocoPops| Chocolate Coated Balls With Crunchy Rice Crispies| Gems| Pack of 1- 344.25g ,225.0,201.0,,,LUVIT,344.25,g,1,24.0,10.67,583.88
961, Wingreen Farms Schezwan Chilli Garlic Sauce 450 g ,149.0,74.0,,,WINGREENS FARMS,450.0,g,1,75.0,50.34,164.44
962, MyFitness Peanut Butter High Protein Dark Chocolate Peanut Butter Crispy 1000G Olympia Edition ,649.0,454.0,,,MYFITNESS PEANUT BUTTER,1000.0,g,1,195.0,30.05,454.0
963, Haldiram Bhujiawala Khatta Meetha 800g | Tasty Sweet & Salty Namkeen | Pack of 2 | 400 grams Each ,260.0,225.0,,,HALDIRAM BHUJIAWALA,800.0,g,2,35.0,13.46,140.62
964, Cornitos Tomato Mexicana Nacho Crisps 55 g ,35.0,28.0,,,CORNITOS,55.0,g,1,7.0,20.0,509.09
965, Agra petha store Cherry petha-500gm ,199.0,140.0,,,AGRA PETHA STORE,500.0,gm,1,59.0,29.65,280.0
966, Manna Instant Oats 1Kg - White Oats | High in Fibre and Protein | Helps Maintain Cholesterol ,299.0,235.0,,,MANNA,1.0,kg,1,64.0,21.4,235.0
967, Unibic Shortbread Pure Butter Scottish Cookie 150 g ,120.0,60.0,,,UNIBIC,150.0,g,1,60.0,50.0,400.0
968, Bagrry's Choco Fills 250 g ,215.0,107.0,,,BAGRRY'S,250.0,g,1,108.0,50.23,428.0
969, Open Secret Special Assorted Gift Box ,350.0,315.0,,,OPEN SECRET,344.25,g,1,35.0,10.0,915.03
970, Laxmi Narayan Best Cornflakes Chiwda 250 g ,108.0,100.0,,,LAXMINARAYAN,250.0,g,1,8.0,7.41,400.0
