,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
187, Tata Salt 2 kg ,55,48,None,None,TATA
188, Prabhat Cow Ghee 1 L (Pouch) ,725,539,None,None,PRABHAT
189, Tata Rock Salt 1 kg ,120,99,None,None,TATA
190, Good Life Whole (W320) Cashews 200 g ,250,189,None,None,GOOD LIFE
191, India Gate Regular Choice Basmati Rice 5 kg ,520,435,None,None,INDIA GATE
192, Dhara Kachi Ghani Mustard Oil 5 L ,825,749,None,( 149.80/1 l),DHARA
193, Nutraj Special Round Raisin 1 Kg (500 g X 2) ,598,329,None,( 32.90/100 g),NUTRAJ
194, DAIRY SAGAR GOPAL Desi Cow Ghee |Made Traditionally from Curd |Pure Cow Ghee for Better Digestion and Immunity | 1Ltr Tetra Pack ,680,399,None,None,DAIRYSAGAR
195, Good Life Urad Dal 1 kg ,191,159,None,None,GOOD LIFE
196, Broken Wheat / Daliya 1 kg ,120,49,None,None,PRIVATE LABEL
197, Fortune Biryani Special Basmati Rice 1 kg ,210,134,None,None,FORTUNE
198," Farmley 1kg Popular Almonds Californian, 100% Natural, 2 Times Crunchier Badaam ","1,799.00",799,None,None,FARMLEY
199, Good Life MP Wheat Chakki Atta 10 kg ,500,419,None,( 41.90/1 kg),GOOD LIFE
200, Wonderland Foods Platinum California Pistachios Roasted & Salted 400 g ,725,409,None,None,WONDERLAND FOODS
201, Good Life Kabuli Chana 1 kg ,266,221,None,None,GOOD LIFE
202, Naturoz 1kg Daily Whole Cashews ,"1,125.00",795,None,None,NATUROZ
203, Nutraj California Walnut Kernels 250g ,499,319,None,( 319.00/250 g),NUTRAJ
204, Tata Sampann Unpolished Kala Chana 500 g ,74,68,None,None,TATA SAMPANN
205, Good Life Washed Gota Urad 1 kg ,198,161,None,None,GOOD LIFE
206, Pillsbury Chakki Fresh Atta / Flour 5 kg ,286,219,None,( 43.80/1 kg),PILLSBURY
207, Nature's Choice Arabian Dates 500 g ,200,99,None,None,NATURE'S CHOICE
208, Satvikk 1000 gm Premium Almonds Californian 1 KG ,"1,400.00",689,None,None,SATVIKK
209, Fortune Rozana Basmati Rice 1 kg ,130,89,None,None,FORTUNE
210, Good Life Almonds 200 g ,270,175,None,None,GOOD LIFE
211, Gemini Refined Sunflower Oil 5 L ,890,625,None,( 125.00/1 l),GEMINI
212, DailyHerbs Anjeer 1kg - Premium Quality Afghani Anjeer | Naturally Dried Figs | Perfect for a Healthy Lifestyle ,"1,299.00",539,None,None,DAILYHERBS
213, India Gate Super Basmati Rice 5 kg ,"1,080.00",729,None,None,INDIA GATE
214, AweLiv Pure Olive Oil - 1 Ltr (Imported from Spain) ,"1,350.00",375,None,None,AWELIV
215, GO KITCHEN Afghanistan Afghani Anjeer Figs Big Size Anjir Dried Figs Zero Added Sugar & Preservatives Dry Fruit (Pack of 250 gram) ,359,249,None,None,GO KITCHEN
216," English Nuts Mixed Dry Fruit, Nuts, Seeds, Berries - 1kg Trial Mix| 10+ Varieties | Lowest Price I ","3,000.00",519,None,None,ENGLISH NUTS-THE DRY FRUITS HOUSE
217, Lali Balaji DAILY NUT California Almond VALUE 1000gm (250gm x pack of 4) ,"1,240.00",689,None,None,LALI BALAJI
218, Good Life Whole Moong 1 kg ,188,143,None,None,GOOD LIFE
219, Anjani Popular Cashews/Kaju 1 kg ,"1,599.00",799,None,None,ANJANI
220, Farmley Whole Cashews Natural Raw W400 Kaju 500g ,749,399,None,None,FARMLEY
221, Good Life California Roasted & Salted Pista 200 g ,299,235,None,None,GOOD LIFE
222, Amul Cow Ghee 500 ml (Pouch) ,325,308,None,None,AMUL
223, GKD's Premium Pure Coconut Oil Jar (1 L) ,380,299,None,None,GKD'S PREMIUM
224, Smith & Jones Ginger Garlic Paste 200 g ,50,29,None,( 14.50/100 g),SMITH & JONES
225, Sundrop SuperLite Advanced Refined Sunflower Oil 3 L ,489,489,None,( 163.00/1 l),SUNDROP
226, Good Life Brown Chana 1 kg ,136,105,None,None,GOOD LIFE
227, Puro Healthy Salt 1 kg ,110,95,None,None,PURO
