,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform
68, Bournvita 75 g , 30.00 ,27.00,None,None,BOURNVITA,75,g,1,Success,JoiMart
69, Red Label Leaf Tea 250 g (Carton) , 155.00 ,139.00,None,None,RED LABEL,250,g,1,Success,JoiMart
70, Nescafe Classic Instant Coffee 90 g , 350.00 ,287.00,None,None,NESCAFE,90,g,1,Success,JoiMart
71, Fanta Orange 600 ml , 38.00 ,32.00,None,None,FANTA,600,ml,1,Success,JoiMart
72, Nescafe Classic Instant Coffee 45 g , 170.00 ,141.00,None,None,NESCAFE,45,g,1,Success,JoiMart
73, Real Fruit Power Mixed Fruit Juice 1 L , 128.00 ,93.00,None,None,REAL,1,l,1,Success,JoiMart
74, Tata Agni Strong Leaf Tea 500 g , 115.00 ,100.00,None,None,TATA AGNI,500,g,1,Success,JoiMart
75, Amul Pro Whey Protein Drink 500 g , 180.00 ,140.00,None,None,AMUL,500,g,1,Success,JoiMart
76, Fanta Orange 300 ml , 40.00 ,26.00,None,None,FANTA,300,ml,1,Success,JoiMart
77, Wagh Bakri Navchetan Strong Leaf Tea 1 kg , 220.00 ,199.00,None,None,WAGH BAKRI,1,kg,1,Success,JoiMart
78, B Natural Mixed Fruit Juice 180 ml , 20.00 ,15.00,None,None,B NATURAL,180,ml,1,Success,JoiMart
79, Society Tea 500 g , 290.00 ,265.00,None,None,SOCIETY,500,g,1,Success,JoiMart
80, Mountain Dew 250 ml , 35.00 ,29.00,None,None,MOUNTAIN DEW,250,ml,1,Success,JoiMart
81, Real Fruit Power Masala Pomegranate Juice 1 L , 140.00 ,70.00,None,None,REAL,1,l,1,Success,JoiMart
82, Storia Pomegranate 100% Juice with No Added Sugar & Preservatives 750 ml , 170.00 ,85.00,None,None,STORIA,750,ml,1,Success,JoiMart
83, Society Tea 250 g , 145.00 ,134.00,None,None,SOCIETY,250,g,1,Success,JoiMart
84, Brooke Bond Taaza Leaf Tea 250 g , 50.00 ,46.00,None,None,TAAZA,250,g,1,Success,JoiMart
85, Taj Mahal Tea 100 g (Carton) , 95.00 ,88.00,None,None,TAJ MAHAL,100,g,1,Success,JoiMart
86, Limca 250 ml , 20.00 ,18.00,None,None,LIMCA,250,ml,1,Success,JoiMart
87, Bournvita 500 g , 233.00 ,173.00,None,None,BOURNVITA,500,g,1,Success,JoiMart
88, Tropicana Slice Mango Drink 600 ml , 35.00 ,32.00,None,None,SLICE,600,ml,1,Success,JoiMart
89, BRU Instant Coffee 100 g , 300.00 ,260.00,None,None,BRU,100,g,1,Success,JoiMart
90, Dabur Chyawanprash Awaleha 250 g , 116.00 ,96.00,None,None,DABUR,250,g,1,Success,JoiMart
91, Horlicks Classic Malt 1 kg , 574.00 ,516.00,None,None,HORLICKS,1,kg,1,Success,JoiMart
92, Tata Agni Leaf Tea 1.5 kg , 335.00 ,301.00,None,None,TATA AGNI,1.5,kg,1,Success,JoiMart
93, Women's Horlicks Plus Caramel Drink Mix 400 g , 355.00 ,295.00,None,None,HORLICKS,400,g,1,Success,JoiMart
94, Zandu Sona Chandi Chyawanplus 900 g , 385.00 ,260.00,None,None,ZANDU,900,g,1,Success,JoiMart
95, Frooti Mango Drink 125 ml ,10.00,10.00,None,None,FROOTI,125,ml,1,Success,JoiMart
96," MAHARASTRA CHAHA WITH ""CUP"" - Special Chai (Pack 2) 1 Kg Each Jar 500gm ", 750.00 ,262.00,None,None,"MAHARASTRA CHAHA WITH ""CUP""",1,kg,1,Success,JoiMart
97, Nescafe Sunrise Instant Coffee Powder 50 g , 115.00 ,105.00,None,None,SUNRISE,50,g,1,Success,JoiMart
98, Coca Cola 250 ml , 20.00 ,18.00,None,None,COCA COLA,250,ml,1,Success,JoiMart
99, Nescafe Classic Instant Coffee 24 g , 82.00 ,76.00,None,None,NESCAFE,24,g,1,Success,JoiMart
100, Frooti 600 ml , 42.00 ,31.00,None,None,FROOTI,600,ml,1,Success,JoiMart
101, Patanjali Special Chyawanprash 1 kg , 360.00 ,270.00,None,None,PATANJALI,1,kg,1,Success,JoiMart
102, PediaSure Chocolate Drink Powder 400 g (Carton) , 770.00 ,700.00,None,None,PEDIASURE,400,g,1,Success,JoiMart
103, BRU Green Label Filter Coffee Powder 500 g , 280.00 ,226.00,None,None,BRU,500,g,1,Success,JoiMart
104, Mirinda Orange 250 ml , 20.00 ,18.00,None,None,MIRINDA,250,ml,1,Success,JoiMart
105, Rage Coffee 50 Gms Irish Hazelnut Flavour , 349.00 ,149.00,None,None,RAGE COFFEE,50,gms,1,Success,JoiMart
106, Sprite 300 ml , 40.00 ,34.00,None,None,SPRITE,300,ml,1,Success,JoiMart
107, Ensure Vanilla Drink Powder 400 g , 800.00 ,675.00,None,None,ENSURE,400,g,1,Success,JoiMart
108, Bisleri Packaged Drinking Water 250 ml ,6.00,6.00,None,None,BISLERI,250,ml,1,Success,JoiMart
109, Complan Royale Chocolate Drink Powder 1 kg , 599.00 ,449.00,None,None,COMPLAN,1,kg,1,Success,JoiMart
110, Continental Speciale Instant Coffee 200g Pouch | 100% Pure Coffee , 400.00 ,389.00,None,None,CONTINENTAL,200,g,1,Success,JoiMart
111, Octavius | KADAK Assam Tea - 2.5 Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Loose Tea | Strong Chai | Tea Powder | Chai Patti | Taza Tea | Garden Fresh Tea | Tea 2.5 Kg , 750.00 ,649.00,None,None,OCTAVIUS,2.5,kg,1,Success,JoiMart
112, Octavius | Suprabhatam Tez Kadak Tea - 1Kg | Extra Strong Assam Tea | Black Tea | Kadak Chai Patti | Strong Chai | Tea Powder | Chai Patti 1 kg | Taza Tea 1 kg | Garden Fresh Tea | Tea 1 Kg , 240.00 ,219.00,None,None,OCTAVIUS,1,kg,1,Success,JoiMart
113, Horlicks Chocolate Delight 1 kg , 499.00 ,379.00,None,None,HORLICKS,1,kg,1,Success,JoiMart
114, Maaza Refresh Mango Drink 135 ml ,10.00,10.00,None,None,MAAZA,135,ml,1,Success,JoiMart
115, Red Label Leaf Tea 100 g , 55.00 ,51.00,None,None,RED LABEL,100,g,1,Success,JoiMart
116, Horlicks Women's Plus Chocolate 400 g , 365.00 ,305.00,None,None,HORLICKS,400,g,1,Success,JoiMart
117, Real Active Orange Juice 1 L , 155.00 ,99.00,None,None,REAL,1,l,1,Success,JoiMart
118, Paper Boat Aamras 200 ml , 35.00 ,29.00,None,None,PAPER BOAT,200,ml,1,Success,JoiMart
119, Paper Boat Apple Fruit Juice 150 ml , 20.00 ,16.00,None,None,PAPER BOAT,150,ml,1,Success,JoiMart
120, Appy Fizz 250 ml , 20.00 ,18.00,None,None,APPY FIZZ,250,ml,1,Success,JoiMart
121, Continental STRONG Coffee Powder 1 Kg Bag ( 5 Pouches of 200g ) , 825.00 ,799.00,None,None,CONTINENTAL,1,kg,1,Success,JoiMart
122, Campa Sports Cricket Electrolytes 250 ml , 20.00 ,15.00,None,None,CAMPA,250,ml,1,Success,JoiMart
123, Tang Orange Instant Drink Mix 500 g , 150.00 ,121.00,None,None,TANG,500,g,1,Success,JoiMart
124, Red Bull Energy Drink 250 ml , 125.00 ,110.00,None,None,RED BULL,250,ml,1,Success,JoiMart
125, Octavius | Kadak Masala Tea - 1Kg | 100% Natural Spices | Black Tea | Strong Tea | Masala Chai | Natural Care | Kadak Chai Patti | Spiced Tea | Ayurvedic Herbs | Vedic Tea | Tea 1 Kg , 450.00 ,349.00,None,None,OCTAVIUS,1,kg,1,Success,JoiMart
126, SRI SRI Morvita Gain More Incomplete ,"2,459.00","2,459.00",None,None,SRI SRI,,none,1,Failed,JoiMart
127, Horlicks Classic Malt 500 g , 284.00 ,264.00,None,None,HORLICKS,500,g,1,Success,JoiMart
128, B Natural Litchi Fruit Juice 180 ml , 20.00 ,15.00,None,None,B NATURAL,180,ml,1,Success,JoiMart
129, Pediasure 7 Plus Chocolate Drink Powder 400 g , 460.00 ,427.00,None,None,PEDIASURE,400,g,1,Success,JoiMart
130, Sprite Lemon Lime Flavor Soft Drink 250 ml (Pack of 8) , 160.00 ,135.00,None,None,SPRITE,250,ml,8,Success,JoiMart
131, PediaSure Vanilla Delight Drink Powder 400 g (Carton) , 770.00 ,654.00,None,None,PEDIASURE,400,g,1,Success,JoiMart
132, Horlicks Lite Regular Malt 450 g , 349.00 ,304.00,None,None,HORLICKS,450,g,1,Success,JoiMart
133, Storia Badam Shake 180 ml , 45.00 ,30.00,None,None,STORIA,180,ml,1,Success,JoiMart
134, Real Fruit Power Litchi Juice 1 L , 125.00 ,89.00,None,None,REAL,1,l,1,Success,JoiMart
135, Tata Tea | Agni | Strong Leaf Tea| 250 Gm Each| Pack of 4| 1 Kg+ Green Elaichi 25 Gm ,450.00,450.00,None,None,TATA TEA,250,gm,4,Success,JoiMart
136, Continental Speciale Instant Coffee Powder 50g Pouch | BUY 1 + GET 1 FREE | PACK OF 2 | 100% Pure Coffee | 100g (50g * 2 Pouches) , 329.00 ,159.00,None,None,CONTINENTAL,50,g,2,Success,JoiMart
137, Cadbury Hot Chocolate Powder 200 g , 220.00 ,165.00,None,None,CADBURY,200,g,1,Success,JoiMart
138, Kinley Packaged Drinking Water 1 L , 20.00 ,18.00,None,None,KINLEY,1,l,1,Success,JoiMart
139, Campa Sports Cricket Electrolytes 500 ml , 30.00 ,22.00,None,None,CAMPA,500,ml,1,Success,JoiMart
140, Continental XTRA Coffee Powder 200gm Pouch | Strongest Instant Coffee | PACK OF 1 | , 380.00 ,369.00,None,None,CONTINENTAL,200,gm,1,Success,JoiMart
141, Ensure Diabetes Care Vanilla Drink Powder 400 g , 925.00 ,800.00,None,None,ENSURE,400,g,1,Success,JoiMart
142, Real Fruit Power Pomegranate Juice 1 L , 130.00 ,115.00,None,None,REAL,1,l,1,Success,JoiMart
143, Horlicks Chocolate Delight 500 g , 249.00 ,204.00,None,None,HORLICKS,500,g,1,Success,JoiMart
144, Stings Energy Drink 250 ml , 30.00 ,27.00,None,None,STING,250,ml,1,Success,JoiMart
145, Red Bull 250 ml (6 pcs) , 700.00 ,569.00,None,None,RED BULL,250,ml,1,Success,JoiMart
146, 7 Up 250 ml , 20.00 ,18.00,None,None,7 UP,250,ml,1,Success,JoiMart
147, Real Fruit Power Guava Juice 1 L , 120.00 ,90.00,None,None,REAL,1,l,1,Success,JoiMart
148, Tetley Lemon & Honey Green Tea Bags 100 pcs , 625.00 ,312.00,None,None,TETLEY,100,pcs,1,Success,JoiMart
149, Society Masala Tea 1 kg (Pouch) , 640.00 ,489.00,None,None,SOCIETY,1,kg,1,Success,JoiMart
150, Budweiser Beats Energy Drink 250 ml , 110.00 ,55.00,None,None,BUDWEISER,250,ml,1,Success,JoiMart
151, Storia Chocolate Shake 180 ml , 45.00 ,30.00,None,None,STORIA,180,ml,1,Success,JoiMart
152, Bournvita 200 g , 125.00 ,116.00,None,None,BOURNVITA,200,g,1,Success,JoiMart
153, Paper Boat Jaljeera Drink 200 ml , 35.00 ,23.00,None,None,PAPER BOAT,200,ml,1,Success,JoiMart
154, Protinex Rich Chocolate 400 g , 675.00 ,595.00,None,None,PROTINEX,400,g,1,Success,JoiMart
