,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
92, Tata Agni Leaf Tea 1.5 kg , 335.00 ,301.00,None,None,TATA AGNI
93, Women's Horlicks Plus Caramel Drink Mix 400 g , 355.00 ,295.00,None,None,HORLICKS
94, Zandu Sona Chandi Chyawanplus 900 g , 385.00 ,260.00,None,None,ZANDU
95, Frooti Mango Drink 125 ml ,10.00,10.00,None,None,FROOTI
96," MAHARASTRA CHAHA WITH ""CUP"" - Special Chai (Pack 2) 1 Kg Each Jar 500gm ", 750.00 ,262.00,None,None,"MAHARASTRA CHAHA WITH ""CUP"""
97, Nescafe Sunrise Instant Coffee Powder 50 g , 115.00 ,105.00,None,None,SUNRISE
98, Coca Cola 250 ml , 20.00 ,18.00,None,None,COCA COLA
99, Nescafe Classic Instant Coffee 24 g , 82.00 ,76.00,None,None,NESCAFE
100, Frooti 600 ml , 42.00 ,31.00,None,None,FROOTI
101, Patanjali Special Chyawanprash 1 kg , 360.00 ,270.00,None,None,PATANJALI
102, PediaSure Chocolate Drink Powder 400 g (Carton) , 770.00 ,700.00,None,None,PEDIASURE
103, BRU Green Label Filter Coffee Powder 500 g , 280.00 ,226.00,None,None,BRU
104, Mirinda Orange 250 ml , 20.00 ,18.00,None,None,MIRINDA
105, Rage Coffee 50 Gms Irish Hazelnut Flavour , 349.00 ,149.00,None,None,RAGE COFFEE
106, Sprite 300 ml , 40.00 ,34.00,None,None,SPRITE
107, Ensure Vanilla Drink Powder 400 g , 800.00 ,675.00,None,None,ENSURE
108, Bisleri Packaged Drinking Water 250 ml ,6.00,6.00,None,None,BISLERI
109, Complan Royale Chocolate Drink Powder 1 kg , 599.00 ,449.00,None,None,COMPLAN
110, Continental Speciale Instant Coffee 200g Pouch | 100% Pure Coffee , 400.00 ,389.00,None,None,CONTINENTAL
