Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Is Pack of,Discount,Discount Percentage,Price Per Unit(Kg/L)
129, Tata Sampann Unpolished Chilka Moong 500 g ,99.0,92.0,,,TATA SAMPANN,500.0,g,False,7.0,7.07,184.0
130, Gemini Refined Soyabean Oil 1 L ,140.0,103.0,,,GEMINI,1.0,l,False,37.0,26.43,103.0
131, Amul Cow Ghee 1 L (Pouch) ,650.0,595.0,,,AMUL,1.0,l,False,55.0,8.46,595.0
132, Good Life Small Brown Chana 500 g ,69.0,53.0,,,GOOD LIFE,500.0,g,False,16.0,23.19,106.0
133, Wonderland Foods Premium Raisins 500 g ,300.0,109.0,,,WONDERLAND FOODS,500.0,g,False,191.0,63.67,218.0
134, Go Crackers 2kg Broken Walnuts Kernels Amber without Shell (250g x 8) ,2360.0,857.0,,,GO,2.0,kg,False,1503.0,63.69,428.5
135, Mother Dairy Cow Ghee 1 L (Pouch) ,685.0,575.0,,,MOTHER DAIRY,1.0,l,False,110.0,16.06,575.0
136, Good Life Moong Dal 1 kg ,189.0,145.0,,,GOOD LIFE,1.0,kg,False,44.0,23.28,145.0
137, Fortune Everyday Full Grain Basmati Rice 1 kg ,169.0,99.0,,,FORTUNE,1.0,kg,False,70.0,41.42,99.0
138, Good Life Green Kishmish 500 g ,183.0,129.0,,,GOOD LIFE,500.0,g,False,54.0,29.51,258.0
139, Open Secret Kimia Dates 800g Premium Khajur ,500.0,281.0,,,OPEN SECRET,800.0,g,False,219.0,43.8,351.25
140, Tata Sampann Unpolished Moong Dal 1 kg ,209.0,194.0,,,TATA SAMPANN,1.0,kg,False,15.0,7.18,194.0
141, Good Life Almonds 1 kg ,1050.0,695.0,,,GOOD LIFE,1.0,kg,False,355.0,33.81,695.0
142, Wonderland Foods Platinum California Almonds 500 g ,725.0,299.0,,,WONDERLAND FOODS,500.0,g,False,426.0,58.76,598.0
143, Good Life Urad Dal 500 g ,97.0,80.0,,,GOOD LIFE,500.0,g,False,17.0,17.53,160.0
144, Aashirvaad Superior MP Whole Wheat Atta 1 kg ,61.0,55.0,,,AASHIRVAAD,1.0,kg,False,6.0,9.84,55.0
145," Happilo Essentials Popular Whole Cashew W400 1kg, Healthy Snack, Source of Protein, Vitamin & Minerals, No Preservatives ",1350.0,889.0,,,HAPPILO,400.0,1kg,False,461.0,34.15,
146, Good Life Unpolished Toor Dal 1 kg ,272.0,235.0,,,GOOD LIFE,1.0,kg,False,37.0,13.6,235.0
147, Broken Wheat / Daliya 500 g ,60.0,25.0,,,PRIVATE LABEL,500.0,g,False,35.0,58.33,50.0
148, Daawat Super Basmati Rice 1 kg ,220.0,139.0,,,DAAWAT,1.0,kg,False,81.0,36.82,139.0
149, Nutraj Jumbo California Walnuts in Shell 1 kg ,999.0,619.0,,( 309.50/500 g),NUTRAJ,1.0,kg,False,380.0,38.04,619.0
150, Amul Cow Ghee 1 L (Tin) ,665.0,618.0,,,AMUL,1.0,l,False,47.0,7.07,618.0
151, Good Life Chilli Powder 100 g ,50.0,32.0,,,GOOD LIFE,100.0,g,False,18.0,36.0,320.0
