Unnamed: 0,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform,Discount,Discount Percentage,Price Per Unit(Kg/L)
57, Dabur Chyawanprash 3x Immunity With Awaleha 950 g ,395.0,335.0,,,DABUR,950.0,g,1,Success,JoiMart,60.0,15.19,352.63
58, Sprite 250 ml ,20.0,18.0,,,SPRITE,250.0,ml,1,Success,JoiMart,2.0,10.0,72.0
59," Nikunj Dhaba Special Leaf Tea, 1.5 kg Budget Pack ",400.0,249.0,,,NIKUNJ,1.5,kg,1,Success,JoiMart,151.0,37.75,166.0
60, Coca Cola 600 ml ,38.0,32.0,,,COCA COLA,600.0,ml,1,Success,JoiMart,6.0,15.79,53.33
61, Pepsi 250 ml ,35.0,31.0,,,PEPSI,250.0,ml,1,Success,JoiMart,4.0,11.43,124.0
62, B Natural Orange Juice 1 L ,130.0,65.0,,,B NATURAL,1.0,l,1,Success,JoiMart,65.0,50.0,65.0
63, Thums Up 300 ml ,40.0,34.0,,,THUMS UP,300.0,ml,1,Success,JoiMart,6.0,15.0,113.33
64, Thums Up 250 ml ,20.0,18.0,,,THUMS UP,250.0,ml,1,Success,JoiMart,2.0,10.0,72.0
65, Horlicks Chocolate Delight 750 g ,375.0,255.0,,,HORLICKS,750.0,g,1,Success,JoiMart,120.0,32.0,340.0
66, Appy Fizz 600 ml ,35.0,32.0,,,APPY,600.0,ml,1,Success,JoiMart,3.0,8.57,53.33
67, Brooke Bond Red Label Leaf Tea 500 g ,300.0,265.0,,,RED LABEL,500.0,g,1,Success,JoiMart,35.0,11.67,530.0
68, Bournvita 75 g ,30.0,27.0,,,BOURNVITA,75.0,g,1,Success,JoiMart,3.0,10.0,360.0
69, Red Label Leaf Tea 250 g (Carton) ,155.0,139.0,,,RED LABEL,250.0,g,1,Success,JoiMart,16.0,10.32,556.0
70, Nescafe Classic Instant Coffee 90 g ,350.0,287.0,,,NESCAFE,90.0,g,1,Success,JoiMart,63.0,18.0,3188.89
71, Fanta Orange 600 ml ,38.0,32.0,,,FANTA,600.0,ml,1,Success,JoiMart,6.0,15.79,53.33
72, Nescafe Classic Instant Coffee 45 g ,170.0,141.0,,,NESCAFE,45.0,g,1,Success,JoiMart,29.0,17.06,3133.33
73, Real Fruit Power Mixed Fruit Juice 1 L ,128.0,93.0,,,REAL,1.0,l,1,Success,JoiMart,35.0,27.34,93.0
74, Tata Agni Strong Leaf Tea 500 g ,115.0,100.0,,,TATA AGNI,500.0,g,1,Success,JoiMart,15.0,13.04,200.0
75, Amul Pro Whey Protein Drink 500 g ,180.0,140.0,,,AMUL,500.0,g,1,Success,JoiMart,40.0,22.22,280.0
76, Fanta Orange 300 ml ,40.0,26.0,,,FANTA,300.0,ml,1,Success,JoiMart,14.0,35.0,86.67
77, Wagh Bakri Navchetan Strong Leaf Tea 1 kg ,220.0,199.0,,,WAGH BAKRI,1.0,kg,1,Success,JoiMart,21.0,9.55,199.0
78, B Natural Mixed Fruit Juice 180 ml ,20.0,15.0,,,B NATURAL,180.0,ml,1,Success,JoiMart,5.0,25.0,83.33
79, Society Tea 500 g ,290.0,265.0,,,SOCIETY,500.0,g,1,Success,JoiMart,25.0,8.62,530.0
