,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand
21, Britannia Bourbon The Original Cream Biscuits 150 g , 40.00 ,30.00,None,None,BRITANNIA
22, Parle-G Original Glucose Biscuits 800 g , 100.00 ,84.00,None,None,PARLE
23," Alpino Natural Peanut Butter Smooth 400 G | Unsweetened | 30 G Protein | 100% Roasted Peanuts | No Added Sugar, Salt or Hydrogenated Oils | High Protein Peanut Butter Creamy | Gluten-Free | Vegan ", 199.00 ,163.00, sponsored ,None,ALPINO
24, Lay's American Style Cream & Onion Potato Chips 90 g , 50.00 ,33.00,None,None,LAY'S
25, Sunfeast Dark Fantasy Vanilla Creme Biscuits 100 g , 35.00 ,17.00,None,None,DARK FANTASY
26, Bambino Soan Papdi Badam Flavour Each 200 Gms X Pack of 2 (400 Gms) , 180.00 ,139.00,None,None,BAMBINO
27," Shree Misthan Kaju Katli (Kaju Barfi / Burfi, Indian Mithai / Sweets Gift Pack / Box) Festive Gift Box 200g ", 260.00 ,219.00,None,None,SHREE MISTHAN
28, Lay's India's Magic Masala Potato Chips 90 g , 50.00 ,33.00,None,None,LAY'S
29, Alpino Natural Peanut Butter Crunch 400 G , 199.00 ,170.00, sponsored ,None,ALPINO
30, Parle Hide & Seek 4 Fun Flavours Choco Chip Creme Sandwich Biscuits 400 g , 130.00 ,65.00,None,None,PARLE
31, Bikaji Bikaneri Bhujia 1 kg , 350.00 ,250.00,None,None,BIKAJI
32, Cadbury Dairy Milk Fruit & Nut Chocolate 36 g , 45.00 ,40.00,None,None,CADBURY
33, Sunfeast Yippee Mood Masala Noodles 260 g , 60.00 ,30.00,None,None,YIPPEE
34, Mayora Malkist Cheese Flavoured Cracker Biscuits 144 g , 60.00 ,45.00,None,None,MAYORA
35, LuvIt Luscious Love Delights & Dairy Rich Home Delights Chocolates Combo - Pack of 3 - 414g , 518.00 ,339.00, sponsored ,None,LUVIT
36, Maggi 2-Minutes Masala Noodles Pack 832 g , 160.00 ,128.00,None,None,MAGGI
37, Parle 20-20 Gold Cashew Almond Cookies 1 kg , 250.00 ,125.00,None,None,PARLE
38, Britannia Good Day Cashew Biscuits 1 Kg , 320.00 ,160.00,None,None,GOOD DAY
39, Britannia Classic Little Hearts Biscuits 75 g , 30.00 ,22.00,None,None,BRITANNIA
40, Bingo Original Style Chilli Sprinkled Potato Chips 90 g , 50.00 ,33.00,None,None,BINGO
41, LuvIt Chocwich White Crunchy Wafers with Layers of Rich White Chocolate | Pack of 2 - 740g Each , 800.00 ,642.00, sponsored ,None,LUVIT
42, Haldiram Bhujiawala Chatak Bhujia Namkeen -800Gram (Pack of 2 *400 Grams each) , 260.00 ,240.00,None,None,HALDIRAM BHUJIAWALA
43, Haldiram's Bhujia Sev 1 kg , 260.00 ,190.00,None,None,HALDIRAM’S NAGPUR
44, Sunfeast Mom's Magic Cashew & Almond Biscuits 584 g , 130.00 ,78.00,None,None,SUNFEAST
45, Britannia Good Day Cashew Cookies 600 g , 135.00 ,110.00,None,None,BRITANNIA
46, Cadbury Dairy Milk Roast Almond Chocolate 36 g , 45.00 ,40.00,None,None,CADBURY
