,Product name,MRP,Selling Price,Tag,PerUnitPrice,Brand,Quantity,Unit,Pack of,Conversion,Platform
179, Sunfeast Yippee Cheese Pasta Treat 65 g , 28.00 ,18.00,None,None,SUNFEAST,65,g,1,Success,JoiMart
180, Aarambh Oats 1 kg , 230.00 ,115.00,None,None,AARAMBH,1,kg,1,Success,JoiMart
181, Candzey Pan Banarsi Candy 100 g , 40.00 ,20.00,None,None,CANDZEY,100,g,1,Success,JoiMart
182, Saffola Classic Instant Masala Oats 38 g , 17.00 ,15.00,None,None,SAFFOLA,38,g,1,Success,JoiMart
183, MTR Vermicelli 850 g , 87.00 ,60.00,None,None,MTR,850,g,1,Success,JoiMart
184, Parle Poppins 100 g , 30.00 ,22.00,None,None,PARLE,100,g,1,Success,JoiMart
185, Orion Choco Pie 28 g (12 pcs) , 170.00 ,113.00,None,None,ORION,28,g,1,Success,JoiMart
186, Knorr Tomato Chatpata Instant Cup-a-Soup 13.5 g ,10.00,10.00,None,None,KNORR,13.5,g,1,Success,JoiMart
187, Cadbury Dairy Milk Maha Pack Chocolate 55 g , 50.00 ,45.00,None,None,CADBURY,55,g,1,Success,JoiMart
188, Snactac Tasty Peanuts 150 g , 72.00 ,36.00,None,None,SNACTAC,150,g,1,Success,JoiMart
189, Weikfield Macaroni Pasta 900 g , 120.00 ,89.00,None,None,WEIKFIELD,900,g,1,Success,JoiMart
190, Snactac Aloo Bhujia 1 kg , 300.00 ,150.00,None,None,SNACTAC,1,kg,1,Success,JoiMart
191, Cadbury 5 Star 3D Chocolate 45 g , 35.00 ,24.00,None,None,CADBURY,45,g,1,Success,JoiMart
192, Best Farms Frozen Green Peas 1 kg , 300.00 ,150.00,None,None,BEST FARMS,1,kg,1,Success,JoiMart
193, Haldiram's Mixture 350 g , 90.00 ,84.00,None,None,HALDIRAM’S NAGPUR,350,g,1,Success,JoiMart
194, Nestle Classic Milk Chocolate 18 g ,10.00,10.00,None,None,NESTLE,18,g,1,Success,JoiMart
195, Kissan Mixed Fruit Jam 200 g , 75.00 ,66.00,None,None,KISSAN,200,g,1,Success,JoiMart
196, Sunfeast Mom's Magic Cashew & Almond Cookies 197 g , 45.00 ,41.00,None,None,SUNFEAST,197,g,1,Success,JoiMart
197, Parle Fab! Bourbon Chocolate Sandwich Biscuits 500 g , 160.00 ,80.00,None,None,PARLE,500,g,1,Success,JoiMart
198, Parle Monaco Classic Regular Salted Biscuits 400 g , 80.00 ,68.00,None,None,PARLE,400,g,1,Success,JoiMart
199, Sunfeast Yippee Magic Masala Instant Noodles 480 g , 105.00 ,70.00,None,None,SUNFEAST,480,g,1,Success,JoiMart
200, Snac tac Tomato Ketchup 950 g , 160.00 ,80.00,None,None,SNACTAC,950,g,1,Success,JoiMart
201, Nestle Milkybar 42 g , 40.00 ,32.00,None,None,MILKYBAR,42,g,1,Success,JoiMart
202, Bambino Roasted Vermicelli 850 g , 115.00 ,104.00,None,None,BAMBINO,850,g,1,Success,JoiMart
203, Act II Chilli Surprise Instant Popcorn 30 g ,12.00,12.00,None,None,ACT II,30,g,1,Success,JoiMart
204, Dukes Waffy Chocolate Wafers 60 g , 50.00 ,25.00,None,None,DUKES,60,g,1,Success,JoiMart
205, MTR 3 Minute Breakfast Poha Mix 60 g , 27.00 ,18.00,None,None,MTR,60,g,1,Success,JoiMart
206, Saffola Veggie Twist Instant Masala Oats 38 g , 17.00 ,15.00,None,None,SAFFOLA,38,g,1,Success,JoiMart
207, Bambino Saon Papdi Butterscotch Flavour 400 Gms (Each 200 Gms X Pack of 2) , 180.00 ,149.00,None,None,BAMBINO,400,gms,2,Success,JoiMart
208, GONGLOO Homemade Rajasthani Green Chilli Pickle | Ready to Eat Hari Mirch ka Achar | High in Vitamin C & Fibre | Hygienically Packed | Rich in Antioxidants | Improves Digestion | 300 GM , 259.00 ,166.00,None,None,GONGLOO,300,gm,1,Success,JoiMart
209, Indiyum Kaju Barfi 200g , 260.00 ,205.00,None,None,INDIYUM,200,g,1,Success,JoiMart
210, Britannia NutriChoice Seeds Biscuits 75 g , 25.00 ,21.00,None,None,NUTRI CHOICE,75,g,1,Success,JoiMart
211, Haldiram Bhujiawala Navrattan Namkeen 800g | Delicious Spicy Flavour | Pack of 2 | 400 Grams Each , 260.00 ,220.00,None,None,HALDIRAM BHUJIAWALA,800,g,2,Success,JoiMart
212, Veganic Organic Mixture Namkin | Delicious Namkeen with Peanut | Tea Time Snacks 400g , 299.00 ,199.00,None,None,VEGANIC,400,g,1,Success,JoiMart
213, Bagrry's Original & Healthier Cornflakes Plus 800 g , 399.00 ,199.00,None,None,BAGRRY'S,800,g,1,Success,JoiMart
214, Knorr Manchow Veg Instant Cup-a-Soup 11 g ,10.00,10.00,None,None,KNORR,11,g,1,Success,JoiMart
215, Quaker Oats 400 g , 79.00 ,69.00,None,None,QUAKER,400,g,1,Success,JoiMart
216, Cadbury Dairy Milk Silk Chocolate 60 g , 80.00 ,74.00,None,None,CADBURY,60,g,1,Success,JoiMart
217, Dukes Waffy Orange Wafers 60 g , 50.00 ,25.00,None,None,DUKES,60,g,1,Success,JoiMart
