,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
122,Natural Mineral Water,₹50,₹50,Himalayan,750 ml 
123,"Nutrition Drink - Health, Energy & Sports",₹599,₹599,Boost,1 Kg - Carton
124,Cold Extracted Juice - Pomegranate,₹770.04,₹900,Raw Pressery,2x1 L - Multipack
125,"Care Flavoured Tea - Brahmi, Ginger, Tulsi, Elaichi & Adhimadhuram",₹228,₹240,Tata Tea Chakra Gold,250 g - Carton
126,Delight Fruit Juice - Pineapple,₹220,₹220,Tropicana,2x1 L - Multipack
127,Soft Drink - Orange,₹67,₹75,Mirinda,1.5 L 
128,"Yellow Label Tea - Finest Blend, Rich, Aromatic",₹300,₹300,Lipton,250 g 
129,Soft Drink - Lime Flavoured,₹480,₹480,Sprite,12x300 ml - Multipack
130,"7+ Health Drink - With Oats & Almond, Vanilla Flavour",₹565,₹615,Pediasure,400 g - Box
131,"Mother's Plus, Vanilla",₹589,₹620,Horlicks,400 g - Carton
132,Soft Drink,₹444,₹480,Thums Up,12x300 ml - Multipack
133,Filter Coffee Decoction,₹236.9,₹250,iD,2 x 150 ml - Multipack
134,Drink Mix - Badam,₹80,₹80,MTR,100 g - Pouch
135,Filter Coffee Liquid Strong,₹178.22,₹198,iD,2 x 150 ml - Multipack
136,Limonata - Limey Minty Cooler,₹80,₹80,Bisleri ,2x600 ml - Multipack
137,Instant Pure Coffee,₹287,₹350,BRU,100 g - Jar
138,Health Drink Vanilla Delight,₹1420,₹1540,Pediasure,2x400 g - Multipack
139,Malgudi Filter Coffee Pouch -  80:20,₹140,₹140,Continental,200 g 
140,Soft Drink,₹176,₹198,Coca Cola,2 x 2.25 L - (Multipack)
141,"Instant Coffee Powder - Chicory Mix, Shade-Grown, No Preservatives",₹157.7,₹198,iD,2 x 50 g - Multipack
142,Soft Drink - Lemon,₹888,₹960,7 Up,24x750 ml - Multipack
143,Tender Coconut Water With Pulpy Malai,₹936,₹1440,Fresho,24x200 ml - Multipack
144,Fruit Power Juice - Litchi,₹331.74,₹375,Real,3x1 L - Multipack
145,Top Star Tea,₹373,₹410,3 Roses,500 g - Carton
146,"Organic Tulsi Green Tea - Lemon & Ginger, Stress Relieving",₹206.4,₹215,Organic India,45 g - (25 Bags x 1.8 g each)
147,SOFT DRINK,0,0,Sprite,250 ml 
148,Premium Leaf Tea,0,0,Wagh Bakri,500 g 
149,"Juice - Fruit Power, Pomegranate/Anar",₹100.8,₹120,Real,6x200 ml - Multipack
150,Health Drink Kesar Badam,₹450,₹450,Pediasure,200 g - Carton
151,Lite Health & Nutrition Drink - Badam Flavour,₹324,₹349,Horlicks,450 g - Carton
152,"Valencia Orange Juice - Cold-Pressed, No Added Sugar, Preservative Free",₹475,₹645,Fresho Signature,5x250 ml - Multipack
153,Fruit Power Juice - Mixed Fruits,₹343.38,₹384,Real,3X1 L - Multipack
154,Rich Aroma Instant Coffee,₹1235,₹1300,Davidoff,2 x 100 g - Multipack
155,100 % Orange Juice - With No Added Sugar and Preservative,₹392.85,₹465,Real Activ,3x1 L - Multipack
156,Chilli Guava Fruit Juice,₹197.4,₹210,Paper Boat,6x200 ml - Multipack
157,Fruit Power Juice - Mango/Aam,₹296.82,₹345,Real,3x1 L - Multipack
158,Sports Drink - Orange Flavour,₹150,₹150,Gatorade,3x500 ml - Multipack
159,"Classic, Pure & Natural From Highest Hills",₹265.72,₹292,Tata Tea Kanan Devan,1 kg 
160,Kimchi,₹450,₹450,Bombucha,450 g 
161,Smartwater,₹720,₹720,Glaceau ,12x750 ml - Multipack
162,"Nutritious Milk Drink For Growing Children - Creamy Vanilla Flavour, For 2-6 Yrs",₹610,₹610,Nestlé NANGROW,400 g - Carton
163,Natural Mountain Water - Vedica,₹360,₹360,Bisleri ,6x1 L - Multi Pack
164,"Instant Filter Coffee Liquid - Strong, Chicory Blend, No Preservatives",₹240,₹240,iD,400 ml - ( 8 Units x Pack of 5(10 ml Each))
165,"Vedic Tea - Handpicked From Assam, Nilgiri & Darjeeling",₹221.25,₹295,Dabur,500 g 
166,Copper+,₹17.6,₹20,Tata ,1 L - Bottle
167,"Nutritional Supplement - High Protein, Vanilla Flavour",₹1200,₹1350,Protinex ,2x400 g - (Multipack)
168,Kadak Tea,₹758,₹1140,Emperia,2x1 kg - (Multipack)
169,100% Tender Coconut Water/Nariyal Pani,₹552,₹660,Real Activ,12 x 200 ml - Multipack
170,Premium Tea With 20% Extra Long Leaf,₹838,₹1250,Emperia,2x1 kg - (Multipack)
171,"Millet Chocolate - Rich In Calcium, Protein & Iron",₹354,₹399,Horlicks,600 g 
172,Natural Extracts Refreshing Taste Aroma,₹285,₹285,Tata Tea Premium Teaveda,500 g - Box
173,Golden Leaf Tea,₹233.75,₹275,Tata Tea Kanan Devan,500 g 
174,Coffee - Pure,₹442,₹442,Narasus,500 g - Pouch
175,Health Drink - Choco Caramel,₹280,₹280,Maltova,500 g - Carton
176,Fruit Juice - Grape,₹211.68,₹250,Real,2 x 1 L - Multipack
177,Fresh Filter Coffee - 80 Degree,₹294.5,₹310,Continental Malgudi,500 g - 1
178,Tea,₹80,₹80,Taj Mahal,25 pcs 
179,"Lush Lychee Juice - Enriched With Vitamin D, No GMOs",₹120,₹120,Paperboat Swing,3x600 ml - Multipack
180,"Gold - 100% Pure Coffee, Original , Robusta & Arabica Beans Blend",₹390,₹520,Tata Coffee,100 g - Jar
