,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Converted_Quantity,Numeric_Part
92,92,Jaggery - Square,BB Royal,100.0,86.0,14.0,14.0,1 kg ,1 kg ,1000.0,1000.0
93,93,Cow Ghee/Tuppa,Aashirvaad Svasti,840.0,798.0,42.0,5.0,1 L - Pet Jar,1 L ,1000.0,1000.0
94,94,Chana - Brown/Kadale Kaalu,BB Popular,35.0,24.0,11.0,31.43,200 g - Pouch,200 g ,200.0,200.0
95,95,Kurnool Sona Masoori Raw Rice  (12 + Months Old),BB Royal,350.0,295.0,55.0,15.71,5 kg - (12 + Months Old),5 kg ,5000.0,5000.0
96,96,Moong Dal/Hesaru Bele,BB Popular,190.0,138.0,52.0,27.37,1 kg - Pouch,1 kg ,1000.0,1000.0
97,97,Cold Pressed Groundnut Cooking Oil - Cooks Indian Dishes,BB Royal Organic,1500.0,1056.99,443.01,29.53,3x1L - Multipack,3x1L ,"(3.0, 'l')",3.0
98,98,Gingelly Oil,Mr. Gold,375.0,353.92,21.079999999999984,5.62,1 L ,1 L ,1000.0,1000.0
99,99,Fenugreek/Methi/Menthya,BB Popular,60.0,32.0,28.0,46.67,200 g ,200 g ,200.0,200.0
100,100,Chana Dal/Kadale Bele,BB Popular,130.0,120.0,10.0,7.69,1 kg - Pouch,1 kg ,1000.0,1000.0
101,101,Cold Pressed Sunflower Cooking Oil - Cooks Indian Dishes,BB Royal Organic,1350.0,1026.99,323.01,23.93,3x1L - Multipack,3x1L ,"(3.0, 'l')",3.0
102,102,New Rice/Akki - Sona Masoori,BB Popular,325.0,299.0,26.0,8.0,5 kg ,5 kg ,5000.0,5000.0
103,103,Rice/Akki - Dosa,BB Royal,60.0,51.0,9.0,15.0,1 kg - Pouch,1 kg ,1000.0,1000.0
104,104,Rice Flour,Vijay,58.0,56.84,1.1599999999999966,2.0,1 kg ,1 kg ,1000.0,1000.0
105,105,Organic - Cardamom Green/Elakki,BB Royal,449.0,444.0,5.0,1.11,100 g ,100 g ,100.0,100.0
106,106,Unpolished Green Moong Dal - Whole,Tata Sampann,198.0,192.06,5.939999999999998,3.0,2 x 500 g - Multipack,2 x 500 g ,"(1000.0, 'g')",1000.0
107,107,Coconut Oil,Kpl Shudhi,145.0,125.34,19.659999999999997,13.56,500 ml - Pouch,500 ml ,500.0,500.0
108,108,Urad Gota/Whole,BB Super Saver,380.0,302.0,78.0,20.53,2 kg ,2 kg ,2000.0,2000.0
109,109,"Organic - Moong Dal/Hesaru Bele, Unpolished",BB Royal,449.0,354.0,95.0,21.16,2 kg ,2 kg ,2000.0,2000.0
