,Product name,MRP,Discount,Tag,PerUnitPrice,Brand Generated
164, Girnar Royal Cup Tea 250 g , 145.00 ,134.00,None,None,Girnar
165, Wagh Bakri Premium Navchetan Tea | 250g*4 Pk | 1kg | + Organic Green Ilayachi 25g | , 450.00 ,445.00,None,None,Wagh Bakri
166, Nature Day Fresh Lime Sparkling Fruit Drink 600 ml , 60.00 ,30.00,None,None,None
167, Sprite Malaysia 320ml Imported |Pack of 2| , 400.00 ,360.00,None,None,Sprite
168, NESCAFE Classic Instant Coffee Powder Imported | Instant Coffee Made with Robusta Beans | Roasted Coffee Beans | 100% Pure Coffee | 190g / 200g , 799.00 ,674.00,None,None,None
169, Tata Tea Premium Tea 1.5 kg , 705.00 ,525.00,None,None,Tata Tea Premium
170," Lipton Tulsi Natura Green Tea Bags, 50 Tea Bags ", 310.00 ,270.00,None,None,Lipton
171, Balaji Agro Meri Chai_ CHARMINAR_ 1kg , 240.00 ,180.00,None,None,None
172, Tata Tea Premium| Desh Ki Chai| 250 Gm* 2 Packs| 500g+ Green Ilayachi 25g , 510.00 ,490.00,None,None,Tata Tea Premium
173, Patanjali Amla Juice 1 L , 140.00 ,126.00,None,None,Patanjali
174, Tata Tea Gold |Premium Assam Tea Gently Aromatic Long Leaves| 500G + Green Ilayachi 25 Gm , 550.00 ,540.00,None,None,Tata Tea Gold
175," Nikunj Supreme Leaf Tea, 1kg ", 400.00 ,279.00,None,None,None
176, PediaSure Chocolate Drink Powder 200 g (Carton) , 420.00 ,390.00,None,None,None
177, Protinex Creamy Vanilla 400 g , 675.00 ,589.00,None,None,Protinex
178, Wagh Bakri | Navchetan Premium Tea| 250 Gm Each| Pack of 4| 1 Kg+ Green Elaichi 25 Gm , 470.00 ,465.00,None,None,Wagh Bakri
179, Cravova Peach Mojito 300 ml , 60.00 ,30.00,None,None,None
180, PediaSure 7 Plus Vanilla Drink Powder 400 g , 615.00 ,571.00,None,None,None
181, Girnar Detox Green Tea - Desi Kahwa |36 Tea Bags in Each Pack | Pack of 2 + Green Elaichi 25 Gm ,869.00,869.00,None,None,Girnar
182, HORLICKS DIABETES PLUS (400 g) , 790.00 ,749.00,None,None,None
183, Gatorade Blue Bolt Sports Drink 500 ml , 50.00 ,45.00,None,None,Gatorade
184, Lipton Darjeeling Leaf Tea 250 g (Carton) , 495.00 ,396.00,None,None,Lipton
185, Coolberg Non Alcoholic Cranberry Beer 330 ml , 99.00 ,73.00,None,None,Coolberg
186, Apple Cider Vinegar for Weight Loss With Mother Unfiltered And Undiluted Vinegar Vinegar (500 ml) , 399.00 ,175.00,None,None,None
187, Raw Pressery Coconut Water 200 ml , 60.00 ,49.00,None,None,Raw Pressery
188, Dabur Vita Chocolaty Drink Mix 500 g , 230.00 ,130.00,None,None,Dabur
