,Product name,MRP,Discount,Tag,PerUnitPrice
95, Maggi Masala Ae Magic 6 g (Pack of 12) , 60.00 ,55.00,None,None
96, Regular Value Pack Plain Cashews 500 g , 500.00 ,355.00,None,None
97, Nutraj California Walnuts InShell 1 kg (500gm x 2) ," 1,098.00 ",529.00,None,( 264.50/500 g)
98, Good Life MP Wheat Chakki Atta 5 kg , 275.00 ,199.00,None,( 39.80/1 kg)
99, Nature Fresh Sampoorna Chakki Whole Wheat Atta 10 kg , 460.00 ,379.00,None,( 37.90/1 kg)
100, Nutri Binge 500g Pistachios Roasted & Salted California , 920.00 ,629.00,None,None
101, Elina Long Grain Rice 1 kg , 195.00 ,65.00,None,None
102, GKD's Premium 2 L Pure Coconut Oil Jar , 760.00 ,599.00,None,None
103, Amul Pure Ghee 500 ml (Pouch) , 320.00 ,299.00,None,None
104," Horaira Nutz Premium Dry fruits Combo Pack 500g Almond , Cashews ( Pack of 2 _ Each 250g ) ", 999.00 ,513.00,None,None
105, Good Life Turmeric Powder 100 g , 50.00 ,21.00,None,None
106, Good Life Masoor Dal 500 g , 69.00 ,51.00,None,None
107, RUNUTZ 1kg Cashew Nuts (250g X 4) ," 1,180.00 ",739.00,None,None
108, Wonderland Foods Premium Raisins 500 g , 300.00 ,109.00,None,None
109, Amul Cow Ghee 1 L (Pouch) , 650.00 ,595.00,None,None
110, Good Life Small Brown Chana 500 g , 69.00 ,53.00,None,None
111, Good Life Roasted Chana Dal / Split Bengal Gram 500 g , 80.00 ,55.00,None,None
112, Tata Sampann Unpolished Chilka Moong 500 g , 99.00 ,92.00,None,None
113, Open Secret Kimia Dates 800g Premium Khajur , 500.00 ,281.00,None,None
114, Fortune Rozana Basmati Rice 5 kg Bag + Fortune Rice Bran Health Physically Refined Rice Bran Oil 5 L PET Combo ," 1,425.00 ",949.00,None,None
115, Mother Dairy Cow Ghee 1 L (Pouch) , 685.00 ,575.00,None,None
116, Good Life Green Kishmish 500 g , 183.00 ,129.00,None,None
117, Good Life Moong Dal 1 kg , 189.00 ,145.00,None,None
118, Go Crackers 2kg Broken Walnuts Kernels Amber without Shell (250g x 8) ," 2,360.00 ",857.00,None,None
119, Good Life Almonds 1 kg ," 1,050.00 ",695.00,None,None
120, Aashirvaad Superior MP Whole Wheat Atta 1 kg , 60.00 ,55.00,None,None
121, Nutraj Jumbo California Walnuts in Shell 1 kg , 999.00 ,619.00,None,( 309.50/500 g)
122, Good Life Urad Dal 500 g , 97.00 ,80.00,None,None
123, Annprash White Sugar - 0.5 kg , 499.00 ,148.00,None,None
124," Happilo Essentials Popular Whole Cashew W400 1kg, Healthy Snack, Source of Protein, Vitamin & Minerals, No Preservatives "," 1,350.00 ",889.00,None,None
125, Yogabar 500g Cashews W320 | 100% Natural Premium Whole Cashews | Whole Crunchy Cashew | Premium Kaju nuts | Nutritious & Delicious | Gluten Free & Plant based Protein , 600.00 ,449.00,None,None
126, Broken Wheat / Daliya 500 g , 60.00 ,25.00,None,None
127, Daawat Super Basmati Rice 1 kg , 220.00 ,139.00,None,None
128, Sunny Sun Lite Refined Sunflower Oil 1 L (Pouch) , 185.00 ,102.00,None,None
129, Good Life Unpolished Toor Dal 1 kg , 272.00 ,219.00,None,None
130, Good Life Chilli Powder 100 g , 50.00 ,32.00,None,None
131, Suhana Simla Premium 1 Liter Danedar Cow Ghee | Pure Cow Ghee | 1Liter , 775.00 ,449.00,None,None
132, BLK FOODS Select 500g Cashews Nuts (320 no. Kaju) ," 1,150.00 ",369.00,None,None
133, Rice Villa Rozana Basmati Rice 26 Kg ," 2,600.00 ","1,559.00",None,( 59.96/1 kg)
134, Ziofit 1kg Popular Almonds Calfornia ," 1,250.00 ",799.00,None,None
135, Tulsi California Rozana Value Almonds 1 Kg ," 1,140.00 ",749.00,None,None
136," Farmley Popular California Almonds, 100% Natural, 2 Times Crunchier, 500 g ", 899.00 ,449.00,None,None
137, Good Life Toor Dal 500 g , 134.00 ,106.00,None,None
138, Good Life Chana Dal 1 kg , 138.00 ,99.00,None,None
139, Tata Lite Sodium Curtailed Iodised Salt 1 kg , 50.00 ,45.00,None,None
140, Navjeevan Jeera 500g (Cumin) , 750.00 ,329.00,None,( 65.80/100 g)
141, Jivo Cold Pressed Sunflower Oil 5 Ltr - Chemical free ," 1,350.00 ",799.00,None,None
142, India Gate Rozana Basmati Rice 5 kg , 570.00 ,429.00,None,None
143, 921 CLASSIC BASMATI MOGRA | MUNGRA RICE - 30 KG ," 1,750.00 ","1,299.00",None,( 43.30/1 kg)
144, Gulab Sungold Refined Sunflower Oil 1 L , 150.00 ,91.00,None,None
145, Good Life Compounded Hing Powder 50 g , 95.00 ,55.00,None,None
146, Good Life Soya Wadi / Chunks 200 g , 55.00 ,27.00,None,None
147, Date Crown Premium Fard Dates 500 g , 257.00 ,169.00,None,None
148, Naturoz 1kg Daily Whole Cashews ," 1,125.00 ",795.00,None,None
149, Prabhat Cow Ghee 1 L (Pouch) , 725.00 ,539.00,None,None
150, Molsi's 1Kg Kimia Dates (500gX2) , 550.00 ,345.00,None,None
