,Product name,MRP,Discount,Tag,PerUnitPrice
116, Bikaji Tana Bana Khatta Meetha 1 kg , 350.00 ,175.00,None,None
117, McVitie's Digestive Biscuits 959.1 g , 300.00 ,200.00,None,None
118, Haldiram Bhujiawala Rasgulla 1.25Kg | Juicy Tasty With Sugar Syrup -1 Kg with 250 gram Free | Sweet mithai , 300.00 ,278.00,None,None
119, Quaker Oats 1 kg , 199.00 ,179.00,None,None
120, Ching's Secret Schezwan Chutney 600 g , 180.00 ,125.00,None,None
121, Parle Happy Happy Choco-Chip Cookies 396 g , 150.00 ,75.00,None,None
122, Cadbury Dairy Milk Crackle Chocolate 36 g , 45.00 ,38.00,None,None
123," HF, SURYA 800gm ASSORTED SOAN PAPDI (ELAICHI, ORANGE, CHOCO CHIP, COCONUT) | PACK OF 4; 200gm X 4 |Indian sweet ", 400.00 ,239.00,None,None
124, Dukes Waffy Choco Wafer Rolls 250 g , 180.00 ,90.00,None,None
125, LuvIt Goodies Chocolates Assorted Gift Pack | Gift Pack for Diwali Celebration | Pack of 5 -148.5 g Each , 700.00 ,499.00,None,None
126, Parle 20-20 Gold Cashew Almond Cookies 600 g , 190.00 ,95.00,None,None
127, Snactac Masala Noodles 280 g , 80.00 ,40.00,None,None
128, Haldiram Bhujiawala Gulab Jamun 1.25 kg |Tasty and Healthy Juicy Sweet - 1 Kg 250 grams Free | Sweet mithai | Sweets , 300.00 ,280.00,None,None
129," Boomer Wrigley Super Bubble Gum, Strawberry Flavoured 850g ( Pack Of 2 ) ", 500.00 ,385.00,None,None
130, Haldiram Bhujiawala Chatak Bhujia Namkeen 1Kg ,300.00,300.00,None,None
131, Cadbury Chocobakes Chocofilled Cookies 300 g , 170.00 ,113.00,None,None
132, Britannia Good Day Chocochip Cookies 400 g , 140.00 ,74.00,None,None
133, Britannia Pure Magic Chocolush Choco Filled Cookie 75 g , 40.00 ,30.00,None,None
134, Britannia Good Day Cashew Cookies 200 g , 50.00 ,43.00,None,None
135, Cadbury Oreo Original Chocolatey Sandwich Biscuits 918.75 g , 290.00 ,145.00,None,None
136, Parle Hide & Seek Milano Chocolate Chip Biscuits 75 g , 40.00 ,30.00,None,None
137, Sunfeast Marie Light Biscuits 1 kg , 150.00 ,99.00,None,None
138, Amul Kaju Katri 500 g , 435.00 ,385.00,None,None
139," Yogabar Dark Chocolate Peanut Butter 1 kg | Chocolate Peanut Butter | High Protein Peanuts butter with Anti-Oxidants | Crunchy , Chocolatey & Creamy Peanut Butters | 100%Vegan & No Preservatives ", 589.00 ,399.00,None,None
140, Kissan Mixed Fruit Jam 90 g , 60.00 ,55.00,None,None
141, Cadbury Oreo ChocoCreme Chocolatey Sandwich Biscuits 43.75 g ,10.00,10.00,None,None
142, Britannia 50-50 Potazos Masti Masala Spicy Flavoured Crisps 71.5 g , 25.00 ,21.00,None,None
143, Peppy Cheese Balls 60 g , 60.00 ,30.00,None,None
144, Parle Fab Jam-In Cream Biscuits 150 g , 50.00 ,46.00,None,None
