Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Ensure Nutrition Powder - Vanilla Flavour : 400 gms,800,710,400 gm,Ensure,₹ 1.77
Protinex Vanilla Flavour Health Drink : 400 gms,675,595,400 gm,Protinex,₹ 1.49
Protinex Chocolate Flavour : 750 gms,1235,950,750 gm,Protinex,₹ 1.27
Cadbury Bournvita 5 Star Magic Drink Pouch : 750 gms,412,345,750 gm,Cadbury,₹ 0.46
Hershey's Natural Unsweetened Cocoa Powder : 225 gms,300,275,225 gm,Hershey's,₹ 1.22
Cadbury Hot Chocolate Drink Powder Mix : 200 gms,220,190,200 gm,Cadbury,₹ 0.95
Ensure Diabetes Care Nutrition Powder - Vanilla Flavour : 400 gms,925,830,400 gm,Ensure,₹ 2.08
Ensure Nutrition Powder - Chocolate Flavour : 400 gms,840,749,400 gm,Ensure,₹ 1.87
Boost Jar : 450 gms,299,274,450 gm,Boost,₹ 0.61
Horlicks Chocolate Delight Flavour Jar : 200 gms,119,110,200 gm,Horlicks,₹ 0.55
Blue Bird Cocoa Powder : 50 gms,70,55,50 gm,Blue,₹ 1.10
Christopher Dark Cocoa Powder For Baking & Hot & Cold Drinks : 200 gms,299,149,200 gm,Christopher,₹ 0.74
Christopher Cocoa Original Drinking Cocoa : 200 gms,299,149,200 gm,Christopher,₹ 0.74
Ensure Nutrition Powder - Vanilla Flavour : 200 gms,440,410,200 gm,Ensure,₹ 2.05
Ensure Chocolate Flavour : 200 gms,440,410,200 gm,Ensure,₹ 2.05
Thums Up Bottle : 8x250 ml,160,130,8x250 ml,Thums,₹ 2.05
Thums Up : 2.25 Litres,99,77,2.25 L,Thums,₹ 34.22
Sprite : 8x250 ml,160,130,8x250 ml,Sprite,₹ 34.22
Sprite : 2.25 Litres,99,74,2.25 L,Sprite,₹ 32.89
Coca-Cola Bottle : 8x250 ml,160,140,8x250 ml,Coca-Cola,₹ 32.89
Mirinda Orange : 2.25 Litres,90,64,2.25 L,Mirinda,₹ 28.44
Fanta Orange Flavour : 2.25 Litres,99,69,2.25 L,Fanta,₹ 30.67
Coca-Cola : 2.25 Litres,99,69,2.25 L,Coca-Cola,₹ 30.67
Fanta Orange Flavour : 8x250 ml,160,135,8x250 ml,Fanta,₹ 30.67
Bisleri Club Soda : 750 ml,20,10,750 ml,Bisleri,₹ 0.01
Pepsi : 750 ml,40,29,750  ml,Pepsi,₹ 0.04
Limca : 2 Litres,99,69,2 L,Limca,₹ 34.50
7 Up : 2.25 Litres,90,74,2.25 L,7,₹ 32.89
Diet Coke Tin : 300 ml,40,28,300 ml,Diet,₹ 0.09
Xotik Jeeru Jeera Masala Drink : 2 Litres,100,75,2 L,Xotik,₹ 37.50
Duke's Club Soda : 750 ml,20,17,750 ml,Duke's,₹ 0.02
Mirinda Orange : 750 ml,40,35,750 ml,Mirinda,₹ 0.05
Budweiser 0.0 Non-Alcoholic Can : 330 ml,99,49,330 ml,Budweiser,₹ 0.15
Schweppes Original Ginger Ale : 300 ml,60,49,300 ml,Schweppes,₹ 0.16
Bisleri Limonata - With Lime Juice : 600 ml,40,25,600 ml,Bisleri,₹ 0.04
Schweppes Indian Tonic Water Tin : 300 ml,60,50,300 ml,Schweppes,₹ 0.17
Frooti Mango Drink Bottle : 2 Litres,120,89,2 L,Frooti,₹ 44.50
Coke Zero Sugar : 300 ml,40,28,300 ml,Coke,₹ 0.09
Coca-Cola Tin : 300 ml,40,28,300 ml,Coca-Cola,₹ 0.09
Budweiser Green Apple Non-Alcoholic Beer Can : 330 ml,99,49,330 ml,Budweiser,₹ 0.15
Cravova Classic Mojito : 300 ml,60,30,300 ml,Cravova,₹ 0.10
Cravova Peach Mojito : 300 ml,60,30,300 ml,Cravova,₹ 0.10
Coolberg Cranberry Non-Alcoholic Beer : 330 ml,99,79,330 ml,Coolberg,₹ 0.24
Cravova Green Apple Mojito : 300 ml,60,30,300 ml,Cravova,₹ 0.10
O'cean Fruit Drink - Peach & Passion Fruit Flavour : 500 ml,60,45,500 ml,O'cean,₹ 0.09
Cravova Watermelon Mojito : 300 ml,60,30,300 ml,Cravova,₹ 0.10
Coolberg Peach Non-Alcoholic Beer : 330 ml,99,71,330 ml,Coolberg,₹ 0.22
Coolberg Ginger Non-Alcoholic Beer : 330 ml,99,71,330 ml,Coolberg,₹ 0.22
Cravova Classic Lemonade: 300 ml,60,30,300 ml,Cravova,₹ 0.10
Coolberg Malt-Based Non-Alcoholic Cranberry Beer : 300 ml,99,66,300 ml,Coolberg,₹ 0.22
Appy Fizz Apple Flavoured Sparkling Drink : 1 Litre,60,56,1 L,Appy,₹ 0.06
Appy Fizz Apple Flavoured Sparkling Drink : 250 ml,20,18,250 ml,Appy,₹ 0.07
Appy Fizz Apple Flavoured Sparkling Drink : 600 ml,35,32,600 ml,Appy,₹ 0.05
Valentino Sparkling Red Grape Juice : 750 ml,550,495,750 ml,Valentino,₹ 0.66
Maaza Mango Drink : 1.2 Litres,75,55,1.2 L,Maaza,₹ 45.83
Maaza Mango Drink : 10x135 ml,100,79,10x135 ml,Maaza,₹ 45.83
Real Fruit Power Mixed Fruit : 1 Litre,128,93,1 L,Real,₹ 93.00
Minute Maid Pulpy Orange Juice : 1 Litre,90,69,1 L,Minute,₹ 69.00
Slice Mango Drink : 1.75 Litres,99,75,1.75 L,Slice,₹ 42.86
B Natural Mixed Fruit Beverage : 1 Litre,130,65,1 L,B,₹ 65.00
Real Fruit Power Orange : 1 Litre,130,104,1 L,Real,₹ 104.00
Real Fruit Power Guava : 1 Litre,120,81,1 L,Real,₹ 81.00
Real Fruit Power Litchi : 1 Litre,125,95,1 L,Real,₹ 95.00
Real Fruit Power Cranberry : 1 Litre,130,113,1 L,Real,₹ 113.00
Real Fruit Power Pomegranate : 1 Litre,130,105,1 L,Real,₹ 105.00
B Natural Guava Fruit Beverage : 1 Litre,130,65,1 L,B,₹ 65.00
B Natural Litchi Fruit Beverage : 1 Litre,130,65,1 L,B,₹ 65.00
Raw Pressery Coconut Water : 200 ml,60,39,200 ml,Raw,₹ 0.20
B Natural Orange Fruit Beverage : 1 Litre,130,65,1 L,B,₹ 65.00
Tropicana Mixed Fruit Delight : 1 Litre,125,62,1 L,Tropicana,₹ 62.00
