Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Parle Hide & Seek Choco Rolls : 250 gms,170,85.0,250 gm,Parle,(₹ 0.34 / 1 gm)
Cadbury Oreo Strawberry Flavour Crème Sandwich Biscuit : 113.75 gms,35,30.0,113.75 gm,Cadbury,(₹ 0.26 / 1 gm)
Britannia Treat Jimjam Naughty Jam Biscuits : 57 gms,10,9.0,57 gm,Britannia,(₹ 0.16 / 1 gm)
Britannia Pure Magic Chocolush Cookies : 75 gms,40,32.0,75 gm,Britannia,(₹ 0.43 / 1 gm)
Bellie Cheese Cream Sandwich Biscuit : 190 gms,210,169.0,190 gm,Bellie,(₹ 0.89 / 1 gm)
Bisky Bites Vanilla Magic Sandwich Biscuits : 500 gms,135,82.0,500 gm,Bisky,(₹ 0.16 / 1 gm)
Meiji Hello Panda Vanilla Cream Biscuits : 42 gms,185,154.0,42 gm,Meiji,(₹ 3.67 / 1 gm)
Meiji Hello Panda Cookies & Cream Biscuits : 42 gms,140,119.0,42 gm,Meiji,(₹ 2.83 / 1 gm)
Bisky Bites Choco Blast Sandwich Biscuits : 500 gms,135,82.0,500 gm,Bisky,(₹ 0.16 / 1 gm)
Cadbury Oreo Original Creme Sandwich Biscuit : 43.75 gms,10,9.0,43.75 gm,Cadbury,(₹ 0.21 / 1 gm)
Cadbury Oreo Strawberry Flavour Creme Sandwich Biscuit : 43.75 gms,10,9.0,43.75 gm,Cadbury,(₹ 0.21 / 1 gm)
Oreo Choco Creme Sandwich Biscuits : 43.75 gms,10,9.0,43.75 gm,Oreo,(₹ 0.21 / 1 gm)
Britannia Pure Magic Chocolush : 300 gms,170,115.0,300 gm,Britannia,(₹ 0.38 / 1 gm)
Cadbury Oreo Moments Gift Pack : 428.75 gms,200,145.0,428.75 gm,Cadbury,(₹ 0.34 / 1 gm)
Britannia NutriChoice Digestive Hi-Fibre Biscuits : 1 kg,179,134.0,1 kg,Britannia,(₹ 134.00 / 1 kg)
Sunfeast Farmlite 5 Grain Digestive Biscuit : 800 gms,240,120.0,800 gm,Sunfeast,(₹ 0.15 / 1 gm)
Britannia Nutri Choice Digestive Zero Biscuits : 100 gms,35,27.0,100 gm,Britannia,(₹ 0.27 / 1 gm)
Mcvitie's Digestive Biscuits : 959.1 gms,199,132.0,959.1 gm,Mcvitie's,(₹ 0.14 / 1 gm)
McVities Hobnobs Cookies With Choco Chips : 153.8 gms,75,60.0,153.8 gm,McVities,(₹ 0.39 / 1 gm)
McVities Hobnobs Cookies : 153.8 gms,65,55.0,153.8 gm,McVities,(₹ 0.36 / 1 gm)
Britannia NutriChoice Essentials Ragi Cookies : 150 gms,70,60.0,150 gm,Britannia,(₹ 0.40 / 1 gm)
Parle Real Elaichi Rusk : 400 gms,75,49.0,400 gm,Parle,(₹ 0.12 / 1 gm)
Royal Toast : 400 gms,69,47.0,400 gm,Royal,(₹ 0.12 / 1 gm)
Britannia Toastea Premium Bake Rusk : 400 gms,75,57.0,400 gm,Britannia,(₹ 0.14 / 1 gm)
Kwality Jeera Butter : 180 gms,50,40.0,180 gm,Kwality,(₹ 0.22 / 1 gm)
Kwality Maska Khari : 180 gms,60,50.0,180 gm,Kwality,(₹ 0.28 / 1 gm)
Royal Maska Khari : 200 gms,66,50.0,200 gm,Royal,(₹ 0.25 / 1 gm)
Tosita Wheat Khari : 200 gms,115,80.0,200 gm,Tosita,(₹ 0.40 / 1 gm)
Tosita Multi Grain Rusk : 200 gms,100,65.0,200 gm,Tosita,(₹ 0.33 / 1 gm)
Tosita Wheat Rusk : 200 gms,90,59.0,200 gm,Tosita,(₹ 0.29 / 1 gm)
Tosita Maska Khari : 150 gms,90,63.0,150 gm,Tosita,(₹ 0.42 / 1 gm)
Tosita Jeera Butter Bites : 200 gms,90,59.0,200 gm,Tosita,(₹ 0.29 / 1 gm)
Tosita Milk Rusk : 200 gms,85,55.0,200 gm,Tosita,(₹ 0.28 / 1 gm)
Tosita Jeera Khari : 200 gms,110,77.0,200 gm,Tosita,(₹ 0.39 / 1 gm)
Tosita Baby Rusk Cheddar Cheese : 150 gms,85,59.0,150 gm,Tosita,(₹ 0.39 / 1 gm)
Tosita Makhaniya Butter : 200 gms,85,55.0,200 gm,Tosita,(₹ 0.28 / 1 gm)
Dukes Waffy Choco Roll : 250 gms,180,90.0,250 gm,Dukes,(₹ 0.36 / 1 gm)
Dukes Waffy Chocolate Flavoured Wafer Biscuits : 60 gms,50,25.0,60 gm,Dukes,(₹ 0.42 / 1 gm)
Dukes Waffy Strawberry Flavoured Wafer Biscuits : 60 gms,50,25.0,60 gm,Dukes,(₹ 0.42 / 1 gm)
The Belgian Waffle Crisps Double Choco Crisps : 85 gms,120,90.0,85 gm,The,(₹ 1.06 / 1 gm)
Dukes Waffy Vanilla Flavoured Wafer Biscuits : 60 gms,50,25.0,60 gm,Dukes,(₹ 0.42 / 1 gm)
Dukes Waffy Strawberry Roll : 250 gms,180,90.0,250 gm,Dukes,(₹ 0.36 / 1 gm)
The Belgian Waffle Classic Choco Crisps : 85 gms,120,90.0,85 gm,The,(₹ 1.06 / 1 gm)
Britannia Treat Orange Cream Wafer : 55 gms,50,25.0,55 gm,Britannia,(₹ 0.45 / 1 gm)
Pickwick Creamy Wafer Biscuits - Strawberry : 75 gms,60,30.0,75 gm,Pickwick,(₹ 0.40 / 1 gm)
Britannia Treat Strawberry Cream Wafer : 55 gms,50,25.0,55 gm,Britannia,(₹ 0.45 / 1 gm)
Pickwick Creamy Wafer Biscuits - Chocolate : 75 gms,60,30.0,75 gm,Pickwick,(₹ 0.40 / 1 gm)
Loacker Quadratini Dark Chocolate Wafer Cookies : 125 gms,249,199.0,125 gm,Loacker,(₹ 1.59 / 1 gm)
Pocky Double Choco Sticks : 47 gms,190,162.0,47 gm,Pocky,(₹ 3.45 / 1 gm)
Loacker Quadratini Chocolate Wafer Cookies : 125 gms,249,219.0,125 gm,Loacker,(₹ 1.75 / 1 gm)
Loacker Quadratini Napolitaner Wafer Cookies : 125 gms,249,185.0,125 gm,Loacker,(₹ 1.48 / 1 gm)
Pocky Chocolate Flavour Sticks : 47gms,190,162.0,47 gm,Pocky,(₹ 3.45 / 1 gm)
Loacker Quadratini Vanilla Wafer Cookies : 125 gms,249,199.0,125 gm,Loacker,(₹ 1.59 / 1 gm)
Pocky Cookies & Cream Flavour Sticks : 40 gms,190,162.0,40 gm,Pocky,(₹ 4.05 / 1 gm)
Meiji Lucky Stick Chocolate Biscuit : 45 gms,200,170.0,45 gm,Meiji,(₹ 3.78 / 1 gm)
Nabati Richoco Cocoa Cream Wafer Biscuits : 62 gms,20,18.0,62 gm,Nabati,(₹ 0.29 / 1 gm)
Nabati Richeese Cheese Cream Wafer Biscuits : 62 gms,20,18.0,62 gm,Nabati,(₹ 0.29 / 1 gm)
Parle Hide & Seek Choco Rolls : 120 gms,75,37.0,120 gm,Parle,(₹ 0.31 / 1 gm)
Nabati Pink Lava Cream Wafers Biscuits : 62 gms,20,18.0,62 gm,Nabati,(₹ 0.29 / 1 gm)
Nabati Coco Lava Coconut Flavoured Cream Wafer Biscuits : 62 gms,20,18.0,62 gm,Nabati,(₹ 0.29 / 1 gm)
Threptin Diskettes - Vanilla : 1 kg,1760,1455.0,1 kg,Threptin,(₹ 1455.00 / 1 kg)
Threptin Biscuits Vanilla : 275 gms,485,385.0,275 gm,Threptin,(₹ 1.40 / 1 gm)
Threptin Diskettes - Chocolate : 275 gms,485,385.0,275 gm,Threptin,(₹ 1.40 / 1 gm)
Britannia NutriChoice Sugar Free Cracker Biscuits : 67 gms,10,9.0,67 gm,Britannia,(₹ 0.13 / 1 gm)
Nutrivalue Whole Ragi Health Vizkits Biscuits : 150 gms,95,75.0,150 gm,Nutrivalue,(₹ 0.50 / 1 gm)
Nutrivalue Dibeck Health Biscuits : 150 gms,95,70.0,150 gm,Nutrivalue,(₹ 0.47 / 1 gm)
