Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc
Rajam Snacks Madras Mixture : 300 gms,107.0,63.0,300 gm,Rajam,0.21,44.0,41.12
Sitashree Laxminarayan Best Potato Chiwda : 250 gms,114.0,99.0,250 gm,Sitashree,0.4,15.0,13.16
Agrawal's 420 Ratlami Sev : 900 gms,250.0,159.0,900 gm,Agrawal's,0.18,91.0,36.4
Haldiram's Soya Sticks : 400 gms,104.0,62.0,400 gm,Haldiram's,0.15,42.0,40.38
Kurkure Green Chutney Style : 70 gms,20.0,18.0,70 gm,Kurkure,0.26,2.0,10.0
Chheda's Mora Sev : 170 gms,55.0,41.0,170 gm,Chheda's,0.24,14.0,25.45
Kurkure Chilli Chatka : 70 gms,20.0,18.0,70 gm,Kurkure,0.26,2.0,10.0
Garden Diet Bhel : 140 gms,55.0,35.0,140 gm,Garden,0.25,20.0,36.36
Agrawal's 420 Khatta Meetha Mix : 900 gms,250.0,125.0,900 gm,Agrawal's,0.14,125.0,50.0
Garden Raita Boondi : 140 gms,55.0,46.0,140 gm,Garden,0.33,9.0,16.36
Rajam Snacks Tikha Gathiya : 400 gms,143.0,71.0,400 gm,Rajam,0.18,72.0,50.35
Garden Sabudana Chivda : 140 gms,55.0,35.0,140 gm,Garden,0.25,20.0,36.36
Rajam Mix Farsan : 400 gms,143.0,71.0,400 gm,Rajam,0.18,72.0,50.35
Charliee Masala Butter Chakli : 100 gms,76.0,37.0,100 gm,Charliee,0.37,39.0,51.32
Taali Protein Cheese & Herbs Puffs : 74 gms,79.0,39.0,74 gm,Taali,0.53,40.0,50.63
Taali Protein Masala Mania Puffs : 60 gms,79.0,39.0,60 gm,Taali,0.65,40.0,50.63
Taali Protein Cream & Onion Puffs : 74 gms,79.0,39.0,74 gm,Taali,0.53,40.0,50.63
Sun Schezwan Sticks : 150 gms,36.0,27.0,150 gm,Sun,0.18,9.0,25.0
Tip Top Bombay Mixture : 180 gms,70.0,35.0,180 gm,Tip,0.19,35.0,50.0
Chheda's Yellow Banana Chips : 170 gms,100.0,59.0,170 gm,Chheda's,0.35,41.0,41.0
Chheda's Golden Potato Chips - Lightly Salted : 170 gms,85.0,50.0,170 gm,Chheda's,0.29,35.0,41.18
Lay's American Style Cream & Onion : 90 gms,50.0,35.0,90 gm,Lay's,0.39,15.0,30.0
Lay's India's Magic Masala Potato Chips : 90 gms,50.0,33.0,90 gm,Lay's,0.37,17.0,34.0
Chheda's Long Masala Banana Chips : 170 gms,85.0,54.0,170 gm,Chheda's,0.32,31.0,36.47
Pringles Potato Chips - Sour Cream & Onion : 107 gms,115.0,99.0,107 gm,Pringles,0.93,16.0,13.91
Rajam Snacks Yellow Banana Chips : 300 gms,159.0,119.0,300 gm,Rajam,0.4,40.0,25.16
Kurkure Puffcorn Yummy Cheese : 55 gms,20.0,17.0,55 gm,Kurkure,0.31,3.0,15.0
Chheda's Salt-N-Pepper Banana Chips : 170 gms,75.0,45.0,170 gm,Chheda's,0.26,30.0,40.0
Bingo Chilli Sprinkled Potato Chips : 90 gms,50.0,25.0,90 gm,Bingo,0.28,25.0,50.0
Lay's Classic Salted Potato Chips : 90 gms,50.0,40.0,90 gm,Lay's,0.44,10.0,20.0
Pringles Potato Chips - Original : 107 gms,115.0,99.0,107 gm,Pringles,0.93,16.0,13.91
Motas Potato Chips : 200 gms,95.0,88.0,200 gm,Motas,0.44,7.0,7.37
Lay's Spanish Tomato Tango Potato Chips : 90 gms,50.0,40.0,90 gm,Lay's,0.44,10.0,20.0
Bingo Mad Angles Achaari Masti : 130 gms,50.0,25.0,130 gm,Bingo,0.19,25.0,50.0
Balaji Cream & Onion Wafers : 135 gms,40.0,36.0,135 gm,Balaji,0.27,4.0,10.0
Balaji Wafers Masala Masti : 150 gms,40.0,36.0,150 gm,Balaji,0.24,4.0,10.0
Balaji Wafers Simply Salted : 150 gms,40.0,36.0,150 gm,Balaji,0.24,4.0,10.0
Chheda's Tomato Banana Chips : 170 gms,75.0,45.0,170 gm,Chheda's,0.26,30.0,40.0
Britannia Potazos Masti Masala : 71.5 gms,25.0,16.0,71.5 gm,Britannia,0.22,9.0,36.0
Pringles Potato Chips - Peri Peri : 102 gms,115.0,99.0,102 gm,Pringles,0.97,16.0,13.91
Lay's Hot 'N' Sweet Chilli Potato Chips : 73 gms,30.0,27.0,73 gm,Lay's,0.37,3.0,10.0
Beyond Snack Kerala Banana Chips - Original Style : 85 gms,60.0,42.0,85 gm,Beyond,0.49,18.0,30.0
Doritos Nacho Cheese Flavour Chips : 82.5 gms,50.0,32.0,82.5 gm,Doritos,0.39,18.0,36.0
Pringles Potato Chips - Pizza Flavour : 102 gms,115.0,99.0,102 gm,Pringles,0.97,16.0,13.91
Bingo Mad Angles Very Peri Peri : 130 gms,50.0,25.0,130 gm,Bingo,0.19,25.0,50.0
Garden Potato Chips - Premium Salted : 170 gms,85.0,55.0,170 gm,Garden,0.32,30.0,35.29
Lays Potato Chips - Sizzlin Hot : 48 gms,20.0,18.0,48 gm,Lays,0.38,2.0,10.0
Pringles Potato Chips - Desi Masala Tadka : 102 gms,115.0,99.0,102 gm,Pringles,0.97,16.0,13.91
Balaji Tomato Flavour Potato Wafers : 135 gms,40.0,36.0,135 gm,Balaji,0.27,4.0,10.0
Tastilo Cheesy Crispy Nacho Chips : 150 gms,90.0,45.0,150 gm,Tastilo,0.3,45.0,50.0
Lay's Wafer Style Potato Chips - Sundried Chilli : 48 gms,20.0,17.0,48 gm,Lay's Wafer,0.35,3.0,15.0
Rajam Yellow Banana Yellow Chips : 150 gms,83.0,60.0,150 gm,Rajam,0.5,23.0,27.71
Lay's Gourmet Vintage Cheese & Paprika Potato Chips : 80 gms,50.0,33.0,80 gm,Lay's,0.41,17.0,34.0
Cornitos Nacho Crisps - Cheese & Herbs : 150 gms,90.0,60.0,150 gm,Cornitos,0.4,30.0,33.33
Nisarga Yellow Banana Chips : 150 gms,100.0,50.0,150 gm,Nisarga,0.33,50.0,50.0
Balaji Simply Salted Stack Up : 60 gms,60.0,40.0,60 gm,Balaji,0.67,20.0,33.33
Beyond Snack Kerala Banana Chips - Peri Peri : 85 gms,60.0,42.0,85 gm,Beyond,0.49,18.0,30.0
Tastilo Spicy Jalapeno Nacho Chips : 150 gms,90.0,45.0,150 gm,Tastilo,0.3,45.0,50.0
Cornitos Nacho Crisps- Sizzlin Jalapeno : 150 gms,90.0,60.0,150 gm,Cornitos,0.4,30.0,33.33
Lay's Wafer Style Potato Chips - Salt With Pepper : 48 gms,20.0,15.0,48 gm,Lay's Wafer,0.31,5.0,25.0
Tastilo Nacho Chips - Cheesy Crispy : 60 gms,40.0,20.0,60 gm,Tastilo,0.33,20.0,50.0
Tastilo Nacho Chips - Peri Peri : 60 gms,40.0,20.0,60 gm,Tastilo,0.33,20.0,50.0
