Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Horlicks Chocolate Delight Flavour Jar : 200 gms,119,110.0,200 gm,Horlicks,₹ 0.55
Blue Bird Cocoa Powder : 50 gms,70,55.0,50 gm,Blue,₹ 1.10
Christopher Dark Cocoa Powder For Baking & Hot & Cold Drinks : 200 gms,299,149.0,200 gm,Christopher,₹ 0.74
Christopher Cocoa Original Drinking Cocoa : 200 gms,299,149.0,200 gm,Christopher,₹ 0.74
Ensure Nutrition Powder - Vanilla Flavour : 200 gms,440,410.0,200 gm,Ensure,₹ 2.05
Ensure Chocolate Flavour : 200 gms,440,410.0,200 gm,Ensure,₹ 2.05
Thums Up Bottle : 8x250 ml,160,130.0,8x250 ml,Thums,₹ 2.05
Thums Up : 2.25 Litres,99,77.0,2.25 L,Thums,₹ 34.22
Sprite : 8x250 ml,160,130.0,8x250 ml,Sprite,₹ 34.22
Sprite : 2.25 Litres,99,74.0,2.25 L,Sprite,₹ 32.89
Coca-Cola Bottle : 8x250 ml,160,140.0,8x250 ml,Coca-Cola,₹ 32.89
Mirinda Orange : 2.25 Litres,90,64.0,2.25 L,Mirinda,₹ 28.44
Fanta Orange Flavour : 2.25 Litres,99,69.0,2.25 L,Fanta,₹ 30.67
Coca-Cola : 2.25 Litres,99,69.0,2.25 L,Coca-Cola,₹ 30.67
Fanta Orange Flavour : 8x250 ml,160,135.0,8x250 ml,Fanta,₹ 30.67
Bisleri Club Soda : 750 ml,20,10.0,750 ml,Bisleri,₹ 0.01
Pepsi : 2.25 Litres,99,62.0,2.25 L,Pepsi,₹ 27.56
Limca : 2 Litres,99,69.0,2 L,Limca,₹ 34.50
7 Up : 2.25 Litres,90,74.0,2.25 L,7,₹ 32.89
Diet Coke Tin : 300 ml,40,28.0,300 ml,Diet,₹ 0.09
Xotik Jeeru Jeera Masala Drink : 2 Litres,100,75.0,2 L,Xotik,₹ 37.50
Duke's Club Soda : 750 ml,20,17.0,750 ml,Duke's,₹ 0.02
Mirinda Orange : 750 ml,40,35.0,750 ml,Mirinda,₹ 0.05
