Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc,Platform,Converted Quantity,Unit,Price Per Unit(Kg)
Bedekar Instant Chakli Bhajni :  500 gms,150,75,500 gm,Bedekar,0.15,75,50.0,DMART,500.0,gm,150.0
Suhana Kesari Milk Masala : 20 gms,75,55,20 gm,Suhana,2.75,20,26.67,DMART,20.0,gm,2750.0
Flying Bird Vanilla Essence : 20 ml,50,40,20 ml,Flying,2.0,10,20.0,DMART,20.0,ml,2000.0
Flying Bird Artificial Food Essence Shahi Biryani : 20 ml,90,70,20 ml,Flying,3.5,20,22.22,DMART,20.0,ml,3500.0
Tata Salt - Evaporated Iodised : 1 kg,28,24,1 kg,Tata,24.0,4,14.29,DMART,1.0,kg,24.0
Puro Healthy Salt : 1 kg,110,95,1 Kg,Puro,95.0,15,13.64,DMART,1.0,Kg,95.0
Tata Rock Salt : 1 kg,120,89,1 Kg,Tata,89.0,31,25.83,DMART,1.0,Kg,89.0
Tata Salt Lite - Low Sodium Iodised : 1 kg,50,40,1 kg,Tata,40.0,10,20.0,DMART,1.0,kg,40.0
Rock Salt : 1 kg,99,45,1 kg,Rock,45.0,54,54.55,DMART,1.0,kg,45.0
Aashirvaad Salt : 1 kg,28,14,1 kg,Aashirvaad,14.0,14,50.0,DMART,1.0,kg,14.0
Tata SuperLite Salt : 1 kg,65,54,1 kg,Tata,54.0,11,16.92,DMART,1.0,kg,54.0
Catch Sprinklers Black Salt : 200 gms,45,38,200 gm,Catch,0.19,7,15.56,DMART,200.0,gm,190.0
Tata Salt - Iron Health : 1 kg,50,45,1 kg,Tata,0.04,5,10.0,DMART,1.0,kg,45.0
Satyam Sindhav Powder : 100 gms,14,13,100 gm,Satyam,0.13,1,7.14,DMART,100.0,gm,130.0
Madhur Pure & Hygienic Sugar : 5 kgs,315,266,5 kg,Madhur,53.2,49,15.56,DMART,5.0,kg,53.2
Premia Pithi Sugar : 500 gms,38,27,500 gm,Premia,0.05,11,28.95,DMART,500.0,gm,54.0
Organic Tattva Sugar : 1 kg,160,99,1 kg,Organic,99.0,61,38.12,DMART,1.0,kg,99.0
24 Mantra Organic Sugar : 1 kg,145,126,1 kg,24,126.0,19,13.1,DMART,1.0,kg,126.0
Organic Tattva Brown Sugar : 500 gms,90,72,500 gm,Organic,0.14,18,20.0,DMART,500.0,gm,144.0
