Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit,Total Disc,Percetage Disc
Budweiser 0.0 Non-Alcoholic Can : 330 ml,99.0,49.0,330 ml,Budweiser,0.15,50.0,50.51
Schweppes Original Ginger Ale : 300 ml,60.0,49.0,300 ml,Schweppes,0.16,11.0,18.33
Bisleri Limonata - With Lime Juice : 600 ml,40.0,25.0,600 ml,Bisleri,0.04,15.0,37.5
Schweppes Indian Tonic Water Tin : 300 ml,60.0,50.0,300 ml,Schweppes,0.17,10.0,16.67
Frooti Mango Drink Bottle : 2 Litres,120.0,89.0,2 L,Frooti,44.5,31.0,25.83
Coke Zero Sugar : 300 ml,40.0,28.0,300 ml,Coke,0.09,12.0,30.0
Coca-Cola Tin : 300 ml,40.0,28.0,300 ml,Coca-Cola,0.09,12.0,30.0
Budweiser Green Apple Non-Alcoholic Beer Can : 330 ml,99.0,49.0,330 ml,Budweiser,0.15,50.0,50.51
Cravova Classic Mojito : 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0
Cravova Peach Mojito : 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0
Coolberg Cranberry Non-Alcoholic Beer : 330 ml,99.0,79.0,330 ml,Coolberg,0.24,20.0,20.2
Cravova Green Apple Mojito : 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0
O'cean Fruit Drink - Peach & Passion Fruit Flavour : 500 ml,60.0,45.0,500 ml,O'cean,0.09,15.0,25.0
Cravova Watermelon Mojito : 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0
Coolberg Peach Non-Alcoholic Beer : 330 ml,99.0,71.0,330 ml,Coolberg,0.22,28.0,28.28
Coolberg Ginger Non-Alcoholic Beer : 330 ml,99.0,71.0,330 ml,Coolberg,0.22,28.0,28.28
Cravova Classic Lemonade: 300 ml,60.0,30.0,300 ml,Cravova,0.1,30.0,50.0
Coolberg Malt-Based Non-Alcoholic Cranberry Beer : 300 ml,99.0,66.0,300 ml,Coolberg,0.22,33.0,33.33
Appy Fizz Apple Flavoured Sparkling Drink : 1 Litre,60.0,56.0,1 L,Appy,0.06,4.0,6.67
Appy Fizz Apple Flavoured Sparkling Drink : 250 ml,20.0,18.0,250 ml,Appy,0.07,2.0,10.0
Appy Fizz Apple Flavoured Sparkling Drink : 600 ml,35.0,32.0,600 ml,Appy,0.05,3.0,8.57
Valentino Sparkling Red Grape Juice : 750 ml,550.0,495.0,750 ml,Valentino,0.66,55.0,10.0
Maaza Mango Drink : 1.2 Litres,75.0,55.0,1.2 L,Maaza,45.83,20.0,26.67
Maaza Mango Drink : 10x135 ml,100.0,79.0,10x135 ml,Maaza,45.83,21.0,21.0
Real Fruit Power Mixed Fruit : 1 Litre,128.0,93.0,1 L,Real,93.0,35.0,27.34
Minute Maid Pulpy Orange Juice : 1 Litre,90.0,69.0,1 L,Minute,69.0,21.0,23.33
Slice Mango Drink : 1.75 Litres,99.0,75.0,1.75 L,Slice,42.86,24.0,24.24
B Natural Mixed Fruit Beverage : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0
Real Fruit Power Orange : 1 Litre,130.0,104.0,1 L,Real,104.0,26.0,20.0
Real Fruit Power Guava : 1 Litre,120.0,81.0,1 L,Real,81.0,39.0,32.5
Real Fruit Power Litchi : 1 Litre,125.0,95.0,1 L,Real,95.0,30.0,24.0
Real Fruit Power Cranberry : 1 Litre,130.0,113.0,1 L,Real,113.0,17.0,13.08
Real Fruit Power Pomegranate : 1 Litre,130.0,105.0,1 L,Real,105.0,25.0,19.23
B Natural Guava Fruit Beverage : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0
B Natural Litchi Fruit Beverage : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0
Raw Pressery Coconut Water : 200 ml,60.0,39.0,200 ml,Raw,0.2,21.0,35.0
B Natural Orange Fruit Beverage : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0
Tropicana Mixed Fruit Delight : 1 Litre,125.0,62.0,1 L,Tropicana,62.0,63.0,50.4
Mango Merry Mango Fruit Drink : 1.75 Litres,100.0,67.0,1.75 L,Mango,38.29,33.0,33.0
Real Fruit Power Apple : 1 Litre,115.0,95.0,1 L,Real,95.0,20.0,17.39
Mogu Mogu Lyche Juice Drink with Nata De Coco : 300 ml,70.0,59.0,300 ml,Mogu,0.2,11.0,15.71
Sooper Dooper Ice Pops : 10 Units,150.0,99.0,10 U,Sooper,9.9,51.0,34.0
Mogu Mogu Strawberry Juice Drink with Nata De Coco : 300 ml,70.0,59.0,300 ml,Mogu,0.2,11.0,15.71
B Natural Cranberry Flavoured Cooler Beverage : 1 Litre,130.0,65.0,1 L,B,0.07,65.0,50.0
Mango Merry Mango Drink : 1.2 Litres,75.0,49.0,1.2 L,Mango,40.83,26.0,34.67
Tropicana Orange Delight : 1 Litre,120.0,105.0,1 L,Tropicana,105.0,15.0,12.5
B Natural Apple Pack : 1 Litre,130.0,65.0,1 L,B,65.0,65.0,50.0
Real Activ Orange : 1 Litre,155.0,99.0,1 L,Real,99.0,56.0,36.13
Real Fruit Power Masala Mixed Fruit : 1 Litre,140.0,70.0,1 L,Real,70.0,70.0,50.0
Baidyanath Amla Juice : 1 Litre,220.0,175.0,1 L,Baidyanath,175.0,45.0,20.45
Real Fruit Power Mango : 1 Litre,115.0,95.0,1 L,Real,95.0,20.0,17.39
Real Activ Mixed Fruit : 1 Litre,155.0,105.0,1 L,Real,105.0,50.0,32.26
Raw Pressery Orange Juice : 1 Litre,350.0,247.0,1 L,Raw,247.0,103.0,29.43
Real Activ Apple : 1 Litre,155.0,95.0,1 L,Real,95.0,60.0,38.71
Tropicana Guava Delight : 1 Litre,115.0,75.0,1 L,Tropicana,75.0,40.0,34.78
Tropicana Litchi Delight : 1 Litre,123.0,99.0,1 L,Tropicana,99.0,24.0,19.51
Mogu Mogu Orange Juice Drink with Nata De Coco : 300 ml,70.0,56.0,300 ml,Mogu,0.19,14.0,20.0
Real Fruit Power Masala Guava : 1 Litre,140.0,70.0,1 L,Real,70.0,70.0,50.0
Paper Boat Aamras Drink : 200 ml,35.0,25.0,200 ml,Paper,0.13,10.0,28.57
O'cean Pink Fruit Drink - Guava Flavour : 500 ml,60.0,45.0,500 ml,O'cean,0.09,15.0,25.0
Baidyanath Aloevera Juice : 1 Litre,250.0,200.0,1 L,Baidyanath,200.0,50.0,20.0
Raw Pressery Pomegranate Juice : 1 Litre,450.0,318.0,1 L,Raw,318.0,132.0,29.33
Baidyanath Karela Jamun Juice : 1 Litre,325.0,260.0,1 L,Baidyanath,260.0,65.0,20.0
Mogu Mogu Grape Juice Drink with Nata De Coco : 1 Litre,200.0,150.0,1 L,Mogu,150.0,50.0,25.0
Paper Boat Chilli Guava Drink : 200 ml,35.0,25.0,200 ml,Paper,0.13,10.0,28.57
Paper Boat Aamras Drink : 1 Litre,140.0,99.0,1 L,Paper,99.0,41.0,29.29
Raw Pressery Sugarcane : 1 Litre,250.0,150.0,1 L,Raw,150.0,100.0,40.0
Paper Boat Jaljeera Drink : 200 ml,35.0,25.0,200 ml,Paper,0.13,10.0,28.57
ICoco Lychee Flavoured Drink With Nata De Coco : 320 ml,70.0,59.0,320 ml,ICoco,0.18,11.0,15.71
Red Bull Energy Drink Pack : 6x250 ml,700.0,569.0,6x250 ml,Red,0.18,131.0,18.71
Monster Energy Drink Tin : 350 ml,125.0,80.0,350 ml,Monster,0.23,45.0,36.0
Sting Energy Drink : 250 ml,20.0,18.0,250 ml,Sting,0.07,2.0,10.0
Cipla Prolyte ORS - Orange Flavour : 200 ml,29.4,20.0,200 ml,Cipla,0.1,9.399999999999999,31.97
Cipla Prolyte ORS - Apple Flavour : 200 ml,29.4,20.0,200 ml,Cipla,0.1,9.399999999999999,31.97
Yakult Light Health Drink : 5x65 ml,29.4,0.0,5x65 ml,Yakult,0.1,29.4,100.0
Hurricane Berry Blast Energy Drink : 250 ml,60.0,49.0,250 ml,Hurricane,0.2,11.0,18.33
Budweiser Beats Energy Drink : 250 ml,110.0,60.0,250 ml,Budweiser,0.24,50.0,45.45
Hershey's Chocolate Syrup : 623 gms,230.0,195.0,623 gm,Hershey's,0.31,35.0,15.22
Hamdard Rooh Afza Sharbat : 750 ml,170.0,156.0,750 ml,Hamdard,0.21,14.0,8.24
Mapro Coolz Rose Sharbat : 1 Litre,252.0,182.0,1 L,Mapro,182.0,70.0,27.78
Kokan Gem Kokam Syrup : 1 Litre,180.0,90.0,1 L,Kokan,90.0,90.0,50.0
Mala's Rose Syrup : 1 Litre,230.0,150.0,1 L,Mala's,150.0,80.0,34.78
Mapro Restore Lemon Barley Water : 1 Litre,252.0,199.0,1 L,Mapro,199.0,53.0,21.03
Mala's Strawberry Crush : 1 Litre,240.0,150.0,1 L,Mala's,150.0,90.0,37.5
Mapro Whole Strawberry Crush : 1 Litre,360.0,260.0,1 L,Mapro,260.0,100.0,27.78
Mapro Litchi Crush : 1 Litre,252.0,182.0,1 L,Mapro,182.0,70.0,27.78
Mapro Orange Crush : 1 Litre,252.0,182.0,1 L,Mapro,182.0,70.0,27.78
Mapro Cocktail Mixology Kit : 750 ml,999.0,699.0,750 ml,Mapro,0.93,300.0,30.03
Mapro Alphonso Mango Crush : 1 Litre,360.0,279.0,1 L,Mapro,279.0,81.0,22.5
Tang Orange Instant Drink Mix : 750 gms,250.0,190.0,750 gm,Tang,0.25,60.0,24.0
Tang Lemon Instant Drink Mix : 500 gms,150.0,130.0,500 gm,Tang,0.26,20.0,13.33
Jalani Jaljira : 150 gms,60.0,46.0,150 gm,Jalani,0.38,14.0,23.33
Rasna Insta Orange Powder : 750 gms,300.0,150.0,750 gm,Rasna,0.2,150.0,50.0
Rasna Insta Mango Powder : 750 gms,300.0,150.0,750 gm,Rasna,0.2,150.0,50.0
Bisleri Packaged Drinking Water : 250 ml x 48 Units,288.0,249.0,250 ml x 48U,Bisleri,0.2,39.0,13.54
Bisleri Packaged Drinking Water : 5 Litres,70.0,50.0,5 L,Bisleri,10.0,20.0,28.57
Bisleri Water : 1 Litre,20.0,13.0,1 L,Bisleri,13.0,7.0,35.0
Perrier Carbonated Mineral Water : 330 ml,165.0,140.0,330 ml,Perrier,0.42,25.0,15.15
