Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Garden Sabudana Chivda : 140 gms,55,35.0,140 gm,Garden,₹ 0.25
Rajam Mix Farsan : 400 gms,143,71.0,400 gm,Rajam,₹ 0.18
Charliee Masala Butter Chakli : 100 gms,76,37.0,100 gm,Charliee,₹ 0.37
Taali Protein Cheese & Herbs Puffs : 74 gms,79,39.0,74 gm,Taali,₹ 0.53
Taali Protein Masala Mania Puffs : 60 gms,79,39.0,60 gm,Taali,₹ 0.65
Taali Protein Cream & Onion Puffs : 74 gms,79,39.0,74 gm,Taali,₹ 0.53
Sun Schezwan Sticks : 150 gms,36,27.0,150 gm,Sun,₹ 0.18
Tip Top Bombay Mixture : 180 gms,70,35.0,180 gm,Tip,₹ 0.19
Chheda's Yellow Banana Chips : 170 gms,100,59.0,170 gm,Chheda's,₹ 0.35
Chheda's Golden Potato Chips - Lightly Salted : 170 gms,85,50.0,170 gm,Chheda's,₹ 0.29
Lay's American Style Cream & Onion : 90 gms,50,35.0,90 gm,Lay's,₹ 0.39
Lay's India's Magic Masala Potato Chips : 90 gms,50,33.0,90 gm,Lay's,₹ 0.37
Chheda's Long Masala Banana Chips : 170 gms,85,54.0,170 gm,Chheda's,₹ 0.32
Pringles Potato Chips - Sour Cream & Onion : 107 gms,115,99.0,107 gm,Pringles,₹ 0.93
Rajam Snacks Yellow Banana Chips : 300 gms,159,119.0,300 gm,Rajam,₹ 0.40
Kurkure Puffcorn Yummy Cheese : 55 gms,20,17.0,55 gm,Kurkure,₹ 0.31
Chheda's Salt-N-Pepper Banana Chips : 170 gms,75,45.0,170 gm,Chheda's,₹ 0.26
Bingo Chilli Sprinkled Potato Chips : 90 gms,50,25.0,90 gm,Bingo,₹ 0.28
Lay's Classic Salted Potato Chips : 90 gms,50,40.0,90 gm,Lay's,₹ 0.44
Pringles Potato Chips - Original : 107 gms,115,99.0,107 gm,Pringles,₹ 0.93
Motas Potato Chips : 200 gms,95,88.0,200 gm,Motas,₹ 0.44
Lay's Spanish Tomato Tango Potato Chips : 90 gms,50,40.0,90 gm,Lay's,₹ 0.44
Bingo Mad Angles Achaari Masti : 130 gms,50,25.0,130 gm,Bingo,₹ 0.19
Balaji Cream & Onion Wafers : 135 gms,40,36.0,135 gm,Balaji,₹ 0.27
Balaji Wafers Masala Masti : 150 gms,40,36.0,150 gm,Balaji,₹ 0.24
Balaji Wafers Simply Salted : 150 gms,40,36.0,150 gm,Balaji,₹ 0.24
Chheda's Tomato Banana Chips : 170 gms,75,45.0,170 gm,Chheda's,₹ 0.26
Britannia Potazos Masti Masala : 71.5 gms,25,16.0,71.5 gm,Britannia,₹ 0.22
Pringles Potato Chips - Peri Peri : 102 gms,115,99.0,102 gm,Pringles,₹ 0.97
Lay's Hot 'N' Sweet Chilli Potato Chips : 73 gms,30,27.0,73 gm,Lay's,₹ 0.37
Beyond Snack Kerala Banana Chips - Original Style : 85 gms,60,42.0,85 gm,Beyond,₹ 0.49
Doritos Nacho Cheese Flavour Chips : 82.5 gms,50,32.0,82.5 gm,Doritos,₹ 0.39
Pringles Potato Chips - Pizza Flavour : 102 gms,115,99.0,102 gm,Pringles,₹ 0.97
