Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Cadbury Oreo Strawberry Flavour Creme Sandwich Biscuit : 43.75 gms,10,9,43.75 gm,Cadbury,₹ 0.21
Oreo Choco Creme Sandwich Biscuits : 43.75 gms,10,9,43.75 gm,Oreo,₹ 0.21
Britannia Pure Magic Chocolush : 300 gms,170,115,300 gm,Britannia,₹ 0.38
Cadbury Oreo Moments Gift Pack : 428.75 gms,200,145,428.75 gm,Cadbury,₹ 0.34
Britannia NutriChoice Digestive Hi-Fibre Biscuits : 1 kg,179,134,1 kg,Britannia,₹ 134.00
Sunfeast Farmlite 5 Grain Digestive Biscuit : 800 gms,240,120,800 gm,Sunfeast,₹ 0.15
Britannia Nutri Choice Digestive Zero Biscuits : 100 gms,35,27,100 gm,Britannia,₹ 0.27
Mcvitie's Digestive Biscuits : 959.1 gms,199,132,959.1 gm,Mcvitie's,₹ 0.14
McVities Hobnobs Cookies With Choco Chips : 153.8 gms,75,60,153.8 gm,McVities,₹ 0.39
McVities Hobnobs Cookies : 153.8 gms,65,55,153.8 gm,McVities,₹ 0.36
Britannia NutriChoice Essentials Ragi Cookies : 150 gms,70,60,150 gm,Britannia,₹ 0.40
Parle Real Elaichi Rusk : 400 gms,75,48,400 gm,Parle,₹ 0.12
Royal Toast : 400 gms,69,47,400 gm,Royal,₹ 0.12
Britannia Toastea Premium Bake Rusk : 400 gms,75,57,400 gm,Britannia,₹ 0.14
Kwality Jeera Butter : 180 gms,50,40,180 gm,Kwality,₹ 0.22
Kwality Maska Khari : 180 gms,60,50,180 gm,Kwality,₹ 0.28
Royal Maska Khari : 200 gms,66,50,200 gm,Royal,₹ 0.25
Tosita Wheat Khari : 200 gms,115,80,200 gm,Tosita,₹ 0.40
Tosita Multi Grain Rusk : 200 gms,100,65,200 gm,Tosita,₹ 0.33
Tosita Wheat Rusk : 200 gms,90,59,200 gm,Tosita,₹ 0.29
Tosita Maska Khari : 150 gms,90,63,150 gm,Tosita,₹ 0.42
Tosita Jeera Butter Bites : 200 gms,90,59,200 gm,Tosita,₹ 0.29
Tosita Milk Rusk : 200 gms,85,55,200 gm,Tosita,₹ 0.28
Tosita Jeera Khari : 200 gms,110,77,200 gm,Tosita,₹ 0.39
Tosita Baby Rusk Cheddar Cheese : 150 gms,85,59,150 gm,Tosita,₹ 0.39
Tosita Makhaniya Butter : 200 gms,85,55,200 gm,Tosita,₹ 0.28
Dukes Waffy Choco Roll : 250 gms,180,90,250 gm,Dukes,₹ 0.36
Dukes Waffy Chocolate Flavoured Wafer Biscuits : 60 gms,50,25,60 gm,Dukes,₹ 0.42
Dukes Waffy Strawberry Flavoured Wafer Biscuits : 60 gms,50,25,60 gm,Dukes,₹ 0.42
The Belgian Waffle Crisps Double Choco Crisps : 85 gms,120,90,85 gm,The,₹ 1.06
Dukes Waffy Vanilla Flavoured Wafer Biscuits : 60 gms,50,25,60 gm,Dukes,₹ 0.42
Dukes Waffy Strawberry Roll : 250 gms,180,90,250 gm,Dukes,₹ 0.36
The Belgian Waffle Classic Choco Crisps : 85 gms,120,90,85 gm,The,₹ 1.06
Britannia Treat Orange Cream Wafer : 55 gms,50,25,55 gm,Britannia,₹ 0.45
Pickwick Creamy Wafer Biscuits - Strawberry : 75 gms,60,30,75 gm,Pickwick,₹ 0.40
Britannia Treat Strawberry Cream Wafer : 55 gms,50,25,55 gm,Britannia,₹ 0.45
Pickwick Creamy Wafer Biscuits - Chocolate : 75 gms,60,30,75 gm,Pickwick,₹ 0.40
Loacker Quadratini Dark Chocolate Wafer Cookies : 125 gms,249,199,125 gm,Loacker,₹ 1.59
Pocky Double Choco Sticks : 47 gms,190,162,47 gm,Pocky,₹ 3.45
Loacker Quadratini Chocolate Wafer Cookies : 125 gms,249,219,125 gm,Loacker,₹ 1.75
Loacker Quadratini Napolitaner Wafer Cookies : 125 gms,249,185,125 gm,Loacker,₹ 1.48
Pocky Chocolate Flavour Sticks : 47gms,190,162,47 gm,Pocky,₹ 3.45
Loacker Quadratini Vanilla Wafer Cookies : 125 gms,249,199,125 gm,Loacker,₹ 1.59
Pocky Cookies & Cream Flavour Sticks : 40 gms,190,162,40 gm,Pocky,₹ 4.05
Meiji Lucky Stick Chocolate Biscuit : 45 gms,200,170,45 gm,Meiji,₹ 3.78
Nabati Richoco Cocoa Cream Wafer Biscuits : 62 gms,20,18,62 gm,Nabati,₹ 0.29
Nabati Richeese Cheese Cream Wafer Biscuits : 62 gms,20,18,62 gm,Nabati,₹ 0.29
Parle Hide & Seek Choco Rolls : 120 gms,75,37,120 gm,Parle,₹ 0.31
Nabati Pink Lava Cream Wafers Biscuits : 62 gms,20,18,62 gm,Nabati,₹ 0.29
Nabati Coco Lava Coconut Flavoured Cream Wafer Biscuits : 62 gms,20,18,62 gm,Nabati,₹ 0.29
Threptin Diskettes - Vanilla : 1 kg,1760,1455,1 kg,Threptin,₹ 1455.00
Threptin Biscuits Vanilla : 275 gms,485,385,275 gm,Threptin,₹ 1.40
Threptin Diskettes - Chocolate : 275 gms,485,385,275 gm,Threptin,₹ 1.40
Britannia NutriChoice Sugar Free Cracker Biscuits : 67 gms,10,9,67 gm,Britannia,₹ 0.13
Nutrivalue Whole Ragi Health Vizkits Biscuits : 150 gms,95,75,150 gm,Nutrivalue,₹ 0.50
Nutrivalue Dibeck Health Biscuits : 150 gms,95,70,150 gm,Nutrivalue,₹ 0.47
Haldiram's Bhujia Sev : 1 kg,260,190,1 kg,Haldiram's,₹ 190.00
Rajam Snacks Garlic Mixture : 800 gm,199,124,800 gm,Rajam,₹ 0.15
Haldiram's Aloo Bhujia : 1 kg,225,169,1 kg,Haldiram's,₹ 169.00
Chheda's Mix Farsan : 500 gms,180,79,500 gm,Chheda's,₹ 0.16
Bikaji Bhujia : 1 kg,320,219,1 kg,Bikaji,₹ 219.00
Haldiram's Moong Dal : 350 gms,105,85,350 gm,Haldiram's,₹ 0.24
Haldiram's Khatta Meetha : 1 kg,200,155,1 kg,Haldiram's,₹ 155.00
Bikaji Soya Sticks : 200 gms,80,40,200 gm,Bikaji,₹ 0.20
Chheda's Farali Potato Chivda : 170 gms,85,50,170 gm,Chheda's,₹ 0.29
Bikaneri Shree Ram Bhujia : 1 kg,340,149,1 kg,Bikaneri,₹ 149.00
Haldiram's Panchratan Mixture : 150 gms,80,69,150 gm,Haldiram's,₹ 0.46
Peppy Cheese Balls : 60 gms,60,30,60 gm,Peppy,₹ 0.50
Sitashree Laxminarayan Cornflakes Chiwda : 250 gms,108,95,250 gm,Sitashree,₹ 0.38
Sitashree Laxminarayan Best Chiwda : 500 gms,216,195,500 gm,Sitashree,₹ 0.39
Chheda's Soya Snax : 170 gms,65,32,170 gm,Chheda's,₹ 0.19
Peppy Tomato Discs : 60 gms,60,30,60 gm,Peppy,₹ 0.50
Kurkure Masala Munch : 77 gms,20,18,77 gm,Kurkure,₹ 0.23
Haldiram's Boondi : 150 gms,52,45,150 gm,Haldiram's,₹ 0.30
Chheda's Golden Mix : 500 gms,180,90,500 gm,Chheda's,₹ 0.18
Rajam Snacks Madras Mixture : 300 gms,107,63,300 gm,Rajam,₹ 0.21
Sitashree Laxminarayan Best Potato Chiwda : 250 gms,114,99,250 gm,Sitashree,₹ 0.40
Agrawal's 420 Ratlami Sev : 900 gms,250,159,900 gm,Agrawal's,₹ 0.18
Haldiram's Soya Sticks : 400 gms,104,62,400 gm,Haldiram's,₹ 0.15
Kurkure Green Chutney Style : 70 gms,20,18,70 gm,Kurkure,₹ 0.26
Chheda's Mora Sev : 170 gms,55,41,170 gm,Chheda's,₹ 0.24
Kurkure Chilli Chatka : 70 gms,20,18,70 gm,Kurkure,₹ 0.26
Garden Diet Bhel : 140 gms,55,35,140 gm,Garden,₹ 0.25
Agrawal's 420 Khatta Meetha Mix : 900 gms,250,125,900 gm,Agrawal's,₹ 0.14
Garden Raita Boondi : 140 gms,55,46,140 gm,Garden,₹ 0.33
Rajam Snacks Tikha Gathiya : 400 gms,143,71,400 gm,Rajam,₹ 0.18
