Grocery_Name,MRP_Price,Discount_Price,Quantity,brand_name,price_per_unit
Blue Bird China Grass Kesar Pista : 100 gms,55,45.0,100 gm,Blue,(₹ 0.45 / 1 gm)
Betty Crocker Triple Choco Brownie Mix : 425 gms,390,305.0,425 gm,Betty,(₹ 0.72 / 1 gm)
Blue Bird Instant China Grass Milk Jelly Vanilla : 100 gms,55,45.0,100 gm,Blue,(₹ 0.45 / 1 gm)
Bedekar Instant Chakli Bhajni :  500 gms,150,75.0,500 gm,Bedekar,(₹ 0.15 / 1 gm)
Bedekar Besan Ladoo Mix : 500 gms,175,158.0,500 gm,Bedekar,(₹ 0.32 / 1 gm)
Act II Classic Salted Popcorn : 30 gms,10,9.0,30 gm,Act,(₹ 0.30 / 1 gm)
Act II Microwave Popcorn - Butter : 99 gms,75,68.0,99 gm,Act,(₹ 0.69 / 1 gm)
Act II Golden Sizzle Popcorn : 30 gms,10,9.0,30 gm,Act,(₹ 0.30 / 1 gm)
4700 BC Makka Popcorn : 200 gms,40,32.0,200 gm,4700,(₹ 0.16 / 1 gm)
Shiv Shakti's Makhana : 100 gms,175,125.0,100 gm,Shiv,(₹ 1.25 / 1 gm)
Act II Butter Delite Flavour Popcorn : 450 gms,135,120.0,450 gm,Act,(₹ 0.27 / 1 gm)
Act II Butter Delite Popcorn : 70 gms,35,32.0,70 gm,Act,(₹ 0.46 / 1 gm)
4700 BC Natural Microwave Popcorn : 85 gms,75,49.0,85 gm,4700,(₹ 0.58 / 1 gm)
Act II Butter Pepper Popcorn : 70 gms,35,31.0,70 gm,Act,(₹ 0.44 / 1 gm)
Act II Tomato Chilli Popcorn : 59 gms,33,30.0,59 gm,Act,(₹ 0.51 / 1 gm)
4700 BC Instant Cheese Gourmet Popcorn : 60 gms,30,22.0,60 gm,4700,(₹ 0.37 / 1 gm)
Act II Microwave Popcorn - Original : 99 gms,75,65.0,99 gm,Act,(₹ 0.66 / 1 gm)
4700 BC Instant Butter Popcorn : 30 gms,10,8.0,30 gm,4700,(₹ 0.27 / 1 gm)
Act II Tandoori Tadka Popcorn : 70 gms,35,32.0,70 gm,Act,(₹ 0.46 / 1 gm)
4700 BC Instant Barbeque Popcorn : 30 gms,10,8.0,30 gm,4700,(₹ 0.27 / 1 gm)
4700 BC Instant Seven Spices Popcorn : 30 gms,10,8.0,30 gm,4700,(₹ 0.27 / 1 gm)
4700 BC Instant Natural Popcorn : 30 gms,10,8.0,30 gm,4700,(₹ 0.27 / 1 gm)
Act II Barbeque Flavour Popcorn  : 106 gms,75,65.0,106 gm,Act,(₹ 0.61 / 1 gm)
