,Sr.No.,Grocery_Name,Brand_Name,Rating,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity_upd,Price_per_unit(gm/ml/pc)
90,90.0,Namkeen - Mixture,Haldiram's,4.0,45.0,45.0,0.0,0.0,200 g ,0.225
91,91.0,Rich Cocoa 70% Dark Chocolate Bar,Cadbury Bournville,4.1,330.0,297.53,32.47000000000003,9.84,240 g,1.2397083333333332
92,92.0,Madras Mixture,Townbus,4.1,55.0,55.0,0.0,0.0,135 g,0.4074074074074074
93,93.0,"Nutri Choice Seed Biscuits -  0% Maida, High In Fibre",Britannia,4.1,150.0,127.5,22.5,15.0,450 g,0.2833333333333333
94,94.0,Soya Sticks,Haldiram's,4.1,45.0,45.0,0.0,0.0,200 g ,0.225
95,95.0,"Whole Wheat Lachha/Paratha, 5 pcs",iD Fresho,3.8,190.0,169.1,20.900000000000006,11.0,800 g,0.21137499999999998
96,96.0,50-50 Sweet & Salty Biscuits,Britannia,4.1,120.0,114.0,6.0,5.0,828 g,0.13768115942028986
97,97.0,Malabar Parota,iD Fresho,4.0,180.0,160.0,20.0,11.11,800 g,0.2
98,98.0,Namkeen - Tasty Nuts,Haldiram's,4.1,80.0,80.0,0.0,0.0,400 g ,0.2
99,99.0,Instant Popcorn - Classic Salted,ACT II,4.2,30.0,30.0,0.0,0.0,90 g,0.3333333333333333
100,100.0,Potato Chips Wafer Style - Sundried Chilli Flavour,Lays,4.2,60.0,54.0,6.0,10.0,120 g,0.45
101,101.0,Original Style Potato Chips - Chilli Sprinkled,Bingo,4.1,100.0,80.75,19.25,19.25,180 g,0.4486111111111111
102,102.0,Marie Light Vita Orange Biscuits - Tea Time Partner,Sunfeast,4.2,15.0,15.0,0.0,0.0,100 g ,0.15
103,103.0,Chocolate Coated Wafer Home Treats,Cadbury Perk,4.2,297.0,221.62,75.38,25.38,378 g,0.5862962962962963
104,104.0,Chocolate Shots,Cadbury Dairy Milk,4.2,10.0,10.0,0.0,0.0,18 g ,0.5555555555555556
105,105.0,Tomato Discs,PEPPY,4.1,180.0,90.0,90.0,50.0,180 g,0.5
106,106.0,Nutrichoice Thin Arrowroot Biscuits,Britannia,4.2,40.0,40.0,0.0,0.0,300 g,0.13333333333333333
109,109.0,Good Day Chocochip Cookies,Britannia,4.2,140.0,93.34,46.66,33.33,400 g,0.23335
110,110.0,Cup Noodles Mazedaar Masala,Nissin Food,4.1,150.0,133.86,16.139999999999986,10.76,210 g,0.6374285714285715
111,111.0,Potato Chips - Spanish Tomato Tango,Lays,4.0,100.0,75.2,24.799999999999997,24.8,180 g,0.4177777777777778
112,112.0,Namkeen - Kodubale,Townbus,4.0,55.0,55.0,0.0,0.0,135 g,0.4074074074074074
113,113.0,No Rulz Masala Curlz Corn Puffs,Bingo,4.1,150.0,99.75,50.25,33.5,240 g,0.415625
114,114.0,"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",Beyond Snack,4.1,95.0,85.5,9.5,10.0,125 g,0.684
115,115.0,Hide & Seek Chocolate,Parle,4.2,60.0,60.0,0.0,0.0,198 g,0.30303030303030304
116,116.0,Rich Tomato Ketchup - Made With Real Tomatoes,MAGGI,4.2,150.0,134.0,16.0,10.67,970 g ,0.13814432989690723
117,117.0,"Choco Pie - Original, With Rich Marshmallow, No Preservatives",Lotte,4.1,150.0,126.0,24.0,16.0,25 g ,5.04
118,118.0,Marie Light Biscuits - Active,Sunfeast,4.2,60.0,55.2,4.799999999999997,8.0,450 g,0.12266666666666667
119,119.0,Hakka Noodles - Veg,Desi,4.0,150.0,150.0,0.0,0.0,800 g,0.1875
120,120.0,Tiger Biscuits - Glucose,Britannia,4.1,50.0,47.5,2.5,5.0,426.5 g,0.11137162954279015
121,121.0,"Milkybar - Choo, Classic",Nestle,4.2,5.0,5.0,0.0,0.0,10 g,0.5
122,122.0,"Schezwan Pasta - Chinese Style, Fusilli, With Zingy Sauce Maker & Extra Spicy Sprinkler",Keya,4.6,79.0,39.5,39.5,50.0,95.5 g ,0.41361256544502617
123,123.0,Frozen - Sweet Corn,Safal,4.0,180.0,144.0,36.0,20.0,1 kg ,0.144
124,124.0,"Rolled Oats - Gluten Free, High Protein & Fibre",True Elements,4.3,800.0,656.0,144.0,18.0,2 kg,0.328
125,125.0,"Namkeen - Chilli Chatka, Spicy, Unique Taste",Kurkure,4.2,175.0,175.0,0.0,0.0,75 g,2.3333333333333335
126,126.0,Vermicelli,Bambino,3.9,85.0,65.5,19.5,22.94,850 g ,0.07705882352941176
127,127.0,Moms Magic - Fruit & Milk,Sunfeast,4.2,50.0,46.0,4.0,8.0,255.5 g,0.18003913894324852
128,128.0,Hide & Seek Caffe Mocha Cookies,Parle,4.2,120.0,90.0,30.0,25.0,400 g,0.225
129,129.0,"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook",Quaker,4.3,398.0,368.0,30.0,7.54,2 Kg,0.184
130,130.0,Motichur Laddoo,Lal,4.1,99.0,99.0,0.0,0.0,200 g,0.495
131,131.0,Durum Wheat Pasta - Penne Rigate,BORGES,4.1,598.0,309.46,288.54,48.25,1000 g,0.30945999999999996
132,132.0,Yummiez Green Peas,Godrej Yummiez,3.7,280.0,182.0,98.0,35.0,1 kg ,0.182
133,133.0,"50-50 Potazos - Masti Masala, Spicy Flavoured Crips, Teatime Snack (Pack Of 3)",Britannia,4.2,75.0,63.75,11.25,15.0,214.5 g,0.2972027972027972
134,134.0,"Mac & Cheese Pasta - American Style, Macaroni, With Creamy Sauce Maker & Extra Herby Sprinkler",Keya,4.4,79.0,39.5,39.5,50.0,95.5 g ,0.41361256544502617
135,135.0,"Idly Dosa Batter - Mildly Salted, Perfect Breakfast, Ready To Cook",Asal,3.8,140.0,140.0,0.0,0.0,2 kg,0.07
136,136.0,G Gold Biscuits,Parle,4.2,140.0,115.0,25.0,17.86,1 Kg,0.115
137,137.0,Chocolate Home Treats Bar,Cadbury 5 Star,4.3,447.0,403.02,43.98000000000002,9.84,575.7 g,0.7000521104742052
138,138.0,Curry Instant Noodles,Top Ramen,4.2,200.0,194.0,6.0,3.0,560 g,0.3464285714285714
139,139.0,Hakka Noodles - Veg,Chings,4.1,125.0,120.0,5.0,4.0,750 g,0.16
140,140.0,Dark Chocolate- 55% Rich In Cocoa,Amul,4.3,110.0,110.0,0.0,0.0,150 g ,0.7333333333333333
141,141.0,Hommade - Tomato Puree,Dabur,4.2,81.0,77.0,4.0,4.94,600 g,0.12833333333333333
142,142.0,"Oats - Natural Wholegrain, Nutritious Breakfast Cereals, Poha, Easy To Cook",BB Royal,4.2,398.0,278.0,120.0,30.15,2 kg,0.139
143,143.0,"50 50 Time Pass Biscuits - Simply Salted,",Britannia,4.1,60.0,57.0,3.0,5.0,414 g,0.13768115942028986
144,144.0,Potato Chips - American Style Cream & Onion Flavour,Lays,4.1,100.0,75.2,24.799999999999997,24.8,180 g,0.4177777777777778
145,145.0,Tiger Krunch Biscuits,Britannia,4.1,140.0,70.0,70.0,50.0,400 g,0.175
146,146.0,NutriChoice 5 Grain Digestive Multigrain Biscuits - High Fibre,Britannia,4.2,140.0,114.24,25.760000000000005,18.4,400 g,0.28559999999999997
147,147.0,Butter Murukku,Townbus,4.0,55.0,55.0,0.0,0.0,135 g,0.4074074074074074
148,148.0,Instant Sweet Corn Cup-A-Soup,Knorr,4.2,100.0,100.0,0.0,0.0,100 g,1.0
149,149.0,Papad - Punjabi Masala,Lijjat,4.1,422.0,422.0,0.0,0.0,1 kg ,0.422
150,150.0,"Nachos Sweet Chilli Crunchy, Nachos Chips, Snacks, Party Pack",Doritos,4.1,100.0,67.5,32.5,32.5,165.0 g,0.4090909090909091
151,151.0,Tedhe Medhe Masala Tadka,Bingo,4.1,40.0,35.68,4.32,10.8,170 g,0.20988235294117646
152,152.0,"Dark Fantasy Combi Pack - Choco Fills, Original Filled Cookies",Sunfeast,4.2,160.0,147.2,12.800000000000011,8.0,75 g ,1.9626666666666666
153,153.0,ChocFilled Cookies,Cadbury Chocobakes,4.2,480.0,423.94,56.06,11.68,900 g,0.47104444444444443
154,154.0,Jimjam Cream Biscuits,Britannia,4.2,10.0,10.0,0.0,0.0,57 g,0.17543859649122806
155,155.0,"Honey - 100% Pure, With No Sugar Adulteration",BB Royal,,950.0,550.0,400.0,42.11,2 kg,0.275
156,156.0,Namkeen - Mini Bhakarwadi,Haldiram's,4.1,130.0,130.0,0.0,0.0,400 g,0.325
157,157.0,Milk Bikis Biscuits,Britannia,4.2,90.0,82.8,7.200000000000003,8.0,500 g,0.1656
158,158.0,Chocos Corn Flakes,Kelloggs,4.1,120.0,96.0,24.0,20.0,348 g,0.27586206896551724
159,159.0,Chutney - Schezwan,Chings,4.2,270.0,263.93,6.069999999999993,2.25,750 g,0.3519066666666667
160,160.0,Cheese Flavoured Cracker Biscuits - Family Pack,Malkist,4.2,300.0,300.0,0.0,0.0,720 g ,0.4166666666666667
161,161.0,Frozen Green Peas - Ready To Cook,Farmland,3.9,260.0,172.4,87.6,33.69,1 kg,0.1724
