,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
131,"Lite - 15% Low Sodium Iodised Salt, Helps Blood Pressure & For Healthy Lifestyle",Tata Salt,4.2,₹47,₹50,1 kg - Pouch
132,Basmati Rice/Basmati Akki - Rozana Super 90,Daawat,3.8,₹87.63,₹98,1 kg
133,Organic - Sona Masoori Raw Rice,BB Royal,0,₹1534,₹2000,2x10 kg - Multipack
134,HMT Kolam Rice/Akki,BB Royal,0,₹374,₹475,5 kg - (12 + Months Old)
135,Mustard/Sasive/Rai - Big,BB Royal,4.1,₹162,₹300,1 kg
136,"Chilli - Guntur, Stemless",BB Royal,0,₹253,₹400,500 g
137,MTR Hingh Powder,MTR,4.2,₹72,₹90,50 gm
138,Cow Desi Ghee/Tuppa,Fresho Organic,3.8,₹1658,₹2600,2x1 L - (Multipack)
139,Organic - Chana Brown/Kadale Kaalu,BB Royal,4,₹30,₹33,200 g
140,Rock Salt/Uppu,Tata Salt,4.2,₹88.8,₹120,1 kg - Pouch
141,Dates/Kharjura - Deseeded,Lion,4,₹149,₹149,500 g - Cup
142,Jeera/Jeerige - Whole,Catch,4.1,₹215.6,₹280,200 g
143,High Aroma Cow Ghee,Amul,4.1,₹1425.06,₹1450,2 x 1 L - Multipack
144,Active - Pro Weight Watchers,Saffola,4.1,₹363,₹480,3x1 L - Multipack
145,Pista Magaj - Plain Kernel,BB Royal,0,₹1334,₹1500,500 g
146,Kabuli Chana/Kabuli Kadale,Tata Sampann,4,₹299.86,₹319,1 kg - Pouch
147,Lobia/Alasandee Kaalu - Red,BB Royal,4,₹29,₹30,200 g - Pouch
148,"Organic - Mustard/Sasive/Rai, Small",BB Royal,4.1,₹20,₹21,100 g
149,Pure Ghee,Fresho,4.1,₹1379,₹1600,2x1 L - Multipack
150,Sabudana - White Medium,BB Royal,4,₹130,₹150,1 kg - Pouch
151,Til/Ellu - White,BB Royal,3.8,₹356,₹500,1 kg
152,Organic - Cinnamon/Chakke,BB Royal,4.1,₹39.35,₹61,50 g
153,Turmeric Powder/Arisina Pudi,Tata Sampann,4.2,₹153,₹180,500 g
154,Cumin/Jeera/Jeerige - Whole,BB Popular,4.1,₹360,₹500,500 g
155,Basmati Rice/Basmati Akki - Feast Rozzana,India Gate,4,₹98,₹118,1 kg - Pouch
156,Hommade - Coconut Milk,Dabur,4.2,₹203.06,₹225,3x200 ml - Multipack
157,Besan Fine/Kadale Hittu,BB Royal,3.9,₹93,₹150,1 kg - Pouch
158,Powder - Tikhalal Chilly,Everest,4.2,₹660,₹660,1 kg - Pouch
