,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
24,Tea,Tata Tea Premium,4.2,₹475,₹705,1. 5 kg
25,Badam Drink Mix,MTR,4.2,₹250,₹275,500 g
26,Soft Drink,Thums Up,4.1,₹160,₹190,2x2 L - Multipack
27,Coffee - Eighty Degree,Bayars,4.2,₹320,₹320,500 g
28,Soft Drink - Original Taste,Coca Cola,4.1,₹768,₹960,24x750 ml - Multipack
29,Coffee - Special Gold,Bayars,4.3,₹270,₹270,500 g
30,Packaged Drinking Water,Aquafina,4.2,₹315,₹315,2 L - Pack of 9
31,Diet Coke Soft Drink,Coca Cola,4.1,₹240,₹240,6x300 ml - (Multipack)
32,Natural Care Tea - with 5 Natural Ingredients,3 Roses,4.1,₹90,₹100,100 g
33,Coffee Powder Premium Special,Cothas Coffee,4.2,₹252.5,₹252.5,500 g - Pouch
34,Coffee Powder Cothas Blend,Cothas Coffee,4.2,₹270,₹270,500 g - Pouch
35,"Mango Drink - Original Flavour, Refreshing",Maaza,4.2,₹80,₹100,150 ml - (Pack of 10)
36,Xtra Coffee Pouch,Continental,4.2,₹47.5,₹95,50 g
37,Grand Filter Coffee,Tata Coffee,4.1,₹231,₹280,500 g
38,Goodness Of 5 Natural Flavours,Tata Tea Gold Care,4.1,₹260,₹325,500 g
39,"Complete Balanced Nutrition Drink For Adults, Vanilla",Ensure,4.4,₹1230,₹1300,1 kg
40,"Black Soft Drink - Max Taste, Zero Sugar(Diet)",Pepsi,4.1,₹192,₹210,6x250 ml - Multipack
41,"Grand Classic Instant Coffee - Flavour Locked Decoction Crystals, Strong Taste & Rich Aroma",Tata Coffee,4.1,₹349.6,₹460,200 g - Pouch
42,Health & Nutrition Drink,Horlicks,4.2,₹374,₹449,750 g - Pouch
43,"Women's Plus, Caramel",Womens Horlicks,4.3,₹545.09,₹599,750 g
44,7+ Specialized Nutrition Drink Powder With Oats & Almonds - Chocolate Flavour,Pediasure,4.1,₹1150,₹1230,2 x 400 g - Multipack
45,Indian Tonic Water,Schweppes,4.1,₹324,₹360,6x300 ml - Multipack
46,Soda - Original Ginger Ale,Schweppes,4.2,₹360,₹360,6x300 ml - Multipack
47,"Fruit Juice - Delight, Litchi",Tropicana,4.1,₹206,₹246,2x1 L - Multipack
48,Juice - Classic Apple,Appy,4.2,₹60,₹60,4x200 ml - Multipack
49,Paper Boat Aamras Mango Fruit Juice (Pack of 4),Paper Boat,4,₹69.92,₹80,150 ml - Multipack
50,Spiced Tea - Blend Of 7 Refreshing Spices,Wagh Bakri,4.2,₹150,₹150,250 g
51,Health Drink Chocolate,Pediasure,4.1,₹1300,₹1420,2 x 400 g - Multipack
52,"Health Mix - 100% Natural Nutrition, No Added Sugar, Preservative Free",Manna,4.3,₹366.75,₹489,1 kg - cartoon
53,Soft Drink - With Real Lemon Juice,7 Up Nimbooz,4.2,₹90,₹90,6 x 250 ml - (Multipack)
54,Cold Extracted Juice - Valencia Orange,Raw Pressery,4,₹945,₹1050,3x1 L - Multipack
55,Fruit Juice - Orange Delight,Tropicana,4,₹240,₹240,2x1 L - Multipack
56,Green Tea - Honey Lemon,Lipton,4.3,₹1125,₹1250,2x100 pcs - Multipack
57,Health & Nutrition Drink - Chocolate,Horlicks,4.3,₹708,₹998,2x1 kg - (Multipack)
58,Fruit Drink - Pulpy Orange,Minute Maid,4.2,₹162,₹180,2x1 L - Multipack
59,Blend Instant Coffee Powder - Rich & Smooth,Nescafe Gold,4.5,₹1065,₹1100,2 x 95 g - Multipack
60,Premium Coffee,LEVISTA,4.3,₹185,₹370,100 g - Can
61,"Fruit Juice - Cranberry, Rich In Vitamin C",Real,4.2,₹708,₹780,6 x 1 L - Multipack
62,Coffee Powder Pure Filter Nova Therm,Cothas Coffee,4,₹224.25,₹345,500 g
63,"Zesty Pomegranate Juice - Enriched With Vitamin D, No GMOs",Paperboat Swing,4.1,₹114,₹120,3x600 ml - Multipack
64,Original Taste Soft Drink - Refreshing,Coca Cola,4.2,₹222,₹240,6x300 ml - Multipack
65,Energy Drink,RED BULL,4.2,₹2700,₹3000,250 ml - (Pack of 24)
