,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
61,61,"Fruit Juice - Cranberry, Rich In Vitamin C",Real,780.0,708.0,72.0,9.23,6 x 1 L - Multipack,6*1 L ,6 L,6000.0,0.118
62,62,Coffee Powder Pure Filter Nova Therm,Cothas Coffee,345.0,224.25,120.75,35.0,500 g ,500 g ,500 g ,500.0,0.4485
63,63,"Zesty Pomegranate Juice - Enriched With Vitamin D, No GMOs",Paperboat Swing,120.0,114.0,6.0,5.0,3x600 ml - Multipack,3*600 ml ,1800 ml,1800.0,0.06333333333333334
64,64,Original Taste Soft Drink - Refreshing,Coca Cola,240.0,222.0,18.0,7.5,6x300 ml - Multipack,6*300 ml ,1800 ml,1800.0,0.12333333333333334
65,65,Energy Drink,RED BULL ,3000.0,2700.0,300.0,10.0,250 ml - (Pack of 24),250 ml ,250 ml ,250.0,10.8
66,66,Hommade Lemoneez - Goodness Of 33 Lemons,Dabur,160.0,152.1,7.900000000000006,4.94,2x250 ml - Multipack,2*250 ml ,500 ml,500.0,0.30419999999999997
67,67,Sunrise Instant Coffee - Chicory Mixture,Nescafe ,770.0,654.5,115.5,15.0,2 x 200 g - Multipack,2*200 g ,400 g,400.0,1.63625
68,68,"Club Soda - Extra Power, Refreshing Drink",Bisleri ,120.0,120.0,0.0,0.0,6 x 750 ml - (Multipack),6*750 ml ,4500 ml,4500.0,0.02666666666666667
69,69,"Fruit Juice - Delight, Mango",Tropicana,240.0,240.0,0.0,0.0,12x200 ml - Multipack,12*200 ml ,2400 ml,2400.0,0.1
70,70,Darjeeling Tea,Lipton,970.0,873.0,97.0,10.0,500 g ,500 g ,500 g ,500.0,1.746
71,71,"Special Blend Tea - 10% Extra Strong Leaves, Perfect Aroma & Taste",Tata Tea Agni,115.0,115.0,0.0,0.0,500 g - Pack,500 g ,500 g ,500.0,0.23
72,72,Probiotic Health Drink - Light,Yakult,380.0,380.0,0.0,0.0,4x65 ml - Multipack,4*65 ml ,260 ml,260.0,1.4615384615384615
73,73,100 % Apple Juice - With No Added Sugar and Preservative,Real Activ,465.0,302.2,162.8,35.01,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.10073333333333333
74,74,100% Orange Juice,Tropicana,435.0,435.0,0.0,0.0,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.145
75,75,"Coconut Water - Refreshing Flavour, Vital Electrolytes",Paper Boat,200.0,174.8,25.19999999999999,12.6,4x200 ml - Multipack,4*200 ml ,800 ml,800.0,0.21850000000000003
76,76,"Green Tea - Lemon & Honey, Rich In Antioxidants",Tetley,625.0,437.5,187.5,30.0,140 g - (100 Bags x 1.4 g each),140 g ,140 g ,140.0,3.125
77,77,Soft Drink - Lime & Lemon Flavoured,Limca ,40.0,34.0,6.0,15.0,750 ml - PET Bottle,750 ml ,750 ml ,750.0,0.04533333333333334
78,78,Strong Coffee,LEVISTA,160.0,80.0,80.0,50.0,50 g - Pouch,50 g ,50 g ,50.0,1.6
79,79,Green Tea - Ginger Mint Lemon,Tetley,510.0,392.7,117.30000000000001,23.0,3x25 Teabags - Multipack,3*25 Teabags ,75 Teabags,75.0,5.236
80,80,Coconut Water,Raw Pressery,1440.0,1368.0,72.0,5.0,24x200 ml - Multipack,24*200 ml ,4800 ml,4800.0,0.285
81,81,"Junior - Health Drink, Vanilla - Specialized Nutrition For Kids",Horlicks,570.0,450.0,120.0,21.05,1 Kg ,1 Kg ,1 Kg ,1000.0,0.45
82,82,100% Tender Coconut Water - No Added Sugar,Storia,298.0,190.72,107.28,36.0,2 x 1 L - (Multipack),2*1 L ,2 L,2000.0,0.09536
83,83,"Fruit Juice - Delight, Apple",Tropicana,339.0,279.0,60.0,17.7,3x1 L - Multipack,3*1 L ,3 L,3000.0,0.093
84,84,Premium Tea - Strong Flavour With Long Lasting Taste,Tata Tea Chakra Gold,410.0,369.0,41.0,10.0,500 g ,500 g ,500 g ,500.0,0.738
85,85,"Nutrition & Health Drink - Improves Concentration & Memory, Chocolate Flavour",Complan,1218.0,1071.84,146.16000000000008,12.0,2x1 Kg - Multipack,2*1 Kg ,2 Kg,2000.0,0.53592
86,86,"Soda - Fizz, Jeera Masala",Bindu,60.0,60.0,0.0,0.0,1 L - Bottle,1 L ,1 L ,1000.0,0.06
87,87,Lychee - Litchi Fruit Juice,Paper Boat,80.0,76.0,4.0,5.0,4x150 ml - Multipack,4*150 ml ,600 ml,600.0,0.12666666666666668
