,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Only_Numeric_Part,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
890,890,Kodo Millet - Kodra/Varagu/Arikelu/Hark/Varigu,Manna,189,151.2,37.8,20,500 g ,500 g ,,500 g ,500,0.3024
891,891,Organic Watermelon Seeds/Kallangadi Bija,BB Royal,161,144,17,10.56,100 g ,100 g ,,100 g ,100,1.44
892,892,Roasted Rava,Elite,75,75,0,0,1 kg - Pillow Pouch,1 kg ,,1 kg ,1000,0.075
893,893,Rajma Masala - Enhances Flavour,Catch,82,61.5,20.5,25,100 g - Carton,100 g ,,100 g ,100,0.615
894,894,Jaya Boiled Rice,BB Royal,300,270,30,10,5 kg - Bag,5 kg ,,5 kg ,5000,0.054
895,895,Chunky Chat,Mdh,85,85,0,0,100 g - Carton,100 g ,,100 g ,100,0.85
896,896,Premium Pumpkin Seeds - All Natural,Happilo,550,467.5,82.5,15,2x200 g - Multipack,2*200 g ,"(400, 'g')",400 g,400,1.16875
897,897,Virgin Cold Pressed Sesame Oil,Chekko,3045,2892.75,152.25,5,5 L ,5 L ,,5 L ,5000,0.57855
898,898,"Lashkari Kollam Premium Rice - Light Weight, Easy To Digest, Soft Texture",Sri Sri Tattva,90,90,0,0,1 kg ,1 kg ,,1 kg ,1000,0.09
899,899,Broken Wheat - Daliya,Elite,42,42,0,0,500 g - Pillow Pouch,500 g ,,500 g ,500,0.084
900,900,"Rice - Jeerasar, New Rice/Nava Chokha, Guj 17",BB Popular,0,0,0,,25 kg ,25 kg ,,25 kg ,25000,0
901,901,"Apricots - Dried, Premium Turkish",Happilo,730,649.7,80.3,11,2x200 g - Multipack,2*200 g ,"(400, 'g')",400 g,400,1.62425
902,902,Basmati Rice - Everyday,BB Royal,990,737.75,252.25,25.48,2x5 Kg - Multipack,2*5 Kg ,"(10, 'Kg')",10 Kg,10000,0.073775
903,903,Red Poha,24 Mantra Organic,190,171,19,10,2x500 g - Multipack,2*500 g ,"(1000, 'g')",1000 g,1000,0.171
904,904,Masala - Sambhar,Everest,160,160,0,0,200 g ,200 g ,,200 g ,200,0.8
905,905,Mix - Chicken Biryani,Mother's Recipe,165,135,30,18.18,3x100 g - (Multipack),3*100 g ,"(300, 'g')",300 g,300,0.45
906,906,Turmeric Powder/Arisina Pudi,Sakthi,72,64.8,7.2,10,200 g - Pouch,200 g ,,200 g ,200,0.324
907,907,Soya Chunks - Nano,Double Horse,67,67,0,0,200 g - 0,200 g ,,200 g ,200,0.335
908,908,Wheat - Sihor,BB Royal,70,45,25,35.71,1 kg ,1 kg ,,1 kg ,1000,0.045
909,909,"Coconut Milk Powder - Rich In Vitamins & Minerals, Thick, Tasty",KLF Coconad,850,850,0,0,1 Kg ,1 Kg ,,1 Kg ,1000,0.85
910,910,Oil - Sesame,Idhayam,503,503,0,0,1 L - Can,1 L ,,1 L ,1000,0.503
911,911,Rice Flour,24 Mantra Organic,130,114.4,15.6,12,2x500 g - Multipack,2*500 g ,"(1000, 'g')",1000 g,1000,0.1144
912,912,Masala - Kulambu Chilly,Aachi,110,93.5,16.5,15,200 g - Pouch,200 g ,,200 g ,200,0.4675
913,913,Kabuli Chana,24 Mantra Organic,450,362.1,87.9,19.53,3x500 g - Multipack,3*500 g ,"(1500, 'g')",1500 g,1500,0.2414
914,914,Virgin Groundnut Oil,Patanjali,1125,1125,0,0,5 L - Jar,5 L ,,5 L ,5000,0.225
915,915,"Green Long Raisin - Enriched With Vitamin A, Improves Eye Sight, Digestion",Farmley,239,191.2,47.8,20,500 g ,500 g ,,500 g ,500,0.3824
916,916,Paste - Garlic,Mother's Recipe,22,20.9,1.1,5,100 g - Pouch,100 g ,,100 g ,100,0.209
917,917,Masala - Fish Fry,Aachi,34,28.9,5.1,15,50 g - Pouch,50 g ,,50 g ,50,0.578
918,918,Powder - Deggi Mirch,Mdh,125,125,0,0,100 g - Carton,100 g ,,100 g ,100,1.25
919,919,100% Natural Nut Powder - No Added Sugar Or Preservatives,Slurrp Farm,499,499,0,0,100 g ,100 g ,,100 g ,100,4.99
920,920,Dates/Kharjura - Medjool,BB Royal,1000,737,263,26.3,500 g ,500 g ,,500 g ,500,1.474
921,921,"Halim Seeds - Healthy Seeds , For Weight Loss",True Elements,299,245.18,53.82,18,500 g ,500 g ,,500 g ,500,0.49036
922,922,Maida,Fortune ,39,35.1,3.9,10,500 g - Pouch,500 g ,,500 g ,500,0.0702
923,923,Super Saver Ponni Boiled Rice,Super Saver,1820,1452,368,20.22,26 kg - Yes,26 kg ,,26 kg ,26000,0.055846154
924,924,Powder - Hingraj,Everest,275,275,0,0,100 g ,100 g ,,100 g ,100,2.75
925,925,Organic - Coriander Whole,Pro Nature,119,107.1,11.9,10,200 g - Pouch,200 g ,,200 g ,200,0.5355
926,926,Organic - Wheat Broken/Dhaliya,BB Royal,89,66,23,25.84,1 kg ,1 kg ,,1 kg ,1000,0.066
927,927,Wheat Daliya - Pesticide Free,Safe Harvest,52,49.4,2.6,5,500 g ,500 g ,,500 g ,500,0.0988
928,928,"Smart Edible Oil - Enriched With Vitamin A, D , E & K",Oleev,180,140.99,39.01,21.67,1 L ,1 L ,,1 L ,1000,0.14099
929,929,"Pure & Unrefined Cold Pressed Virgin Coconut Oil - Naturally, Cholesterol Free",Tata Simply Better,699,559.2,139.8,20,1 L ,1 L ,,1 L ,1000,0.5592
930,930,Premium Aromatic Govind Bhog Rice,BONGO BHOG,800,800,0,0,5 kg ,5 kg ,,5 kg ,5000,0.16
931,931,Sugar/Sakkare - Brown,Pro Nature,154,130.9,23.1,15,1 kg ,1 kg ,,1 kg ,1000,0.1309
932,932,Sampoorna Chakki Atta/Godihittu,Nature Fresh,475,440.73,34.27,7.21,10 Kg - Bag,10 Kg ,,10 Kg ,10000,0.044073
933,933,Premium Diwali Gift Box,BB Royal,299,190,109,36.45,"200 g - (Almonds, Raisins, Cashews, Apricots, 50 g each)",200 g ,,200 g ,200,0.95
934,934,Dates - Royal Zahidi,Apis,240,220,20,8.33,500 g - Buy 1 Get 1 Free,500 g ,,500 g ,500,0.44
935,935,Mixed Fruit,Fresho Signature,195,169,26,13.33,150 g ,150 g ,,150 g ,150,1.126666667
936,936,Besan Flour,24 Mantra Organic,285,228,57,20,3x500 g - Multipack,3*500 g ,"(1500, 'g')",1500 g,1500,0.152
937,937,Olive Oil - Extra Light,Del Monte ,3500,2441.76,1058.24,30.24,2x1 L - Multipack,2*1 L ,"(2, 'L')",2 L,2000,1.22088
938,938,Split Pigeon Pea Toor Dal - Rich In Protein & Folic Acid,Sri Sri Tattva,180,180,0,0,1 kg ,1 kg ,,1 kg ,1000,0.18
939,939,Cow Ghee/Tuppa - Certified Organic,Nutriorg,670,670,0,0,500 ml ,500 ml ,,500 ml ,500,1.34
940,940,"White Sesame Seeds Til - Highly Nutritious, Boosts Overall Health",Sri Sri Tattva,60,60,0,0,100 g ,100 g ,,100 g ,100,0.6
941,941,"Quinoa - 100% Wholegrain, High Protein, Breakfast Cereal, Gluten Free, Diet Food",True Elements,1100,770,330,30,2 kg ,2 kg ,,2 kg ,2000,0.385
942,942,Traditional Whole Wheat Chakki Atta,Patanjali,425,425,0,0,10 Kg ,10 Kg ,,10 Kg ,10000,0.0425
943,943,Canola Oil - For All Types Of Cooking,Miller,1499,1018.44,480.56,32.06,5 L ,5 L ,,5 L ,5000,0.203688
944,944,Cashew/Godambi - Roasted & Salted,BB Royal,200,116,84,42,100 g - Standy Ziplock Pouch,100 g ,,100 g ,100,1.16
945,945,Moong Dal,Safe Harvest,135,112.05,22.95,17,500 g ,500 g ,,500 g ,500,0.2241
946,946,Ragi Dosa Mix,Indira's,125,125,0,0,500 g - Pouch,500 g ,,500 g ,500,0.25
947,947,Madras Sambar Powder,Eastern,56,56,0,0,100 g ,100 g ,,100 g ,100,0.56
948,948,"Chhole Masala - With Natural Oils, Crafted By Chef Sanjeev Kapoor",Tata Sampann,80,76,4,5,100 g ,100 g ,,100 g ,100,0.76
949,949,Organic - Castor Oil,Phalada Pure & Sure,140,133,7,5,250 ml - Bottle,250 ml ,,250 ml ,250,0.532
950,950,Dried Cranberries,True Elements,500,460,40,8,2x125 g - Multipack,2*125 g ,"(250, 'g')",250 g,250,1.84
951,951,"Organic - Urad Dal/Uddina Bele, Atta",BB Royal,99,93,6,6.06,500 g ,500 g ,,500 g ,500,0.186
952,952,Amla Chatpata Dry Fruit,Fresho Signature,130,112.1,17.9,13.77,2x50 g - Multipack,2*50 g ,"(100, 'g')",100 g,100,1.121
953,953,Baskati - Rice,BB Popular,800,634,166,20.75,10 kg ,10 kg ,,10 kg ,10000,0.0634
954,954,Black Raisins - Premium Afghani Seedless,Happilo,490,392,98,20,2x250 g - Multipack,2*250 g ,"(500, 'g')",500 g,500,0.784
955,955,Dry Fruit - Cherry,Kiara Foods,90,90,0,0,200 g ,200 g ,,200 g ,200,0.45
956,956,Dates/Kharjura - Layina,Lion,220,206.8,13.2,6,500 gm ,500 gm ,,500 gm ,500,0.4136
