,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Only_Numeric_Part,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
209,209,Basmati Rice/Basmati Akki - Rozana Gold,Daawat,560,429,131,23.39,5 kg - Pouch,5 kg ,,5 kg ,5000,0.0858
210,210,Lobia/Alasandee Kaalu - White,BB Royal,80,59,21,26.25,500 g - Pouch,500 g ,,500 g ,500,0.118
211,211,Fried Gram - Whole/Huri Kadale,BB Royal,180,159,21,11.67,1 kg ,1 kg ,,1 kg ,1000,0.159
212,212,Masala - Bisibelebath Powder,MTR,80,65,15,18.75,100 g - Pouch,100 g ,,100 g ,100,0.65
213,213,Oil - Groundnut,Dhara ,1275,1106.95,168.05,13.18,5 L - Can,5 L ,,5 L ,5000,0.22139
214,214,Chakki-Fresh-Wheat-Atta/Godihittu - Fortified,BB Royal,550,418.42,131.58,23.92,10 kg ,10 kg ,,10 kg ,10000,0.041842
215,215,Wheat - Sharbati,BB Royal,70,59,11,15.71,1 kg - Pouch,1 kg ,,1 kg ,1000,0.059
216,216,Ponni Raw Rice  (12 + Months Old),BB Royal,350,325,25,7.14,5 kg - Pouch,5 kg ,,5 kg ,5000,0.065
217,217,Filtered Groundnut Oil,Mr. Gold,240,204.95,35.05,14.6,1 L - Pouch,1 L ,,1 L ,1000,0.20495
218,218,"100% Natural & Pure Groundnut Oil - Unrefined, Cold-Pressed",Nature Way,1750,1662.5,87.5,5,5 L ,5 L ,,5 L ,5000,0.3325
219,219,Palakkad Red Matta Boiled Rice - Unda,BB Royal,1820,1596,224,12.31,26 kg - Bag,26 kg ,,26 kg ,26000,0.061384615
220,220,Thick Poha,Vijay,85,83.3,1.7,2,1 kg ,1 kg ,,1 kg ,1000,0.0833
221,221,"Cow's Pure Ghee - Source Of Calcium, Boosts Overall Health",Sri Sri Tattva,3575,3575,0,0,5 L - Tin,5 L ,,5 L ,5000,0.715
222,222,Multigrain Atta - Fortified,BB Royal,660,570.63,89.37,13.54,2x5 kg - Multipack,2*5 kg ,"(10, 'kg')",10 kg,10000,0.057063
223,223,Double Roasted Rava,Double Horse,110,110,0,0,1 kg ,1 kg ,,1 kg ,1000,0.11
224,224,Besan/Kadale Hittu,BB Super Saver,60,45,15,25,500 g ,500 g ,,500 g ,500,0.09
225,225,"Organic - Foxtail Millet / Italian, Thinai Rice",BB Royal,72,62,10,13.89,500 g ,500 g ,,500 g ,500,0.124
226,226,Organic Walnut/Akrodu Kernels,BB Royal,1099,860,239,21.75,500 g ,500 g ,,500 g ,500,1.72
227,227,Whole Wheat Atta,24 Mantra Organic,930,651.9,278.1,29.9,3x5 kg - Multipack,3*5 kg ,"(15, 'kg')",15 kg,15000,0.04346
228,228,Rajma/Capparadavare - White/Chitra,BB Royal,55,47,8,14.55,200 g - Pouch,200 g ,,200 g ,200,0.235
229,229,"Pistachios - Roasted & Salted, Premium Californian",Happilo,790,699.16,90.84,11.5,2x200 g - Multipack,2*200 g ,"(400, 'g')",400 g,400,1.7479
230,230,Ponni Raw Rice - Super Premium,BB Royal,1950,1638,312,16,26 kg - (18 + Months  Old),26 kg ,,26 kg ,26000,0.063
231,231,Cashew/Godambi - Split,BB Royal,900,466,434,48.22,500 g ,500 g ,,500 g ,500,0.932
232,232,Refined Oil - Rice Bran,Mr. Gold,140,112.02,27.98,19.99,1 L - Pouch,1 L ,,1 L ,1000,0.11202
233,233,Bombay Sooji,Vijay,70,68.6,1.4,2,1 kg ,1 kg ,,1 kg ,1000,0.0686
234,234,Chilli Powder,MTR,170,145,25,14.71,250 Gm ,250 Gm ,,250 Gm ,250,0.58
235,235,Jaggery/Bella Powder/Nattu Sakkarai,BB Royal,60,44,16,26.67,500 g ,500 g ,,500 g ,500,0.088
236,236,Gold Palmolein Oil,RUCHI,125,95,30,24,870 g - Pouch,870 g ,,870 g ,870,0.109195402
237,237,Organic - Little Millet/Samai Rice,BB Royal,349,278,71,20.34,2 kg ,2 kg ,,2 kg ,2000,0.139
238,238,Organic Ragi Flour,BB Royal,349,314.1,34.9,10,5 Kg ,5 Kg ,,5 Kg ,5000,0.06282
239,239,Super Saver Palakkad Red Matta Boiled Rice,Super Saver,650,598,52,8,10 kg ,10 kg ,,10 kg ,10000,0.0598
240,240,"Walnuts - Kernels, Premium 100% Natural Kashmiri",Happilo,910,773.5,136.5,15,2x200 g - Multipack,2*200 g ,"(400, 'g')",400 g,400,1.93375
241,241,Organic - Cloves/Lavanga,BB Royal,49,46,3,6.12,20 g ,20 g ,,20 g ,20,2.3
242,242,Mixed Dry fruits,BB Royal,750,567,183,24.4,500 g - Pouch,500 g ,,500 g ,500,1.134
243,243,Organic - Rice Flour,BB Royal,198,126,72,36.36,2x1 kg - Multipack,2*1 kg ,"(2, 'kg')",2 kg,2000,0.063
244,244,Tilnad Sesame Oil,Klf ,430,422.52,7.48,1.74,1 L ,1 L ,,1 L ,1000,0.42252
245,245,Vadi Matta Rice,Double Horse,480,379,101,21.04,5 kg - Bag,5 kg ,,5 kg ,5000,0.0758
246,246,"Kashmiri Chilli Powder - Perfect Colour, Smell & Taste",Eastern,540,330,210,38.89,2x250 g - Multipack,2*250 g ,"(500, 'g')",500 g,500,0.66
247,247,Powder - Green Coriander,Everest,200,200,0,0,500 g - Pouch,500 g ,,500 g ,500,0.4
248,248,"Rice/Akki - Steam, Sona Masoori",BB Popular,70,59,11,15.71,1 kg - Pouch,1 kg ,,1 kg ,1000,0.059
249,249,Soya - Mini Chunk,Nutrela,60,57,3,5,200 g - 0,200 g ,,200 g ,200,0.285
250,250,Unpolished Urad Dal - Split,Tata Sampann,224,217.28,6.72,3,1 kg ,1 kg ,,1 kg ,1000,0.21728
251,251,Organic - Urad Whole Gota Unpolished,BB Royal,805,724.5,80.5,10,5 kg ,5 kg ,,5 kg ,5000,0.1449
252,252,Refined Oil - Groundnut,Safal,220,220,0,0,1 L - Pouch,1 L ,,1 L ,1000,0.22
253,253,Idli/Idly Rice,BB Popular,650,526,124,19.08,10 kg ,10 kg ,,10 kg ,10000,0.0526
254,254,Masala - Rasam Powder,MTR,135,119,16,11.85,200 g - Pouch,200 g ,,200 g ,200,0.595
255,255,100% Natural Premium Californian Almonds - Value Pack,Happilo,1350,966.6,383.4,28.4,1 kg ,1 kg ,,1 kg ,1000,0.9666
256,256,Basmati Rice - Super,Daawat,220,138.86,81.14,36.88,1 kg - Pouch,1 kg ,,1 kg ,1000,0.13886
257,257,GTS Original Vada Colam Raw Rice,Bullet,1080,877.5,202.5,18.75,10 kg ,10 kg ,,10 kg ,10000,0.08775
258,258,"Pink Salt - With 100% Natural Sendha Salt, For Everyday Cooking, Iodised Rock Salt",Tata Salt,80,72,8,10,1 kg - Pouch,1 kg ,,1 kg ,1000,0.072
259,259,Dates/Kharjura,Lion,170,170,0,0,500 g - Buy 1 Get 1 Free,500 g ,,500 g ,500,0.34
260,260,Organic - Channa Dal Unpolished,BB Royal,77,65,12,15.58,500 g ,500 g ,,500 g ,500,0.13
261,261,Organic - Brown Rice,BB Royal,960,798,162,16.88,2x5 kg - Multipack,2*5 kg ,"(10, 'kg')",10 kg,10000,0.0798
262,262,Ponni Boiled Rice,BB Popular,1800,1386,414,23,26 kg - Bag,26 kg ,,26 kg ,26000,0.053307692
263,263,Pure Cow Ghee,Gowardhan,1450,1450,0,0,2 x 1 L - Multipack,2*1 L ,"(2, 'L')",2 L,2000,0.725
264,264,Rice Flour/Akki Hittu,BB Super Saver,28,22,6,21.43,500 g ,500 g ,,500 g ,500,0.044
265,265,Tur/Arhar Dal,24 Mantra Organic,580,510.4,69.6,12,2x1 kg - Multipack,2*1 kg ,"(2, 'kg')",2 kg,2000,0.2552
266,266,Refined Palmolein Oil - Imported,Palmpure,101,93.79,7.21,7.14,1 L ,1 L ,,1 L ,1000,0.09379
267,267,Asafoetida - Powder,Ssp,310,310,0,0,10 g - Jar,10 g ,,10 g ,10,31
268,268,"Masala-Ae-Magic - Seasoning With Aromatic Roasted Spices, Enhances Flavour",MAGGI ,60,51,9,15,6 g - (Pack of 12),6 g ,,6 g ,6,8.5
269,269,Masala - Garam,Everest,200,200,0,0,200 g ,200 g ,,200 g ,200,1
270,270,Cow Ghee/Tuppa,Patanjali,2925,2925,0,0,5 L ,5 L ,,5 L ,5000,0.585
271,271,Sugar Release Control Atta/Godihittu,Aashirvaad,385,338.8,46.2,12,5 kg ,5 kg ,,5 kg ,5000,0.06776
272,272,Kabuli Chana/Kabuli Kadale,BB Super Saver,230,207,23,10,1 kg ,1 kg ,,1 kg ,1000,0.207
273,273,Organic - Idly/Idli Rice,BB Royal,838,680,158,18.85,2x5 kg - Multipack,2*5 kg ,"(10, 'kg')",10 kg,10000,0.068
274,274,Rajma/Capparadavare - Kashmiri,BB Royal,40,39,1,2.5,200 g - Pouch,200 g ,,200 g ,200,0.195
275,275,Sugar,24 Mantra Organic,435,309.6,125.4,28.83,3x1 kg - Multipack,3*1 kg ,"(3, 'kg')",3 kg,3000,0.1032
276,276,Sonamasuri Rice,24 Mantra Organic,1770,1203.6,566.4,32,3x5 kg - Multipack,3*5 kg ,"(15, 'kg')",15 kg,15000,0.08024
277,277,Organic - Jowar Flour,BB Royal,190,162,28,14.74,2x1 kg - Multipack,2*1 kg ,"(2, 'kg')",2 kg,2000,0.081
278,278,"100% Pure Premium Cashews Whole - Premium Quality Kaju, Rich In Protein, Magnesium, & Phosphorus, Premium Nuts & Dry Fruits|",Tata Sampann,1170,1100.85,69.15,5.91,1 kg - Pouch,1 kg ,,1 kg ,1000,1.10085
279,279,Walnut/Akhrot- Kernels,BB Royal,400,307,93,23.25,200 g - Vacuum Packed,200 g ,,200 g ,200,1.535
280,280,Schezwan Fried Rice Masala,Chings,100,100,0,0,10 x 20 g - Multipack,10*20 g ,"(200, 'g')",200 g,200,0.5
281,281,Refined - Sunflower Oil,Dhara ,725,577.5,147.5,20.34,5 L - Can,5 L ,,5 L ,5000,0.1155
282,282,Coriander Seeds/Kottambari Beeja,BB Popular,80,49,31,38.75,200 g ,200 g ,,200 g ,200,0.245
283,283,Til/Ellu - Black,BB Royal,100,77,23,23,200 g ,200 g ,,200 g ,200,0.385
284,284,Chilli Powder/Menasina Pudi,Tata Sampann,360,277.2,82.8,23,500 g ,500 g ,,500 g ,500,0.5544
285,285,Himalayan Pink Rock Salt/Uppu - Crystal,GoodDiet,110,99,11,10,1 kg ,1 kg ,,1 kg ,1000,0.099
286,286,Coconut Milk - UHT Natural,Kara,320,320,0,0,4x200 ml - Multi Pack,4*200 ml ,"(800, 'ml')",800 ml,800,0.4
287,287,Powder - Kashmirilal,Everest,255,255,0,0,200 g ,200 g ,,200 g ,200,1.275
288,288,Anjeer/Figs/Atti Hannu,BB Royal,1500,931,569,37.93,500 g ,500 g ,,500 g ,500,1.862
289,289,Pure Cow Ghee,Gowardhan,770,692,78,10.13,2 x 500 ml - Multipack,2*500 ml ,"(1000, 'ml')",1000 ml,1000,0.692
290,290,Gingelly Oil,Kpl Shudhi,415,379.71,35.29,8.5,1 L - Bottle,1 L ,,1 L ,1000,0.37971
291,291,"Double Roasted Suji Rava - Less Moisture, More Quantity, Made From MP Wheat",Aashirvaad,77,73.15,3.85,5,1 kg ,1 kg ,,1 kg ,1000,0.07315
292,292,White Peas/Bili Batani,BB Royal,180,118,62,34.44,1 kg - Pouch,1 kg ,,1 kg ,1000,0.118
293,293,Ghee/Tuppa,Milky Mist,450,375,75,16.67,500 ml - Pet Jar,500 ml ,,500 ml ,500,0.75
294,294,"Multigrain Atta - 7 Grains, High Fibre Flour, High Protein Atta",Pillsbury,734,580,154,20.98,2 x 5 kg - Multipack,2*5 kg ,"(10, 'kg')",10 kg,10000,0.058
295,295,Premium Natural Californian Almonds,Happilo,550,421,129,23.45,2x200 g - Multipack,2*200 g ,"(400, 'g')",400 g,400,1.0525
296,296,Iodized Crystal Salt/Uppu,Aashirvaad,22,19.8,2.2,10,1 kg ,1 kg ,,1 kg ,1000,0.0198
297,297,"Dry Dates/Kharjura - Chuwara, Kharik",BB Royal,80,44,36,45,100 g - Pouch,100 g ,,100 g ,100,0.44
298,298,Powder - Cumin,MTR,75,71.25,3.75,5,100 g - Pouch,100 g ,,100 g ,100,0.7125
299,299,Cardamom/Elaichi - Green,BB Royal,250,228,22,8.8,50 g ,50 g ,,50 g ,50,4.56
300,300,Brown Chana,BB Super Saver,130,90,40,30.77,1 kg ,1 kg ,,1 kg ,1000,0.09
301,301,Sona Masoori Steam Rice/Akki,Super Saver,70,62,8,11.43,1 kg ,1 kg ,,1 kg ,1000,0.062
302,302,Active - Goodness Of Olive Oil,Oleev,1395,1217,178,12.76,5 L - Jar,5 L ,,5 L ,5000,0.2434
303,303,Rice Bran Oil Physically Refined,Freedom,143,119.87,23.13,16.17,1 L - Pouch,1 L ,,1 L ,1000,0.11987
304,304,Organic - Ragi Whole/Finger Millet,BB Royal,160,134,26,16.25,2x1 kg - Multipack,2*1 kg ,"(2, 'kg')",2 kg,2000,0.067
305,305,"Cashew/Godambi - Whole,Standy Ziplock Pouch",BB Royal,2000,864,1136,56.8,500 gm - (Pack of 500x2),500 gm ,,500 gm ,500,1.728
306,306,"Almond/Badam - Californian, Giri Bold",BB Royal,1500,1024,476,31.73,1 kg - Pouch,1 kg ,,1 kg ,1000,1.024
307,307,White Poha - Thin,Tata Sampann,57,55.86,1.14,2,500 g ,500 g ,,500 g ,500,0.11172
308,308,Poppy Seed,JK,618,618,0,0,250 g ,250 g ,,250 g ,250,2.472
309,309,Chana Dal,BB Super Saver,63,54,9,14.29,500 g ,500 g ,,500 g ,500,0.108
310,310,Jeera/Gobind Bhog Rice/Akki,Super Saver,600,491,109,18.17,5 kg ,5 kg ,,5 kg ,5000,0.0982
311,311,Mustard/Sasive/Rai - Big,BB Popular,60,32,28,46.67,200 g ,200 g ,,200 g ,200,0.16
312,312,Palakkad Red Matta Boiled Rice - Vadi,BB Royal,400,373,27,6.75,5 kg - Pouch,5 kg ,,5 kg ,5000,0.0746
313,313,Organic - Bay Leaf/Lavangada Ele,BB Royal,13,11,2,15.38,20 g ,20 g ,,20 g ,20,0.55
314,314,Active Refined Cooking oil | Blended Rice Bran & SoyaBean oil | Pro Weight Watchers,Saffola,805,649,156,19.38,5 L - Jar,5 L ,,5 L ,5000,0.1298
315,315,Masala - Vangibath Powder,MTR,155,155,0,0,200 g - Pouch,200 g ,,200 g ,200,0.775
316,316,"Green Moong/Hesaru Kaalu - Split, Chilka",BB Royal,200,164,36,18,1 kg - Pouch,1 kg ,,1 kg ,1000,0.164
317,317,"Extra Virgin Olive Oil- 100% Natural and Cold Extracted- Perfect for Salad, Paratha, Marinade - Imported from Spain",Figaro,1999,1473.99,525.01,26.26,1 L - Pet Bottle,1 L ,,1 L ,1000,1.47399
318,318,Organic Kodo Millet - Varagu Rice,BB Royal,79,70,9,11.39,500 g ,500 g ,,500 g ,500,0.14
319,319,Active Oil,Oleev,747,730.12,16.88,2.26,3x1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.243373333
320,320,HMT Kolam Raw Rice/Akki,Super Saver,90,78,12,13.33,1 kg ,1 kg ,,1 kg ,1000,0.078
321,321,Organic Tamarind/Hunisehannu,BB Royal,180,179,1,0.56,500 g ,500 g ,,500 g ,500,0.358
322,322,Cold Pressed Pure Mustard Oil,Dabur,620,432.14,187.86,30.3,2 x 1 L - Multipack,2*1 L ,"(2, 'L')",2 L,2000,0.21607
323,323,Oil - Mustard (Kachi Ghani),Dhara ,170,142.06,27.94,16.44,1 L - Bottle,1 L ,,1 L ,1000,0.14206
324,324,Fennel/Saunf/Sompu - Small,BB Popular,80,62,18,22.5,100 g ,100 g ,,100 g ,100,0.62
325,325,Powder - Sambar,Sakthi,132,125.4,6.6,5,200 g - Pouch,200 g ,,200 g ,200,0.627
326,326,Poha/Avalakki/Aval/Chivda - Thin,BB Popular,80,77,3,3.75,1 kg ,1 kg ,,1 kg ,1000,0.077
327,327,Organic - Poha,BB Royal,238,164,74,31.09,2x1 kg - Multipack,2*1 kg ,"(2, 'kg')",2 kg,2000,0.082
328,328,Dal Powder/Paruppu Podi - Rich In Taste & Flavour,BB Royal,60,40,20,33.33,100 g ,100 g ,,100 g ,100,0.4
329,329,Chana - Kabuli/Kabuli Kadale,BB Royal,58,49,9,15.52,200 g - Pouch,200 g ,,200 g ,200,0.245
330,330,A2 Desi Cow Ghee,Fresho Organic,1500,699,801,53.4,500 ml ,500 ml ,,500 ml ,500,1.398
331,331,Dry Coconut/Gadi/Gola,BB Royal,250,207,43,17.2,500 g ,500 g ,,500 g ,500,0.414
332,332,Gold Low Calorie Sweetener,Sugar Free,150,144,6,4,100 g - Jar,100 g ,,100 g ,100,1.44
333,333,Turmeric Powder/Arisina Pudi,Aashirvaad,180,149.4,30.6,17,500 g ,500 g ,,500 g ,500,0.2988
334,334,Organic Sona Masoori Semi Brown Rice/Akki - Handpounded,BB Royal,949,745,204,21.5,10 Kg ,10 Kg ,,10 Kg ,10000,0.0745
335,335,Ginger Garlic Paste,Smith & Jones,200,188,12,6,4 x200 g - Multipack,4 *200 g ,,4 *200 g ,,
336,336,Hommade - Tomato Puree,Dabur,81,77,4,4.94,3x200 g - Multipack,3*200 g ,"(600, 'g')",600 g,600,0.128333333
337,337,Mustard Oil - Kachi Ghani,Dalda ,165,136.62,28.38,17.2,1 L - Bottle,1 L ,,1 L ,1000,0.13662
338,338,Plain Puffed Rice/Kadle Puri/Murmure,BB Royal,40,39,1,2.5,200 g - Pouch,200 g ,,200 g ,200,0.195
339,339,Coriander Powder,MTR,86,74,12,13.95,250 Gm ,250 Gm ,,250 Gm ,250,0.296
340,340,Organic - Barnyard Millet/Kudiraivali Rice,BB Royal,399,315,84,21.05,2 kg ,2 kg ,,2 kg ,2000,0.1575
341,341,"Organic - Urad Dal/Uddina Bele, White (Split), Unpolished",BB Royal,210,177.2,32.8,15.62,1 kg ,1 kg ,,1 kg ,1000,0.1772
342,342,Dates/Kharjura - Desert King,Lion,247,247,0,0,500 gm - Cup,500 gm ,,500 gm ,500,0.494
343,343,Ajwain/Om Kalu - Whole,BB Popular,50,45,5,10,100 g ,100 g ,,100 g ,100,0.45
344,344,Gingelly/Sesame Cooking Oil,BB Royal Organic,600,459,141,23.5,1 L - Spout Pack,1 L ,,1 L ,1000,0.459
345,345,Ananas Flower/Ananas Huvu,BB Royal,200,159,41,20.5,100 g ,100 g ,,100 g ,100,1.59
346,346,Buffalo Ghee/Tuppa - Special Grade with Milk Fat,Heritage,370,342.21,27.79,7.51,500 ml - Pouch,500 ml ,,500 ml ,500,0.68442
347,347,"Pista - California, Roasted & Salted",Super Saver,385,258,127,32.99,200 g ,200 g ,,200 g ,200,1.29
348,348,Organic - Turmeric Powder/Arisina Pudi,BB Royal,61,49,12,19.67,200 g ,200 g ,,200 g ,200,0.245
349,349,"Refined Sunflower Oil - with Vitamins A, D & E",Freedom,144,125.4,18.6,12.92,1 L - Bottle,1 L ,,1 L ,1000,0.1254
350,350,Coconut Powder - Desiccated,BB Royal,100,67,33,33,200 g ,200 g ,,200 g ,200,0.335
351,351,"Jaggery - Rich In Iron, Treats Anemia",Super Saver,90,73,17,18.89,1 kg ,1 kg ,,1 kg ,1000,0.073
352,352,Jeera Powder,Catch,270,202.5,67.5,25,2x100 g - Multipack,2*100 g ,"(200, 'g')",200 g,200,1.0125
353,353,Organic - Kasuri Methi,BB Royal,129,129,0,0,200 g ,200 g ,,200 g ,200,0.645
354,354,Watermelon Seeds/Kallangadi Bija,BB Royal,160,119,41,25.62,100 g ,100 g ,,100 g ,100,1.19
355,355,Seeds - Flax,BB Royal,60,29,31,51.67,200 g ,200 g ,,200 g ,200,0.145
356,356,Fenugreek Seeds,24 Mantra Organic,56,49.2,6.8,12.14,2x100 g - Multipack,2*100 g ,"(200, 'g')",200 g,200,0.246
357,357,Groundnut Oil,24 Mantra Organic,1485,1262.1,222.9,15.01,3x1 L - Multipack,3*1 L ,"(3, 'L')",3 L,3000,0.4207
358,358,"Cashews - Whole, 100% Natural Premium",Happilo,670,502.5,167.5,25,2x200 g - Multipack,2*200 g ,"(400, 'g')",400 g,400,1.25625
359,359,Khus Khus/Posta Dana,Super Saver,350,214,136,38.86,100 g ,100 g ,,100 g ,100,2.14
360,360,Heart Oil - Vegetable,Sundrop,429,416.13,12.87,3,3 L - Jar,3 L ,,3 L ,3000,0.13871
361,361,Turmeric Powder/Arisina Pudi,Everest,180,180,0,0,500 g - Pouch,500 g ,,500 g ,500,0.36
362,362,Tamarind Paste,Mother's Recipe,156,156,0,0,3X200 g - Multipack,3*200 g ,,600 g,600,0.26
363,363,Soya Chunks,BB Royal,55,25,30,54.55,200 g ,200 g ,,200 g ,200,0.125
364,364,GTS Original Vada Colum Raw Rice,Bullet,3240,2427.6,812.4,25.07,30 kg - Bag,30 kg ,,30 kg ,30000,0.08092
365,365,Green Pumpkin Seeds/Kumbalakayi Bija,BB Royal,100,81,19,19,100 g - Pouch,100 g ,,100 g ,100,0.81
366,366,Moong Dal,BB Super Saver,360,273,87,24.17,2 kg ,2 kg ,,2 kg ,2000,0.1365
367,367,Powder - Black Pepper,Everest,148,148,0,0,100 g - Carton,100 g ,,100 g ,100,1.48
368,368,"Refined Sunflower Oil - with Vitamins A, D & E",Freedom,720,598,122,16.94,5 L - Can,5 L ,,5 L ,5000,0.1196
369,369,"Cow Ghee - Intense Aroma & Flavour, Rich Texture, Immunity Booster",Aashirvaad Svasti,1570,1384.74,185.26,11.8,2x1 L - Multipack,2*1 L ,"(2, 'L')",2 L,2000,0.69237
370,370,Pure Ghee,Amul,1240,1240,0,0,2 x 1 L - Multipack,2*1 L ,"(2, 'L')",2 L,2000,0.62
371,371,Masala - Garam,MTR,55,44,11,20,50 g - Pouch,50 g ,,50 g ,50,0.88
372,372,"Poppy Seed - Gluten Free, No Preservatives",Zoff,860,377.37,482.63,56.12,200 g ,200 g ,,200 g ,200,1.88685
373,373,"Olive Oil- Pure Olive Oil-Daily Cooking Oil- Perfect for Indian Dishes- Curries, Gravy- Imported from Spain",Figaro,1670,1415.7,254.3,15.23,1 L - Tin,1 L ,,1 L ,1000,1.4157
374,374,"100% Pure California Almonds Whole - Premium Quality Badam Giri, Rich In Protein, Magnesium, Phosphorus, & Dietary Fibre, Premium Nuts & Dry Fruits",Tata Sampann,1310,1078.39,231.61,17.68,1 kg - Pouch,1 kg ,,1 kg ,1000,1.07839
375,375,Wheat - Whole,BB Royal,350,274,76,21.71,5 kg - Bag,5 kg ,,5 kg ,5000,0.0548
376,376,Oil - Primio Refined Groundnut,Rro,1275,1275,0,0,5 L - Can,5 L ,,5 L ,5000,0.255
377,377,Green Moong Whole/Sabut,BB Popular,85,75,10,11.76,500 g - Pouch,500 g ,,500 g ,500,0.15
