,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
96,Rice Vermicelli,₹80,₹80,Anil,500 g - Pouch
97,Vermicelli - Roasted,₹100,₹115,MTR,850 g 
98,Dark Fantasy Sandwich Creme Biscuits - Dark Crunch With Choco Creme,₹39.6,₹80,Sunfeast,277.5 g - (3 pcs x 92.5 g)
99,"Tomato Ketchup - Classic Blend, Rich & Thick Condiment",₹91,₹130,Del Monte ,900 g - Spout Pouch
100,"Idly Dosa Batter - Mildly Salted, Perfect Breakfast, Ready To Cook",₹140,₹140,Asal,2 kg 
101,Original Rava Idli Ready Mix,₹115,₹130,MTR,500 g - Pouch
102,Treat - Orange Biscuits,₹114,₹120,Britannia,12x50 g - Multipack
103,Potato Chips - Spanish Tomato Tango,₹79.9,₹100,Lays,2 x 90 g - Multipack
104,Mom's Magic - Rich Cashew & Almond Cookies,₹96.98,₹130,Sunfeast,584 g - Pouch
105,Cup Noodles Mazedaar Masala,₹133.86,₹150,Nissin Food,3x70 g - Multipack
106,ChocLayered Cakes,₹144.9,₹210,Cadbury Chocobakes,3x114 g - Multipack
107,Biscuits - Milk Bikis Milk Sandwich,₹85.5,₹90,Britannia,3x100 g - Multi Pack
108,Ready Mix - Gulab Jamun,₹155,₹205,MTR,500 g - Pouch
109,Namkeen - Mixture,₹45,₹45,Haldiram's,200 g - Pouch
110,Original Style Potato Chips - Chilli Sprinkled,₹71.25,₹100,Bingo,2x90 g - Multipack
111,Rich Cocoa 70% Dark Chocolate Bar,₹242.55,₹330,Cadbury Bournville,3 x 80 g - Multipack
112,Vanilla Flavour Creme Sandwich Biscuit,₹198,₹198,Cadbury Oreo,3 x 288.75 g - Multipack
113,Vanilla Flavour Creme Sandwich Biscuit,₹270,₹270,Cadbury Oreo,2 x 481.25 g - Multipack
114,No Rulz Masala Curlz Corn Puffs,₹99.75,₹150,Bingo,3x80 g - Multipack
115,Namkeen - Tasty Nuts,₹95,₹95,Haldiram's,400 g - Pouch
116,Frozen - Sweet Corn,₹144,₹180,Safal,1 kg - Pouch
117,Soya Sticks,₹45,₹45,Haldiram's,200 g - Pouch
118,50-50 Sweet & Salty Biscuits,₹114,₹120,Britannia,12x69 g - Multipack
119,Namkeen - Corn Flakes Mixture,₹10,₹10,Townbus,30 g 
120,Malabar Parota,₹160,₹180,iD Fresho,2x400 g - Multipack
121,Potato Chips Wafer Style - Sundried Chilli Flavour,₹54,₹60,Lays,3 x 40 g - Multipack
122,"Whole Wheat Lachha/Paratha, 5 pcs",₹169.1,₹190,iD Fresho,2x400 g - Multipack
123,"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",₹80.75,₹95,Beyond Snack,125 g 
124,"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook",₹322,₹398,Quaker,2x1 Kg - Multipack
125,Chocolate Shots,₹10,₹10,Cadbury Dairy Milk,18 g - Pouch
126,NutriChoice 5 Grain Digestive Multigrain Biscuits - High Fibre,₹94.08,₹140,Britannia,2 x 200 g - Multipack
127,Good Day Chocochip Cookies,₹93.34,₹140,Britannia,400 g 
128,Muesli - With 0% Added Sugar,₹694,₹740,Kelloggs,2x500 g - Multipack
129,Nutrichoice Thin Arrowroot Biscuits,₹40,₹40,Britannia,300 g 
130,"Rolled Oats - Gluten Free, High Protein & Fibre",₹640,₹800,True Elements,2x1 kg - Multipack
131,Yummiez Green Peas,₹182,₹280,Godrej Yummiez,1 kg - Pouch
132,"Milkybar - Choo, Classic",₹5,₹5,Nestle ,10 g 
133,Tomato Discs,₹90,₹180,PEPPY,3x60 g - Multipack
134,"Choco Pie - Original, With Rich Marshmallow, No Preservatives",₹122,₹150,Lotte,25 g - (Pack of 12)
135,Chocolate Coated Wafer Home Treats,₹202.7,₹297,Cadbury Perk,3 x 126 g - Multipack
136,3 Minute Breakfast - Poha,₹72,₹81,MTR,3 x 60 g - Multipack
137,Pazzta Cheese Macaroni - Made With 100% Suji/Rawa,₹54,₹62,MAGGI ,"150 g - Family Saver Pack, Pouch"
138,Hide & Seek Chocolate,₹60,₹60,Parle,6x33 g - Multi Pack
139,Marie Light Vita Orange Biscuits - Tea Time Partner,₹15,₹15,Sunfeast,100 g - Pouch
140,Jimjam Cream Biscuits,₹10,₹10,Britannia,57 g 
141,Papad - Punjabi Masala,₹398,₹398,Lijjat,1 kg - Pouch
142,Hakka Noodles - Veg,₹144,₹150,Chings,5x150 g - Multipack
143,Tiger Krunch Biscuits,₹70,₹140,Britannia,400 g 
144,Namkeen - Chilli Chatka,₹56.4,₹60,Kurkure,3x70 g - Multipack
145,Milk Bikis Biscuits,₹76.5,₹90,Britannia,500 g 
146,Butter Murukku,₹55,₹55,Townbus,135 g 
147,"Instant Popcorn - Golden Sizzle, Crispy, Crunchy Snack",₹57,₹60,ACT II,60 g - (Pack of 3)
148,YiPPee! Mood Masala Instant Noodles,₹91.2,₹120,Sunfeast,2x260 g - (Pack of 2)
149,Hakka Noodles - Veg,₹150,₹150,Desi,800 g 
150,"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre",₹29,₹42,BB Royal,200 g 
151,Masala Balls,₹46,₹50,Cheetos,5x28 g - Multipack
152,Moms Magic - Fruit & Milk,₹46,₹50,Sunfeast,5x51.1 g - Multipack
153,Digestive High Fibre Biscuits - Super Saver Family Pack,₹458.5,₹597,McVitie's,3 x 959.1 g - Multipack
154,"Nachos - Cheese Flavour, With Free Dip",₹67.5,₹100,Bingo,2 x 100 g - Multipack
155,Curry Instant Noodles,₹194,₹200,Top Ramen ,8 x 70 g - Multipack
156,"Cashews - Whole, 100% Natural Premium",₹469,₹670,Happilo,2x200 g - Multipack
157,Durum Wheat Pasta - Penne Rigate,₹280,₹598,BORGES,2x500 g - Multipack
158,Marie Light Biscuits - Active,₹55.2,₹60,Sunfeast,6x75 g - Multipack
159,Potato Chips - American Style Cream & Onion Flavour,₹112.32,₹156,Lays,2 x 157 g - Multipack
160,2-Minute Instant Noodles - Special Masala,₹204,₹240,MAGGI ,840 g - (Pack of 12)
161,"Tiger Kreemz - Elaichi Cream Biscuits, Teatime Snack",₹5,₹5,Britannia,33.4 g 
162,"Honey - 100% Pure, With No Sugar Adulteration",₹550,₹950,BB Royal,2 x 1 kg - Multipack
163,Ready To Eat Veg Masala Noodles,₹42.75,₹45,Wai Wai,3 x 70 g - Multipack
164,Tiger Biscuits - Glucose,₹47.5,₹50,Britannia,5x 85.3 g - Multipack
165,"Peanut Butter - Crunchy, Rich In Protein, Spreads",₹225,₹250,Sundrop,924 g 
166,Tedhe Medhe Masala Tadka,₹35.68,₹40,Bingo,2 x 85 g - Multipack
167,ChocFilled Cookies,₹253.44,₹480,Cadbury Chocobakes,6x150 g - Multipack
168,Vermicelli,₹65.5,₹85,Bambino,850 g - Pouch
169,"Nachos Sweet Chilli Crunchy, Nachos Chips, Snacks, Party Pack",₹67.5,₹100,Doritos,2x82.5 g - Multipack
170,"Rolled Oats - 100% Natural With High Protein & Fibre, Healthy Cereals, Value Pack",₹318,₹424,Saffola,1 Kg - (Pack of 2)
171,Super Snack - Himalyan Salt,₹46.55,₹49,MR. MAKHANA,25 g 
