,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
104,Coffee Powder Premium Blended,₹65,₹65,Cothas Coffee,100 g - Pouch
105,"Instant Filter Coffee Liquid - Strong, Chicory Blend, No Preservatives",₹240,₹240,iD,400 ml - ( 8 Units x Pack of 5(10 ml Each))
106,Soft Drink - Lime Flavoured,₹182,₹198,Sprite,2 x 2.25 L - (Multipack)
107,"Soft Drink - Orange Flavoured, Refreshing",₹84,₹95,Fanta,2 l - Pet Bottle
108,Delight Fruit Juice - Pineapple,₹250,₹250,Tropicana,2x1 L - Multipack
109,"Nutrition Drink - Health, Energy & Sports",₹599,₹599,Boost,1 Kg - Carton
110,Limonata - Limey Minty Cooler,₹80,₹80,Bisleri ,2x600 ml - Multipack
111,Activ Fiber + Multi Fruit Beverage - No Added Sugars & Preservative,₹210.11,₹320,Real,2 x 1 L - Multipack
112,Coconut Water/Nariyal Pani,₹721.68,₹840,Real Activ,24 x 200 ml - Multipack
113,"Black Tea - Original, Classic Assam Blend, Staple-Free, Environment Friendly Bags",₹157.5,₹210,Tetley,170 g - (100 bags x 1.7 g each)
114,Soft Drink - Orange,₹67,₹75,Mirinda,1.5 L 
115,100% Apple Juice,₹435,₹435,Tropicana,3x1 L - Multipack
116,Malgudi Filter Coffee - 60:40,₹90,₹90,Continental,200 g 
117,Filter Coffee Decoction,₹236.9,₹250,iD,2 x 150 ml - Multipack
118,"Yellow Label Tea - Finest Blend, Rich, Aromatic",₹300,₹300,Lipton,250 g 
119,Fruit Power - Coconut Water,₹179.93,₹340,Real,2 x 1 L - Multipack
120,Filter Coffee With Chicory,₹340,₹340,LEVISTA,500 g - Pouch
121,Green Tea - Long Leaf,₹621.6,₹740,Tetley,2x250 g - Multipack
122,Chilli Guava Fruit Juice,₹193.2,₹210,Paper Boat,6x200 ml - Multipack
123,Natural Mineral Water,₹36,₹40,Himalayan,500 ml - Bottle
124,Instant Pure Coffee,₹331.5,₹390,BRU,100 g - Jar
125,Soft Drink - Lemon,₹888,₹960,7 Up,24x750 ml - Multipack
126,Drink Mix - Badam,₹80,₹80,MTR,100 g - Pouch
127,Fruit Juice - Guava Delight,₹190,₹230,Tropicana,2x1 L - Multipack
128,"Juice - Fruit Power, Pomegranate/Anar",₹95.2,₹120,Real,6x200 ml - Multipack
129,Top Star Tea,₹371,₹410,3 Roses,500 g - Carton
