,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
91,Original Extra Virgin Olive Oil,₹1099,₹1400,BORGES,1 L - Pet Bottle
92,Jaggery - Square,₹86,₹100,BB Royal,1 kg 
93,Cow Ghee/Tuppa,₹798,₹840,Aashirvaad Svasti,1 L - Pet Jar
94,Chana - Brown/Kadale Kaalu,₹24,₹35,BB Popular,200 g - Pouch
95,Kurnool Sona Masoori Raw Rice  (12 + Months Old),₹295,₹350,BB Royal,5 kg - (12 + Months Old)
96,Moong Dal/Hesaru Bele,₹138,₹190,BB Popular,1 kg - Pouch
97,Cold Pressed Groundnut Cooking Oil - Cooks Indian Dishes,₹1056.99,₹1500,BB Royal Organic,3x1L - Multipack
98,Gingelly Oil,₹353.92,₹375,Mr. Gold,1 L 
99,Fenugreek/Methi/Menthya,₹32,₹60,BB Popular,200 g 
100,Chana Dal/Kadale Bele,₹120,₹130,BB Popular,1 kg - Pouch
101,Cold Pressed Sunflower Cooking Oil - Cooks Indian Dishes,₹1026.99,₹1350,BB Royal Organic,3x1L - Multipack
102,New Rice/Akki - Sona Masoori,₹299,₹325,BB Popular,5 kg 
103,Rice/Akki - Dosa,₹51,₹60,BB Royal,1 kg - Pouch
104,Rice Flour,₹56.84,₹58,Vijay,1 kg 
105,Organic - Cardamom Green/Elakki,₹444,₹449,BB Royal,100 g 
106,Unpolished Green Moong Dal - Whole,₹192.06,₹198,Tata Sampann,2 x 500 g - Multipack
107,Coconut Oil,₹125.34,₹145,Kpl Shudhi,500 ml - Pouch
108,Urad Gota/Whole,₹302,₹380,BB Super Saver,2 kg 
109,"Organic - Moong Dal/Hesaru Bele, Unpolished",₹354,₹449,BB Royal,2 kg 
110,Idli/Idly Rice,₹507,₹600,Super Saver,10 kg 
111,Organic Jaggery/Bella Powder,₹56,₹95,BB Royal,500 g - Jar
112,Oil - Groundnut,₹219.78,₹250,Dhara ,1 L - Pouch
113,Himalayan Pink Rock Salt/Uppu Powder,₹87,₹110,GoodDiet,1 kg 
114,Anjeer/Figs/Atti Hannu,₹656,₹1250,BB Popular,500 g 
115,Refined Oil - Sunflower,₹114,₹139,Freedom,1 L - Pouch
116,Pureit Refined Sunflower Oil,₹549,₹700,Gemini,5 l - Jar
117,Salt/Uppu - Crystal,₹18.27,₹26,AKAR,1 kg - Pouch
118,Phool Makhana,₹95,₹120,BB Popular,100 g - Pouch
119,Raisins/Ona Drakshi - Indian,₹279,₹500,BB Popular,1 kg - Pouch
120,Fennel/Saunf/Sompu - Big,₹57,₹80,BB Popular,100 g 
121,Ghee/Tuppa,₹3130,₹3130,Amul,5 L 
122,Mustard/Sasive/Rai - Small,₹38,₹60,BB Royal,200 g 
123,Phool Makhana,₹247,₹300,BB Royal,200 g 
124,Superlite Advanced Oil - Sunflower,₹479.22,₹489,Sundrop,3 L - Can
125,Basmati Rice/Basmati Akki - Dubar,₹133,₹164,India Gate,1 kg - Pouch
126,Salt/Uppu - Iodised,₹16,₹25,Aashirvaad,1 kg - Pouch
127,Maida,₹22,₹31,BB Super Saver,500 g 
128,Coconut Oil,₹147,₹265,Mr. Gold,1 L 
129,Tamarind/Hunisehannu/Imli - Seedless,₹174,₹300,BB Popular,1 kg - Pouch
130,Tamil Ponni Boiled - Rice,₹1678,₹1900,BB Royal,26 kg - Bag
131,"Lite - 15% Low Sodium Iodised Salt, Helps Blood Pressure & For Healthy Lifestyle",₹47,₹50,Tata Salt,1 kg - Pouch
132,Basmati Rice/Basmati Akki - Rozana Super 90,₹87.63,₹98,Daawat,1 kg 
133,Organic - Sona Masoori Raw Rice,₹1534,₹2000,BB Royal,2x10 kg - Multipack
134,HMT Kolam Rice/Akki,₹374,₹475,BB Royal,5 kg - (12 + Months Old)
135,Mustard/Sasive/Rai - Big,₹162,₹300,BB Royal,1 kg 
136,"Chilli - Guntur, Stemless",₹253,₹400,BB Royal,500 g 
137,MTR Hingh Powder,₹72,₹90,MTR,50 gm 
138,Cow Desi Ghee/Tuppa,₹1658,₹2600,Fresho Organic,2x1 L - (Multipack)
139,Organic - Chana Brown/Kadale Kaalu,₹30,₹33,BB Royal,200 g 
140,Rock Salt/Uppu,₹88.8,₹120,Tata Salt,1 kg - Pouch
141,Dates/Kharjura - Deseeded,₹149,₹149,Lion,500 g - Cup
142,Jeera/Jeerige - Whole,₹215.6,₹280,Catch,200 g 
143,High Aroma Cow Ghee,₹1425.06,₹1450,Amul,2 x 1 L - Multipack
144,Active - Pro Weight Watchers,₹363,₹480,Saffola,3x1 L - Multipack
145,Pista Magaj - Plain Kernel,₹1334,₹1500,BB Royal,500 g 
146,Kabuli Chana/Kabuli Kadale,₹299.86,₹319,Tata Sampann,1 kg - Pouch
147,Lobia/Alasandee Kaalu - Red,₹29,₹30,BB Royal,200 g - Pouch
148,"Organic - Mustard/Sasive/Rai, Small",₹20,₹21,BB Royal,100 g 
149,Pure Ghee,₹1379,₹1600,Fresho,2x1 L - Multipack
150,Sabudana - White Medium,₹130,₹150,BB Royal,1 kg - Pouch
151,Til/Ellu - White,₹356,₹500,BB Royal,1 kg 
152,Organic - Cinnamon/Chakke,₹39.35,₹61,BB Royal,50 g 
153,Turmeric Powder/Arisina Pudi,₹153,₹180,Tata Sampann,500 g 
154,Cumin/Jeera/Jeerige - Whole,₹360,₹500,BB Popular,500 g 
155,Basmati Rice/Basmati Akki - Feast Rozzana,₹98,₹118,India Gate,1 kg - Pouch
156,Hommade - Coconut Milk,₹203.06,₹225,Dabur,3x200 ml - Multipack
157,Besan Fine/Kadale Hittu,₹93,₹150,BB Royal,1 kg - Pouch
158,Powder - Tikhalal Chilly,₹660,₹660,Everest,1 kg - Pouch
159,Jaggery - Bucket,₹65,₹100,BB Royal,900 g 
160,Organic Kabuli Chana/Kabuli Kadale,₹249,₹270,BB Royal,1 kg 
161,Horse Gram/Hurali Kaalu,₹33,₹36,BB Royal,200 g - Pouch
162,Masoor Dal/Mysore Bele,₹28,₹37,BB Royal,200 g 
163,Turmeric Powder,₹73,₹81,MTR,250 Gm 
164,Jaggery/Bella - Kolhapuri,₹95,₹112,BB Royal,900 g 
165,"Sona Masuri Raw Rice/Akki - 12 Months, Pesticide Free",₹430.5,₹525,Safe Harvest,5 kg 
166,Atta - Chakki Fresh,₹60.36,₹74,Fortune ,1 kg 
167,Ragi Flour/Ragi Hittu,₹54,₹90,BB Super Saver,1 kg 
168,Organic - Methi/Menthya,₹19,₹21,BB Royal,100 g 
169,Organic - Pumpkin Seeds/Kumbalakayi Bija,₹404,₹475,BB Royal,500 g 
170,Ginger Garlic Paste,₹89.25,₹119,Mother's Recipe,500 g 
171,Tasty - Pro Fitness Conscious Edible Oil,₹414,₹450,Saffola,3X1 L - Multipack
172,"Almond/Badam - Californian, Giri",₹669,₹1000,Super Saver,1 kg 
173,"Poha/Avalakki - Extra Thick, Mota",₹70,₹100,BB Royal,1 kg 
174,Organic Whole Wheat Atta,₹65,₹75,Aashirvaad,1 kg 
175,Basmati Rice/Basmati Akki - Classic,₹222.72,₹235,India Gate,1 kg - Pouch
176,Organic - Black Pepper/Kali Mirchi,₹400,₹500,BB Royal,2x200 g - Multipack
177,Chilli Powder,₹175,₹250,Aashirvaad,500 g 
178,Masala - Sambar Powder,₹114,₹130,MTR,200 g - Pouch
179,Idli Rava,₹56.84,₹58,Vijay,1 kg 
180,Oil - Mantra GroundNut,₹246,₹246,Idhayam,1 L - Pouch
181,Green Peas,₹35,₹70,BB Royal,200 g - Pouch
182,Organic Cow Ghee/Tuppa,₹750,₹750,AKSHAYAKALPA,490 ml 
183,Idli Sooji/Rava,₹47,₹60,BB Royal,1 kg - Pouch
184,Coconad - Pure Coconut Oil,₹175.75,₹185,Klf ,1 L 
