,Sr.No.,Grocery_Name,Brand_Name,MRP_Price,Discount_Price,Total Disc,Percetage Disc,Quantity,strip_qua,Quantity_upd,Converted_Quantity,Price_per_unit(gm/ml/pc)
112,112,Namkeen - Kodubale,Townbus,55.0,55.0,0.0,0.0,135 g ,135 g ,135 g ,135.0,0.4074074074074074
113,113,No Rulz Masala Curlz Corn Puffs,Bingo,150.0,99.75,50.25,33.5,3x80 g - Multipack,3*80 g ,240 g,240.0,0.415625
114,114,"Kerala Banana Chips - Original Style, Thin & Crispy, Delicious",Beyond Snack,95.0,85.5,9.5,10.0,125 g ,125 g ,125 g ,125.0,0.684
115,115,Hide & Seek Chocolate,Parle,60.0,60.0,0.0,0.0,6x33 g - Multi Pack,6*33 g ,198 g,198.0,0.30303030303030304
116,116,Rich Tomato Ketchup - Made With Real Tomatoes,MAGGI ,150.0,134.0,16.0,10.67,970 g - Bottle,970 g ,970 g ,970.0,0.13814432989690723
117,117,"Choco Pie - Original, With Rich Marshmallow, No Preservatives",Lotte,150.0,126.0,24.0,16.0,25 g - (Pack of 12),25 g ,25 g ,25.0,5.04
118,118,Marie Light Biscuits - Active,Sunfeast,60.0,55.2,4.799999999999997,8.0,6x75 g - Multipack,6*75 g ,450 g,450.0,0.12266666666666667
119,119,Hakka Noodles - Veg,Desi,150.0,150.0,0.0,0.0,800 g ,800 g ,800 g ,800.0,0.1875
120,120,Tiger Biscuits - Glucose,Britannia,50.0,47.5,2.5,5.0,5x 85.3 g - Multipack,5*85.3 g ,5*85.3 g ,,
121,121,"Milkybar - Choo, Classic",Nestle ,5.0,5.0,0.0,0.0,10 g ,10 g ,10 g ,10.0,0.5
122,122,"Schezwan Pasta - Chinese Style, Fusilli, With Zingy Sauce Maker & Extra Spicy Sprinkler",Keya,79.0,39.5,39.5,50.0,95.5 g - Pouch,95.5 g ,95.5 g ,95.5,0.41361256544502617
123,123,Frozen - Sweet Corn,Safal,180.0,144.0,36.0,20.0,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.144
124,124,"Rolled Oats - Gluten Free, High Protein & Fibre",True Elements,800.0,656.0,144.0,18.0,2x1 kg - Multipack,2*1 kg ,2 kg,2000.0,0.328
125,125,"Namkeen - Chilli Chatka, Spicy, Unique Taste",Kurkure,175.0,175.0,0.0,0.0,75 g ,75 g ,75 g ,75.0,2.3333333333333335
126,126,Vermicelli,Bambino,85.0,65.5,19.5,22.94,850 g - Pouch,850 g ,850 g ,850.0,0.07705882352941176
127,127,Moms Magic - Fruit & Milk,Sunfeast,50.0,46.0,4.0,8.0,5x51.1 g - Multipack,5*51.1 g ,5*51.1 g ,,
128,128,Hide & Seek Caffe Mocha Cookies,Parle,120.0,90.0,30.0,25.0,4 x 100 g - Multipack,4*100 g ,400 g,400.0,0.225
129,129,"Oats Breakfast Cereal - Rich In Protein, Dietary Fibre, Nutritious, Easy To Cook",Quaker,398.0,368.0,30.0,7.54,2x1 Kg - Multipack,2*1 Kg ,2 Kg,2000.0,0.184
130,130,Motichur Laddoo,Lal,99.0,99.0,0.0,0.0,200 g ,200 g ,200 g ,200.0,0.495
131,131,Durum Wheat Pasta - Penne Rigate,BORGES,598.0,309.46,288.54,48.25,2x500 g - Multipack,2*500 g ,1000 g,1000.0,0.30945999999999996
132,132,Yummiez Green Peas,Godrej Yummiez,280.0,182.0,98.0,35.0,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.182
133,133,"50-50 Potazos - Masti Masala, Spicy Flavoured Crips, Teatime Snack (Pack Of 3)",Britannia,75.0,63.75,11.25,15.0,3 x71.5 g - Multipack,3*71.5 g ,3*71.5 g ,,
134,134,"Mac & Cheese Pasta - American Style, Macaroni, With Creamy Sauce Maker & Extra Herby Sprinkler",Keya,79.0,39.5,39.5,50.0,95.5 g - Pouch,95.5 g ,95.5 g ,95.5,0.41361256544502617
135,135,"Idly Dosa Batter - Mildly Salted, Perfect Breakfast, Ready To Cook",Asal,140.0,140.0,0.0,0.0,2 kg ,2 kg ,2 kg ,2000.0,0.07
136,136,G Gold Biscuits,Parle,140.0,115.0,25.0,17.86,1 Kg ,1 Kg ,1 Kg ,1000.0,0.115
137,137,Chocolate Home Treats Bar,Cadbury 5 Star,447.0,403.02,43.98000000000002,9.84,3x191.9 g - Multipack,3*191.9 g ,3*191.9 g ,,
138,138,Curry Instant Noodles,Top Ramen ,200.0,194.0,6.0,3.0,8 x 70 g - Multipack,8*70 g ,560 g,560.0,0.3464285714285714
139,139,Hakka Noodles - Veg,Chings,125.0,120.0,5.0,4.0,5x150 g - Multipack,5*150 g ,750 g,750.0,0.16
140,140,Dark Chocolate- 55% Rich In Cocoa,Amul,110.0,110.0,0.0,0.0,150 g - Carton,150 g ,150 g ,150.0,0.7333333333333333
141,141,Hommade - Tomato Puree,Dabur,81.0,77.0,4.0,4.94,3x200 g - Multipack,3*200 g ,600 g,600.0,0.12833333333333333
142,142,"Oats - Natural Wholegrain, Nutritious Breakfast Cereals, Poha, Easy To Cook",BB Royal,398.0,278.0,120.0,30.15,2x1 kg - Multipack,2*1 kg ,2 kg,2000.0,0.139
143,143,"50 50 Time Pass Biscuits - Simply Salted,",Britannia,60.0,57.0,3.0,5.0,6x69g - Multipack,6*69g ,414 g,414.0,0.13768115942028986
144,144,Potato Chips - American Style Cream & Onion Flavour,Lays,100.0,75.2,24.799999999999997,24.8,2 x 90 g - Multipack,2*90 g ,180 g,180.0,0.4177777777777778
145,145,Tiger Krunch Biscuits,Britannia,140.0,70.0,70.0,50.0,400 g ,400 g ,400 g ,400.0,0.175
146,146,NutriChoice 5 Grain Digestive Multigrain Biscuits - High Fibre,Britannia,140.0,114.24,25.760000000000005,18.4,2 x 200 g - Multipack,2*200 g ,400 g,400.0,0.28559999999999997
147,147,Butter Murukku,Townbus,55.0,55.0,0.0,0.0,135 g ,135 g ,135 g ,135.0,0.4074074074074074
148,148,Instant Sweet Corn Cup-A-Soup,Knorr,100.0,100.0,0.0,0.0,10x10 g - Multipack,10*10 g ,100 g,100.0,1.0
149,149,Papad - Punjabi Masala,Lijjat,422.0,422.0,0.0,0.0,1 kg - Pouch,1 kg ,1 kg ,1000.0,0.422
150,150,"Nachos Sweet Chilli Crunchy, Nachos Chips, Snacks, Party Pack",Doritos,100.0,67.5,32.5,32.5,2x82.5 g - Multipack,2*82.5 g ,2*82.5 g ,,
151,151,Tedhe Medhe Masala Tadka,Bingo,40.0,35.68,4.32,10.8,2 x 85 g - Multipack,2*85 g ,170 g,170.0,0.20988235294117646
152,152,"Dark Fantasy Combi Pack - Choco Fills, Original Filled Cookies",Sunfeast,160.0,147.2,12.800000000000011,8.0,75 g - (Buy 4 get 1 Free),75 g ,75 g ,75.0,1.9626666666666666
153,153,ChocFilled Cookies,Cadbury Chocobakes,480.0,423.94,56.06,11.68,6x150 g - Multipack,6*150 g ,900 g,900.0,0.47104444444444443
154,154,Jimjam Cream Biscuits,Britannia,10.0,10.0,0.0,0.0,57 g ,57 g ,57 g ,57.0,0.17543859649122806
155,155,"Honey - 100% Pure, With No Sugar Adulteration",BB Royal,950.0,550.0,400.0,42.11,2 x 1 kg - Multipack,2*1 kg ,2 kg,2000.0,0.275
156,156,Namkeen - Mini Bhakarwadi,Haldiram's,130.0,130.0,0.0,0.0,2x200 g - Multipack,2*200 g ,400 g,400.0,0.325
157,157,Milk Bikis Biscuits,Britannia,90.0,82.8,7.200000000000003,8.0,500 g ,500 g ,500 g ,500.0,0.1656
158,158,Chocos Corn Flakes,Kelloggs,120.0,96.0,24.0,20.0,6x58 g - Multipack,6*58 g ,348 g,348.0,0.27586206896551724
159,159,Chutney - Schezwan,Chings,270.0,263.93,6.069999999999993,2.25,3x250 g - Multipack,3*250 g ,750 g,750.0,0.3519066666666667
160,160,Cheese Flavoured Cracker Biscuits - Family Pack,Malkist,300.0,300.0,0.0,0.0,720 g - (144 g x 5 N),720 g ,720 g ,720.0,0.4166666666666667
161,161,Frozen Green Peas - Ready To Cook,Farmland,260.0,172.4,87.6,33.69,1 kg ,1 kg ,1 kg ,1000.0,0.1724
162,162,Instant Popcorn - Golden Sizzle,ACT II,72.0,64.8,7.200000000000003,10.0,3x60 g - Multipack,3*60 g ,180 g,180.0,0.36
163,163,"Cashews - Whole, 100% Natural Premium",Happilo,670.0,502.5,167.5,25.0,2x200 g - Multipack,2*200 g ,400 g,400.0,1.25625
164,164,Muesli - With 0% Added Sugar,Kelloggs,740.0,694.0,46.0,6.22,2x500 g - Multipack,2*500 g ,1000 g,1000.0,0.694
165,165,Masala Balls,Cheetos,50.0,46.0,4.0,8.0,5x28 g - Multipack,5*28 g ,140 g,140.0,0.32857142857142857
166,166,Pazzta Cheese Macaroni - Made With 100% Suji/Rawa,MAGGI ,54.0,46.0,8.0,14.81,"150 g - Family Saver Pack, Pouch",150 g ,150 g ,150.0,0.30666666666666664
167,167,Tiger Kreemz Sandwich Biscuits - Choco,Britannia,10.0,10.0,0.0,0.0,86 g - Pouch,86 g ,86 g ,86.0,0.11627906976744186
168,168,"Cookies - Assorted Flavours, Tasty Teatime Snack",UNIBIC,300.0,225.0,75.0,25.0,75 g - (Pack of 10),75 g ,75 g ,75.0,3.0
169,169,Chaat Papdi - Crispy,Tasties Origins,218.0,123.0,95.0,43.58,2x150 g - Multipack,2*150 g ,300 g,300.0,0.41
170,170,Biscuits - Googly,Bisk Farm,60.0,60.0,0.0,0.0,2x200 g - Multipack,2*200 g ,400 g,400.0,0.15
