,Grocery_Name,Discount_Price,MRP_Price,Brand_Name,Quantity
170,Biscuits - Googly,₹60,₹60,Bisk Farm,2x200 g - Multipack
171,Bengaluru Special Mixture,₹165,₹330,Sowbhagya foods,2 x 500 g - Multipack
172,Ready To Eat Veg Masala Noodles,₹42.75,₹45,Wai Wai,3 x 70 g - Multipack
173,"Marie Light Biscuits - With Oats & Wheat Fibre, Tea Time Partner",₹9.4,₹10,Sunfeast,65 g 
174,Digestive Wholewheat Biscuits,₹185.51,₹225,McVitie's,253.3 g - (Multipack) (Pack of 3)
175,Strawberry Flavour Creme Sandwich Biscuit,₹86.94,₹105,Cadbury Oreo,3 x 113.75 g - Multipack
176,3 Minute Breakfast - Poha,₹69,₹81,MTR,3 x 60 g - Multipack
177,Cheez Puffs,₹46,₹50,Cheetos,5x28 g - Multipack
178,YiPPee! Mood Masala Instant Noodles,₹91.2,₹120,Sunfeast,2x260 g - (Pack of 2)
179,Vermicelli - Rice Sevai,₹50,₹50,MTR,400 g - Pouch
180,Bounce Creme Biscuits - Orange,0,0,Sunfeast,41 g 
181,Maxx Macho Chilli,₹50.4,₹60,Lays,2 x 56  g - Multipack
182,2-Minute Instant Noodles - Special Masala,₹216,₹240,MAGGI ,840 g - (Pack of 12)
183,Papad - Jeera,₹72,₹72,Lijjat,200 g - Pouch
184,HiFi Cashew Butter Cookies,₹5,₹5,Sunfeast,35 g - pouch
185,"Peanut Butter - Crunchy, Rich In Protein, Spreads",₹225,₹250,Sundrop,924 g 
186,"Waffy Wafers - Orange Flavoured, Creamy & Crunchy",₹25,₹50,Dukes ,60 g - Pouch
187,Khara Boondi,₹55,₹55,Townbus,135 g 
188,"Tiger Kreemz - Elaichi Cream Biscuits, Teatime Snack",₹5,₹5,Britannia,33.4 g 
189,"Biscuits - Marie, Sugar Free",₹50,₹50,Bisk Farm,300 g - Packet
190,Kaju Katri,₹435,₹435,Amul,500 g 
