,Grocery_Name,Brand_Name,Rating,Discount_Price,MRP_Price,Quantity
612,Minute Pepper Rasam,MTR,4.2,₹40,₹40,60 g - (Pack of 4)
613,Palada Payasam Mix,Double Horse,4,₹68,₹85,300 g - Box
614,"Variety Pack - Chilli Garlic Potato, Smiles and Masala Fries",McCain,4.1,₹150,₹150,550 g - Pouch
615,Funfoods Veg Mayonnaise Classic,Dr. Oetker,4.1,₹142,₹178,2 x 245 g - Multipack
616,Sugar Free Chewing Gum - Mixed Fruit,Orbit,4.2,₹190,₹200,4x22 g - Multipack
617,Honey,Patanjali,4.2,₹350,₹350,1 kg
618,Whole Wheat Khakhra Methi,Tasties,3.9,₹75,₹80,180 g
619,Sago Papad,Dnv,4.3,₹47.5,₹50,100 g
620,"Popz - Chocolatey Crunch, Choco Fills, Multigrain Munchies",Sundrop,4.2,₹56,₹60,140 g
621,Pasta Treat - Masala,Sunfeast,4.1,₹119,₹140,5x65 g - Multipack
622,"Harmony Biscuit - Crunchy, Zero Trans Fat, Ready To Eat",Britannia Good Day,4.2,₹25.5,₹30,110 g - Pouch
623,"Cheese & Herbs Puff - Healthy Snacks For Kids, School Tiffin & Travel Friendly",Slurrp Farm,3.6,₹176,₹200,8x20 g - Multipack
624,Rusk - Suji & Elaichi,Tasties,3.7,₹74.1,₹110,2x200 g - Multipack
625,"Kerala Banana Chips - Peri Peri Flavour, Thin & Crispy, Zero Cholesterol",Beyond Snack,4,₹85.5,₹95,125 g
626,Handmade Papad - Urad Punjabi Masala,Tasties,4.1,₹45,₹85,200 g
627,Papad - Curd Chilly,Balaji foods,3.7,₹40,₹40,100 g
628,Creamfills - Butter Toffee,ALPENLIEBE,4.3,₹150,₹150,3x152 g - Multipack
629,Potato Chips - Indian Masala,Too Yumm!,4.2,₹80,₹100,2x130 g - Multipack
630,Hand Murukku Special,A-1 Chips,3.9,₹120,₹120,250 g
631,"Namkeen - Ompudi/ Nylon Sev, Authentic, Traditional, Flavours, Savoury Snack",Tasties Origins,3.9,₹207,₹315,3x150 g - (Multipack)
632,Soan Papdi - Coconut,Haldiram's,4.2,₹75,₹75,250 g - Pouch
633,"Masala Oats - Tasty Evening Snack, Fibre Rich, Peppy Tomato",Saffola,4.2,₹189.2,₹215,500 g
634,Nutty Tuxedo Chocolate Gourmet Popcorn,4700BC,4.3,₹202.5,₹225,150 g - Tin
635,"Breath Mint - With The Hole, Refreshing",Polo,4.3,₹10,₹10,24 g - Pouch
636,Instant Rava Idli Mix,Bambino,4.1,₹120,₹120,500 g - Pouch
637,Kaju - Salted,Haldiram's,4.1,₹50,₹50,35 g - Pouch
638,Onion Ring Papad,SDA PAPPADS,4.2,₹50,₹50,200 g
639,Premium Pumpkin Seeds - All Natural,Happilo,4.3,₹467.5,₹550,2x200 g - Multipack
640,"Biscotti - Almond, Gluten free",GoodDiet,3.5,₹175,₹225,150 g
641,Karare - Noodle Masala,Too Yumm!,4.2,₹57,₹60,3x80 g - Multipack
642,Chilli Cheesy Nuggets,McCain,4,₹240,₹240,400 g
643,Hide & Seek Chocolate & Almonds,Parle,4.1,₹22.5,₹30,100 g
644,Green Olives - Sliced,BORGES,4.1,₹222.5,₹250,450 g
645,Chicken - Jumbo Hot Dog,Meatzza,4.3,₹328.5,₹365,500 g
646,"Choco Fills - Double Chocolaty, Multigrain, Anytime Snack",BB Royal,4.1,₹229,₹410,2x250 g - Multipack
647,Masala Oats Noodles - Source Of Fibre & Iron,MAGGI,4.1,₹118,₹118,294 g - Pouch
648,Corn Flakes With Real Honey,Kelloggs,4.3,₹345,₹345,630 g
649,"Gourmet Kettle Chips - Vintage Cheese & Paprika Flavour, Premium Slow-Cooked Potato Chips",Lays,4,₹72,₹100,2 x 80 g - Multipack
650,Mix - Chicken Biryani,Mother's Recipe,4.3,₹135,₹165,3x100 g - (Multipack)
651,Sesame Chikki With Jaggery,IndiSecrets,3.7,₹49,₹75,100 g - (4 x 25 g each)
652,Hide & Seek Black Bourbon Creme Sandwich - Choco,Parle Platina,4.3,₹75,₹150,300 g
653,Chutney Podi - Groundnut,Farmveda,4,₹60,₹60,100 g
654,Pickle - Cut Mango (With Garlic),Priya,3.8,₹110,₹110,300 g - Bottle
655,Elaichi Shrikhand,Amul,4.1,₹208,₹208,4x200 g - Multipack
656,Oats - Rolled,By Nature,4.3,₹380,₹380,2x500 g - Multipack
657,Mad Angles Very Peri Peri - Spicy & Crunchy Corn Based Triangle Chips Pack For Snacks,Bingo,4.1,₹18,₹20,66 g
658,Namkeen - Mini Samosa,Haldiram's,3.9,₹130,₹130,2x200 g - Multipack
659,Cookies- Shortbread Scotch finger,UNIBIC,4.1,₹324,₹360,6X100 g - Multipack
660,"Super Muesli - No Added Sugar, Rich In Protein & Fibre, No Preservatives",Yoga Bar,4.4,₹270.69,₹325,400 g
661,"Blueberry Pancake Mix - No Maida, Eggless Instant Healthy Breakfast",Slurrp Farm,4.1,₹555.21,₹597,3x150 g - Multipack
662,"Tandoori Naan - Ready To Cook, No Added Preservatives, Easy To Prepare Delicious Frozen",Aashirvaad,4.4,₹135,₹150,400 g - (5 pcs)
663,"Multi Millet Muesli - With Fruits, Nuts & Berries",GoodDiet,4.2,₹269,₹349,350 g
664,Instant Soup - Sweet Corn Veg,Chings,4,₹100,₹100,10x15 g - Multipack
665,Pickle - Mango Avakaya Without Garlic,Priya,4.2,₹110,₹110,300 g - bottle
666,"Classic Gulkand - Promotes Healthy Skin, Natural Cooling Property, Made From Damask Roses",Food Circle,4.4,₹360,₹360,300 g - Bottle
667,Papad - Tomato Rice,Atish,4,₹33,₹33,100 g - Pouch
668,"Cheese Makhanas - Roasted, Vegan & Gluten Free",Tasties,3.8,₹40,₹50,25 g
669,Macaroni - Elbow,MTR,4.1,₹115,₹115,850 g - Pouch
670,Sugar Free Chewing Gum - Sweetmint,Orbit,4.1,₹15,₹15,8.8 g - Sleeve
671,Bombay Mixture,Balaji foods,3.6,₹55,₹55,200 g
672,Pancake Mix - Original,Betty Crocker,4.1,₹119,₹140,250 g
673,Instant Soup Noodles - Special Chicken Flavour,Indomie,4.2,₹60.8,₹64,2x75 g - Multipack
674,Gorgon Nut Roasted Makhana - Salted,Pravin Mixbox,4.1,₹60,₹60,35 g
675,Chips - West Indies Hot N Sweet Chili,Lays,4.3,₹5,₹5,12 g
676,100% Natural Nut Powder - No Added Sugar Or Preservatives,Slurrp Farm,4.1,₹499,₹499,100 g
677,Pickle - Gongura With Garlic,Priya,4.2,₹110,₹110,300 g - Bottle
678,Pickle - Mango,Swastiks,3.9,₹80,₹80,500 g
679,Salted Popcorn,ACT II,4.2,₹40,₹50,2 x 50 g - Multipack
680,"6 Grain Khichdi Mix - Instant Ready To Cook, Rich In Fibre & Protein",Tata Sampann,4.1,₹63.75,₹75,200 g
681,"Masala Peanuts - Namkeen, No Transfats Or Cholesterol, Evening Teatime Snack",Townbus,4.2,₹55,₹55,135 g - Pouch
682,Malai Peda,Amul,4.1,₹90,₹90,200g
683,Wafers Potato Chips - Cream N Onion,Parle,3.8,₹80,₹160,4 x 60 g - Multipack
684,Luxury Delights Gift Box - Assorted Chocolate Truffles,Lindberg,4,₹99,₹165,46 g - (4 pcs)
685,Namkeen - Butter Murukku,Tasties Origins,0,₹65,₹105,150 g
686,Vermicelli Payasam Sweet Mix,MTR,4.2,₹48,₹48,100 g - Pouch
687,"Oodles Ring Noodles - Yummy Masala, No Maida, Ready In 5 Mins",Saffola,4.1,₹160,₹200,2x212 g - Multipack
688,Soya Sauce,Tasties,4.2,₹139.5,₹180,3x210 g - (Multipack)
689,Pastalicious Elbow - 100% Durum Wheat Semolina,Disano,4.1,₹119,₹260,2x400 g - Multipack
690,Schezwan Sauce,Knorr,4.1,₹70,₹70,200 g
691,Hara Bhara Veg Kebab,Safal,3.9,₹68,₹80,200 g
692,"Natural Peanut Butter - Creamy, Unsweetened",Pintola,4.1,₹408,₹449,1 kg
693,Ready To Eat - Pongal,MTR,3.8,₹115,₹115,300 g - Carton
694,"Peanut Chikki Ball - Made With jaggery, Healthy Snack, Protein Rich",SDA,3.9,₹90,₹90,200 g - POUCH
695,Pickle - Mix Vegetable,MTR,4,₹149,₹149,500 g - Jar
696,Chocolush - Extra Crunchy Biscuit With Gooey Choco-Filling,Britannia,4.1,₹301.36,₹510,3 x 300 g - (Multipack)
697,Rishtey Meethe Pal Gift Pack,Bikaji,4.8,₹284.75,₹335,1.27 kg
698,Sauce - Oyster,Lee Kum Kee,4.4,₹275,₹275,510 g - Bottle
699,Ultra Dark Chocolate Bar - 70% Cocoa,Lindberg,4,₹149,₹175,100 g
700,Treat - Funky Choco Biscuits,Britannia,4.1,₹114,₹120,12x60 g - Multipack
701,Orange Marmalade Jam,Kissan,4.3,₹190,₹190,500 g
702,Original Dosa Ready Mix,MTR,3.9,₹120,₹135,500 g - Pouch
703,Pickle - Mango Thokku Without Garlic,Priya,4.2,₹110,₹110,300 g - Bottle
704,Pickle - Lime With Garlic,Priya,4.1,₹330,₹330,1 Kg - Jar
705,Soup - Italian Mushroom,Knorr,4.2,₹193.2,₹210,3x41 g - Multipack
706,Original Sauerkraut,Bombucha,4.4,₹340,₹340,450 g
707,Corn Papad,SDA PAPPADS,3.9,₹45,₹45,100 g
708,"D'lite Dark Chocolate Bar - Hazelnut & Roasted Almonds, 50% Cocoa",Sugar Free,3.7,₹296.35,₹378,2 x 80 g - Multipack
709,Ready to Cook & Serve - Cheese Onion Paratha,Amul Happy Treats,4.1,₹240,₹240,500 g
710,"Rolled Oats - Rich In Protein, Nutritious, Easy To Cook",Quaker,4.3,₹368,₹368,2 Kg
711,Momos - Vegetable,Prasuma,3.8,₹525.9,₹590,2 x 24 pcs - Multipack
712,Breakfast Mix - Upma,MTR,4.1,₹96,₹110,2x160 g - Multipack
713,Custard Powder - Vanilla Flavour,Brown & Polson,4.3,₹136,₹136,500 g
714,Mad Angles Chips Pizza - Aah,Bingo,4,₹76,₹100,2x130 g - Multipack
715,Organic Himalayan Kashmir Honey,BB Royal,4,₹448,₹858,2x500 g - Multipack
716,Bhelpuri Chutney,Mother's Recipe,4.2,₹51.3,₹57,200 g
717,Gold - Caramel Toffee,ALPENLIEBE,4.3,₹1260,₹1260,12x351 g - Multipack
718,"Eclairs Plus Birthday Pack - Rich Choco Center, Caramel Chewy Toffee",ALPENLIEBE,4.2,₹300,₹300,2x425 g - (125 pcs) Multipack
719,Super Snack - Butter Tomato,MR. MAKHANA,4,₹46.55,₹49,27.5 g
720,Masala Fries - Hot & Spicy,McCain,4.1,₹150,₹150,420 g
721,Pickle - Lime,Mother's Recipe,4.1,₹47.32,₹52,200 g - Pouch
722,Caramel Chocolate Coated Wafer,Nestle,4.2,₹70,₹70,50 g
723,"Mint - Sugarfree, Peppermint Flavour, 15 Pcs (Pack Of 5)",Center Fresh,4.3,₹50,₹50,5 x 4.5 g - Multipack
724,Chocolate Chips,Ask Foods,4,₹80,₹80,100 g
725,Ready To Eat - Dal Makhani,MTR,3.9,₹125,₹125,300 g - Carton
726,Soan Treat - Orange,Haldiram's,4.1,₹70,₹70,250 g - Pouch
727,Dhania Pudina Chutney,Mother's Recipe,3.9,₹51.3,₹57,200 g - Pouch
728,Amaranth Muesli,Nourish Organics,3.8,₹485,₹485,280 g
729,2-Minute Spicy Garlic Noodles,MAGGI,3.9,₹70,₹80,248 g
730,"Funfoods Veg Mayonnaise - Original, Rich, Creamy",DR.OETKER,4.2,₹25,₹25,60 g - Pouch
731,Chilli Chilli Chilli Super Hot Instant Cup Noodles,Nissin,4,₹133.86,₹150,70 g - (Pack of 3)
732,Jelly - Mixed Fruit Flavour,Cocon,4.3,₹90,₹90,20 pcs
733,Durum Wheat Pasta - Mini Fusilli,BORGES,4.3,₹82.8,₹160,350 g - Pouch
734,"0% Added Sugar Millet Muesli, High Protein, Rich in Fibre",Tata Soulfull,4,₹379.05,₹399,500 g - Pouch
735,Masala Oats+ Tasty Snack With Millets - Desi Veggie,Tata Soulfull,3.9,₹215.1,₹239,500 g - Pouch
736,Khari - Maska,Tasties,3.6,₹180.5,₹258,2x200 g - Multipack
737,Oreo Chocolate Bar,Cadbury 5 Star,4.3,₹40,₹40,42 g
738,"Potato Chips - Pizza Flavour, Crunchy & Crispy",Pringles,4.1,₹207,₹230,2x107 g - Multipack
739,Breakfast Sausages,Keventer,4.3,₹255,₹300,500 g
740,Fulvada Gathia Namkeen,Balaji foods,3.6,₹60,₹60,200 g
741,"50-50 Potazos - Mint Magic Minty Flavoured Crisp, Teatime Snack",Britannia,4.1,₹42.5,₹50,2 x71.5 g - Multipack
742,"Chicken - Momos, Spicy",Prasuma,4.3,₹578.5,₹650,2 x 24 pcs - Multipack
743,"Crunchy Granola - Honey, Almonds, Strawberries & Pumpkin Seeds",Kelloggs,4.4,₹380,₹380,450 g - Pouch
744,Coco Malai Biscuit,Bisk Farm,4.2,₹30,₹30,200 g - Pouch
745,Qubz Wafer Cubes - Belgian Chocolate Sandwich Biscuit,UNIBIC,4.3,₹150,₹300,2 x 150 g - (Multipack)
746,Honey - Coorg Natural,Goldrops,4,₹395,₹395,1 kg - Jar
747,"Crunchy Bites - Source Of Fibre, Calcium, High In Protein, 10 Essential Vitamins & Minerals, Breakfast Cereals",Kelloggs,4.1,₹10,₹10,23 g
748,Rich Chocolate Coated Wafer,Nestle,4.1,₹170,₹170,150 g
749,Instant Soup - Manchow,Chings,4.1,₹100,₹100,10x15 g - Multipack
750,Classic Chicken Delite Soup,Knorr,4.2,₹257.6,₹280,4x44 g - Multipack
751,Potato Chips - Salt,A-1 Chips,3.5,₹50,₹50,80 g
752,"Homemade Appalams/Papad - Gold Finger, Fry & Eat",SDA PAPPADS,3.9,₹48,₹48,200 g - Pouch
753,"Pancake Mix - Classic Flavour, Makes Soft & Fluffy Pancakes",Pillsbury,4.1,₹24.5,₹49,80 g
754,Multigrain Balls - Chilli Chataka,GoodDiet,3.8,₹54.67,₹95,5x30 g - (Multipack)
755,Bakarwadi,Tasties Origins,3.6,₹99,₹125,250 g - Pouch
756,Namkeen - Cornflakes Mixture,Tasties Origins,3.9,₹150,₹315,3x150 g - (Multipack)
757,Dark Fantasy Desserts Choco Nut Dipped Filled Cookie,Sunfeast,4.3,₹104.88,₹120,2 x 100 g - Multipack
758,"Peanut Butter - Creamy, Rich In Protein, Spreads",Sundrop,4.2,₹237,₹240,924 g
759,"Rice Paper - Round, 16 cm",REAL THAI,4.3,₹185,₹185,100 g - Carton
760,Multigrain Cookies - Sugar Free,Tasties,4,₹45,₹49,75 g
761,Rol.A.Cola Candy,Parle,4.3,₹22.5,₹30,100 g
762,"Juicyfills - Orange & Mango Flavour, Assorted Candy",ALPENLIEBE,4.2,₹210,₹210,2x342 g - (90 pcs) Multipack
763,Sixer Biscuits - Salted,Parle,4.1,₹70,₹70,200 g - Jar
764,Slurrp Farm Instant Millet Noodles- Mild Masala,Slurrp Farm,2.8,₹140,₹140,228 gm - (Pack of 57g X 4)
765,Funfoods Veg Mayonnaise De'lite,Dr. Oetker,4.1,₹258,₹358,2 x 750 g - Multipack
766,"O'Rice Cracker - Light & Tasty, Baked Not Fried",Orion,4.5,₹297,₹330,151.2 g - (Pack of 2)
767,Banana Chips - Classic Salt,A-1 Chips,4.1,₹104.5,₹110,180 g
768,Apple Cider Vinegar With Mother,Disano,4.2,₹176.43,₹495,500 ml - Bottle
769,Popcorn - Caramel Bliss,ACT II,4,₹168,₹195,3x70 g - Multipack
770,Yummiez Chicken Kabab - Lucknow Seekh,Godrej Yummiez,3.9,₹275,₹300,400 g - Pouch
771,Southwest Chipotle Dressing,VEEBA,4.2,₹175,₹175,300 g - Bottle
772,Milkybar Moosha - Caramel & Nougat Bar,Nestle,4.3,₹16,₹20,38 g
773,"Strawberry Cereal - No Sugar, Instant Healthy Cereal With Ragi, Rice & Milk",Slurrp Farm,4.3,₹349,₹349,200 g
774,Crunchy Granola - Chocolate & Almonds,Kelloggs,4.2,₹350,₹380,450 g - Pouch
775,Hobnobs Oat Cookies With Chocochips,McVitie's,4,₹185.51,₹225,3 x 153.85 g - (3x pack of 5 ) Multipack
776,Multi Grain Idli Dosa Batter,Rishta,4,₹132,₹150,800 g - Pouch
777,Premium Cashews Toasted & Salted,Happilo,3.8,₹549.06,₹790,2x200 g - Multipack
778,Kitkat Chunky Milk Chocolate Bar,Nestle,4,₹130,₹140,2 x 40 g - Multipack
779,"Kachcha Aam Candy - With Tangy Twist, Hard-Boiled",Pulse,4.3,₹95.04,₹120,2 x 190 g - Multipack
780,Dairy Milk Silk Mousse - Chocolate Bar,Cadbury Dairy Milk Silk,4.3,₹499.06,₹525,3x116 g - Multipack
781,Chocomini,Amul,4.3,₹140,₹140,250 g
782,"Tangy Tomato Puff - Healthy Snacks For Kids, School Tiffin & Travel Friendly",Slurrp Farm,3.8,₹190,₹200,8x20 g - Multipack
783,Original Recipe - Pizza & Pasta Sauce,Wingreens Farms,4.3,₹262.24,₹298,2x450 g - Multipack
784,"Egg Hakka Noodles - Zero Fat, Free From Additives",Ramyeon,4.1,₹165.75,₹195,1 kg
785,Chocolate - Lindor Dark,Lindt,3.2,₹1050,₹1050,200 g
786,Milk Bikis Classic Biscuits - Zero Trans Fat,Britannia,4.2,₹50,₹50,288 g
787,Yippee Tricolor Pasta - Masala,Sunfeast,4.1,₹71.4,₹84,3x70 g - Multipack
788,Misal Farsan/All In One Mixture - Crispy,Tasties Origins,3.8,₹131,₹218,2x150 g - Multipack
789,Jelly Crystals - Strawberry Flavour,Weikfield,4.2,₹52,₹55,90 g - Carton
790,Quinoa Brown Rice Chips - Sour Cream & Onion,GoodDiet,3.6,₹89.25,₹105,3x30 g - (Multipack)
791,"Peanut Butter Crunchy - 25% Protein, India’s Finest Quality Peanuts",Kissan,4.1,₹381.8,₹415,920 g
792,Pasta Treat - Tomato Cheese,Sunfeast,4,₹47.6,₹56,2x65 g
793,Pickle - Amla Without Garlic,Priya,3.9,₹110,₹110,300 g - Bottle
794,Sugar Free Petit Beurre - The Taste Of France,Bisk Farm,4,₹40,₹40,250 g - Pouch
795,"Ragi Vermicelli - Source Of Calcium, Protein & Iron",Aashirvaad,3,₹64,₹64,450 g - Pouch
796,Yummiez American Sweet Corn,Godrej Yummiez,3.9,₹80,₹90,400 g - Pouch
797,D'lite Dark Chocolate Bar - Rich Cocoa,Sugar Free,4.2,₹287.28,₹378,2 x 80 g - Multipack
798,"Ragi Bites Strawberry Fills - No Maida, Calcium & Dal Protein",Tata Soulfull,4.3,₹208.05,₹219,250 g - Carton
799,Kesar Shrikhand,Amul,4,₹130,₹130,500 g - Cup
800,"Chewy Candy Stick - Mint Flavour, 14 Pcs (Pack Of 3)",Mentos,4.2,₹60,₹60,3 x 36.4 g - Multipack
801,"Dry Fruit Combo - Walnuts, Cashews, Almonds, Raisins, Pistachios, Boosts Energy",Zoff,3,₹1191.58,₹3855,1.250 kg
802,Crackers - Roasted Onion,GoodDiet,4,₹175,₹225,150 g - Pouch
803,"Potato Chips - Original Style, Cream & Onion",Bingo,4,₹110.4,₹120,6x52 g - Multipack
804,Potato Chips,Sanjay,3.5,₹50,₹50,90 g
805,For Boys - With Surprise,Kinder Joy,4.2,₹349.2,₹360,8x20 g - Multipack
806,Lightly Salted Roasted Cashews,Cornitos,4,₹47.5,₹50,25 g - Pouch
807,"Millet Muesli - Crunchy, 80% Whole Grains, Almonds & Raisins",Tata Soulfull,4.2,₹304.85,₹469,700 g
808,Khakhra - Methi,JABSONS,4.2,₹80,₹80,180 g - Pouch
809,Cashew Biscuits,Karachi Bakery,4,₹171,₹180,400 g
810,Light Meat Tuna Flakes In Sunflower Oil,Tasty Nibbles,4.6,₹160,₹160,185 g - Canned light meat tuna flakes with sunflower oil as base
811,"Papad - Sabudana With Rock Salt, Crispy & Flavourful",Mother's Recipe,3.8,₹32,₹32,70 g - Pouch
812,Gold Candy,Cadbury Choclairs,4.1,₹180,₹200,520 g - (100 Candies)
813,Hazelnut Chocolate Bar,Cadbury Dairy Milk Silk,4.2,₹355.35,₹370,2 x 143 g - Multipack
814,Instant Popcorn - Barbeque,4700BC,4,₹28.5,₹30,60 g
815,Pineapple Jam,Kissan,4.1,₹190,₹190,500 g
816,"Chocos - Chhota Laddoo, With Whole Grain, Source Of Fibre, High In Calcium & Protein, Breakfast Cereals",Kelloggs,4.2,₹210,₹210,340 g
817,Organic Unfiltered Apple Cider Vinegar with Mother,BORGES,4.3,₹377,₹400,355 ml
818,"Potato Chips - Desi Masala Tadka Flavour, Crunchy & Crispy",Pringles,4.1,₹207,₹230,2x107 g - Multipack
